time,utilization
0.00,0.00
0.28,18.61
0.56,1.25
0.83,1.07
1.11,0.89
1.40,0.93
1.68,1.10
1.96,1.13
2.24,1.09
2.52,1.00
2.79,1.23
3.07,1.05
3.35,1.10
3.63,1.33
3.91,1.70
4.18,1.25
4.45,1.04
4.73,1.00
5.02,1.09
5.30,1.06
5.57,1.05
5.85,1.16
6.14,1.04
6.42,1.11
6.70,1.12
6.98,1.15
7.26,1.04
7.54,1.04
7.81,1.14
8.09,1.12
8.38,1.40
8.65,1.47
8.93,1.58
9.21,1.48
9.48,1.56
9.76,1.60
10.04,1.68
10.31,1.68
10.59,1.56
10.87,1.70
11.15,1.65
11.43,1.67
11.70,1.67
11.98,1.68
12.26,1.70
12.54,1.66
12.82,1.68
13.10,1.61
13.38,1.65
13.66,1.71
13.93,1.62
14.21,1.65
14.49,1.59
14.77,1.64
15.05,1.68
15.32,1.66
15.60,1.67
15.87,1.65
16.16,1.75
16.43,1.57
16.71,1.72
17.00,1.67
17.28,1.59
17.56,1.63
17.83,1.77
18.11,1.66
18.39,1.55
18.66,1.63
18.94,1.73
19.22,1.54
19.50,1.65
19.78,1.75
20.06,1.70
20.34,1.66
20.61,1.63
20.89,1.62
21.17,1.58
21.45,1.68
21.73,1.65
22.01,1.65
22.29,1.62
22.57,1.67
22.84,1.69
23.12,1.67
23.39,1.61
23.67,1.64
23.95,1.70
24.23,1.69
24.51,1.67
24.79,1.66
25.07,1.58
25.34,1.56
25.62,1.60
25.90,1.68
26.18,1.68
26.46,1.58
26.74,1.66
27.01,1.72
27.29,1.59
27.57,1.71
27.85,1.66
28.13,1.62
28.40,1.61
28.68,1.56
28.96,1.64
29.23,1.68
29.52,1.64
29.80,1.68
30.08,1.66
30.36,1.68
30.64,1.64
30.92,1.67
31.19,1.74
31.47,1.61
31.75,1.67
32.03,1.46
32.31,1.73
32.58,1.67
32.86,1.70
33.14,1.66
33.42,1.71
33.70,1.61
33.98,1.70
34.26,1.68
34.54,1.69
34.81,1.71
35.08,1.53
35.36,1.53
35.64,1.66
35.92,1.73
36.20,1.61
36.47,1.69
36.75,1.71
37.03,1.58
37.30,1.70
37.58,1.74
37.86,1.65
38.14,1.64
38.42,1.59
38.70,1.66
38.98,1.71
39.26,1.66
39.54,1.62
39.82,1.77
40.09,1.66
40.37,1.58
40.65,1.66
40.93,1.69
41.21,1.67
41.49,1.64
41.76,1.51
42.03,1.71
42.38,1.61
42.66,1.67
42.94,1.75
43.22,1.68
43.49,1.58
43.77,1.68
44.05,1.72
44.33,1.62
44.64,1.66
44.92,1.59
45.19,1.65
45.47,1.64
45.75,1.61
46.03,1.70
46.31,1.68
46.58,1.59
46.86,1.59
47.14,1.76
47.42,1.65
47.70,1.65
47.97,1.67
48.25,1.55
48.53,1.68
48.81,1.72
49.09,1.66
49.37,1.68
49.65,1.70
49.92,1.66
50.20,1.64
50.49,1.64
50.77,1.70
51.04,1.66
51.32,1.52
51.60,1.61
51.88,1.68
52.16,1.65
52.44,1.65
52.72,1.68
52.98,1.69
53.26,1.58
53.53,1.70
53.81,1.66
54.09,1.60
54.38,1.62
54.66,1.17
54.94,1.14
55.21,1.34
55.49,1.53
55.77,1.66
56.04,1.68
56.31,1.76
56.59,1.66
56.87,1.74
57.15,1.63
57.43,1.70
57.71,1.71
57.99,1.63
58.27,1.62
58.55,1.54
58.82,1.71
59.10,1.74
59.38,1.68
59.66,1.65
59.94,1.66
60.22,1.57
60.51,1.72
60.79,1.75
61.07,1.57
61.35,1.69
61.63,1.63
61.91,1.67
62.18,1.63
62.46,1.66
62.74,1.69
63.01,1.63
63.29,1.64
63.57,1.56
63.84,1.68
64.12,1.63
64.40,1.63
64.68,1.71
64.95,1.52
65.23,1.71
65.51,1.72
65.79,1.71
66.07,1.66
66.35,1.70
66.63,1.64
66.91,1.71
67.19,1.68
67.47,1.68
67.73,1.70
68.04,1.40
68.32,1.20
68.60,1.54
68.88,1.77
69.16,1.67
69.44,1.65
69.72,1.73
69.99,1.75
70.27,1.58
70.55,1.68
70.82,1.71
71.10,1.65
71.38,1.59
71.66,1.58
71.94,1.64
72.22,1.67
72.50,1.68
72.78,1.75
73.06,1.69
73.34,1.66
73.61,1.58
73.89,1.69
74.16,1.65
74.44,1.66
74.72,1.67
75.00,1.11
75.28,1.55
75.56,1.74
75.83,1.70
76.11,1.70
76.38,1.63
76.66,1.75
76.94,1.69
77.22,1.54
77.48,1.67
77.77,1.71
78.04,1.69
78.32,1.69
78.60,1.11
78.88,1.42
79.16,1.65
79.44,1.67
79.72,1.75
80.00,1.65
80.27,1.64
80.56,1.65
80.83,1.60
81.10,1.70
81.38,1.68
81.66,1.59
81.93,1.64
82.21,1.18
82.48,1.27
82.76,1.70
83.04,1.73
83.32,1.61
83.60,1.66
83.87,1.68
84.15,1.65
84.43,1.63
84.71,1.69
84.99,1.71
85.26,1.63
85.55,1.57
85.82,1.19
86.10,1.38
86.38,1.61
86.66,1.65
86.94,1.61
87.22,1.64
87.50,1.69
87.78,1.73
88.05,1.59
88.32,1.64
88.60,1.62
88.88,1.79
89.16,1.61
89.43,1.21
89.71,1.47
89.99,1.58
90.27,1.69
90.54,1.60
90.82,1.72
91.10,1.63
91.38,1.64
91.65,1.59
91.93,1.62
92.21,1.74
92.49,1.64
92.76,1.70
93.05,1.24
93.33,1.34
93.61,1.56
93.91,1.66
94.19,1.75
94.46,1.64
94.74,1.70
95.01,1.69
95.29,1.59
95.57,1.61
95.85,1.62
96.13,1.69
96.40,1.62
96.68,1.26
96.96,1.29
97.24,1.56
97.52,1.70
97.79,1.72
98.07,1.70
98.35,1.71
98.62,1.70
98.90,1.65
99.17,1.65
99.45,1.62
99.73,1.66
100.00,1.62
100.28,1.35
100.56,1.24
100.84,1.53
101.12,1.65
101.40,1.66
101.67,1.66
101.97,1.65
102.24,1.70
102.52,1.63
102.79,1.61
103.08,1.76
103.36,1.67
103.63,1.62
103.91,1.61
104.18,1.04
104.46,1.55
104.74,1.60
105.02,1.63
105.30,1.68
105.58,1.63
105.89,1.60
106.17,1.66
106.44,1.62
106.72,1.62
106.99,1.65
107.27,1.61
107.55,1.63
107.83,1.23
108.10,1.45
108.38,1.64
108.66,1.67
108.95,1.81
109.22,1.67
109.50,1.64
109.78,1.65
110.07,1.65
110.35,1.68
110.63,1.71
110.91,1.64
111.18,1.54
111.46,1.16
111.75,1.57
112.02,1.60
112.30,1.64
112.58,1.61
112.86,1.70
113.13,1.63
113.45,1.73
113.73,1.63
114.00,1.60
114.28,1.66
114.56,1.63
114.84,1.49
115.12,1.24
115.39,1.52
115.67,1.58
115.95,1.66
116.22,1.72
116.50,1.72
116.78,1.70
117.04,1.64
117.31,1.60
117.59,1.82
117.87,1.72
118.15,1.60
118.43,1.50
118.71,1.27
119.00,1.50
119.28,1.68
119.56,1.66
119.84,1.65
120.11,1.66
120.39,1.65
120.67,1.66
120.95,1.59
121.23,1.60
121.51,1.68
121.80,1.66
122.08,1.49
122.35,1.18
122.62,1.56
122.90,1.64
123.18,1.70
123.46,1.68
123.73,1.72
124.01,1.73
124.28,1.73
124.56,1.55
124.84,1.71
125.12,1.69
125.40,1.66
125.68,1.45
125.96,1.22
126.23,1.50
126.54,1.58
126.82,1.73
127.13,1.69
127.41,1.72
127.69,1.63
127.96,1.71
128.24,1.64
128.53,1.73
128.81,1.68
129.08,1.60
129.36,1.30
129.64,1.24
129.91,1.61
130.19,1.70
130.47,1.66
130.74,1.70
131.02,1.65
131.30,1.66
131.57,1.66
131.85,1.63
132.13,1.64
132.40,1.63
132.68,1.67
132.96,1.41
133.22,1.19
133.49,1.50
133.76,1.67
134.04,1.66
134.32,1.73
134.59,1.59
134.87,1.74
135.16,1.66
135.44,1.62
135.71,1.65
135.99,1.63
136.27,1.59
136.55,1.45
136.82,1.15
137.10,1.06
137.38,1.04
137.66,1.04
137.93,1.11
138.22,1.09
138.49,1.06
138.77,1.09
139.05,0.95
139.32,0.77
139.60,0.84
139.88,0.70
140.16,0.93
140.43,1.04
140.70,1.08
140.98,1.05
141.26,1.07
141.54,1.03
141.84,1.07
142.39,0.90
142.67,1.04
142.95,1.04
143.22,0.75
143.50,0.87
143.78,0.72
144.05,0.88
144.33,0.97
144.61,0.99
144.89,0.95
145.16,1.05
145.43,1.06
145.74,1.03
146.02,0.94
146.30,1.16
146.58,1.68
146.85,1.43
147.13,1.41
147.41,1.44
147.69,1.05
147.97,0.61
148.25,0.40
148.52,0.41
148.80,0.41
149.07,0.37
149.35,0.36
149.62,0.43
