System,System,System,System,System,System,System,System,System,System
Time,EXEC,CFREQ,READ,WRITE,INST,PhysIPC%,Proc Energy (Joules),DRAM Energy (Joules),UncFREQ (Ghz)
19:49:24.098,0.0,1.15,0.0,0.0,2.78,12.47,2.68,0.15,0.21
19:49:24.198,0.0,1.0,0.0,0.0,5.62,23.83,2.5,0.14,0.19
19:49:24.298,0.0,1.0,0.0,0.0,6.0,21.11,2.42,0.14,0.18
19:49:24.398,0.0,1.0,0.0,0.0,5.57,22.57,2.29,0.08,0.12
19:49:24.498,0.0,1.0,0.0,0.0,6.19,24.3,2.48,0.15,0.2
19:49:24.612,0.02,1.83,0.01,0.04,222.11,7.13,6.74,0.98,1.29
19:49:24.698,0.31,1.71,0.77,0.54,3844.69,26.4,13.31,1.56,2.26
19:49:24.798,0.72,1.46,1.04,0.62,9065.02,64.71,14.35,1.7,2.26
19:49:24.898,0.75,1.49,1.07,0.59,9265.09,65.55,14.32,1.68,2.26
19:49:24.998,0.67,1.4,1.02,0.56,8316.79,62.35,14.08,1.68,2.29
19:49:25.099,0.71,1.46,1.05,0.57,8814.2,63.6,14.12,1.68,2.24
19:49:25.199,0.72,1.49,1.06,0.6,8995.01,63.19,14.22,1.69,2.21
19:49:25.299,0.66,1.43,1.03,0.57,8265.65,60.77,14.05,1.66,2.29
19:49:25.399,0.66,1.38,1.02,0.56,8145.37,62.09,14.06,1.67,2.31
19:49:25.499,0.67,1.39,1.04,0.58,8369.62,63.2,14.3,1.68,2.36
19:49:25.598,0.6,1.51,1.01,0.56,7393.84,51.68,13.91,1.65,2.26
19:49:25.699,0.66,1.41,1.25,0.74,8320.5,61.6,14.03,1.73,2.24
19:49:25.799,0.68,1.38,1.52,0.79,8500.9,65.04,14.34,1.82,2.28
19:49:25.899,0.67,1.37,1.03,0.57,8324.1,64.13,13.78,1.67,2.26
19:49:26.000,0.69,1.39,1.04,0.57,8674.18,64.77,14.16,1.69,2.27
19:49:26.099,0.68,1.51,1.03,0.57,8513.26,59.27,13.92,1.67,2.2
19:49:26.199,0.66,1.37,1.02,0.56,8234.01,62.91,14.05,1.68,2.3
19:49:26.300,0.77,1.46,1.07,0.58,9515.51,68.64,14.4,1.7,2.26
19:49:26.400,0.65,1.44,1.02,0.56,8097.16,58.97,13.93,1.69,2.24
19:49:26.500,0.72,1.47,1.06,0.59,8998.38,64.39,14.15,1.69,2.23
19:49:26.600,0.54,1.42,1.02,0.61,6760.81,50.05,13.95,1.68,2.32
19:49:26.700,0.51,1.28,1.03,0.72,6288.32,51.76,13.87,1.72,2.33
19:49:26.801,0.7,1.35,1.03,0.66,8781.52,67.9,13.87,1.71,2.2
19:49:26.901,0.68,1.33,1.03,0.66,8495.03,66.8,13.65,1.71,2.19
19:49:27.002,0.66,1.29,1.02,0.65,8215.92,66.38,13.83,1.7,2.26
19:49:27.101,0.67,1.33,1.02,0.65,8328.84,66.17,13.73,1.69,2.23
19:49:27.201,0.68,1.34,1.03,0.66,8507.28,66.91,13.64,1.7,2.19
