Time Elapsed (s), sys_mem_r(MB/s), sys_mem_w(MB/s), total(MB/s)
14.5238,43643.6,27025.7,70669.4
14.6316,41910,28530.8,70440.8
14.7316,49374.7,30555.4,79930
14.8317,47907.3,31375.6,79282.9
14.9318,48278.6,32153,80431.5
15.0319,49795.7,30847.3,80642.9
15.132,47766.7,31917.9,79684.6
15.2321,49379.2,31338.6,80717.9
15.3322,48330,30795.6,79125.6
15.4323,46165.1,25565.6,71730.8
15.5385,44107.3,8232.94,52340.2
15.6387,33092.7,21117.9,54210.6
15.7387,42163.2,27481.9,69645.1
15.8389,42067.5,27788.6,69856
15.9392,42088.2,27333.7,69421.9
16.0486,43749,27699.1,71448.2
16.1487,48127.2,31053.8,79180.9
16.2487,49432.2,31744.6,81176.9
16.3487,48906.4,31798.3,80704.7
16.4487,46995.3,31185.4,78180.7
16.5488,49378.5,32232.6,81611
16.6488,34970,23332.7,58302.7
16.7535,38862.2,23776.5,62638.7
16.8537,20618.7,14940.8,35559.5
16.9539,32349.5,20227.8,52577.3
17.054,40592,12419.4,53011.4
17.1542,34567,9035.66,43602.7
17.2544,38587.2,25724.9,64312.1
17.3632,43167.8,28414.6,71582.4
17.4633,48700.4,30467.9,79168.2
17.5634,48063.3,32564.6,80628
17.6636,49929.3,31014,80943.2
17.7628,47998.5,31550.9,79549.4
17.8629,47967.2,31974.9,79942.1
17.963,50506.7,31157.9,81664.6
18.0631,47972.8,32194.4,80167.2
18.1632,49244,31109.6,80353.6
18.2634,48325.5,31137.7,79463.2
18.3635,49445.2,31697.1,81142.3
18.4636,47014.2,14764,61778.1
18.5687,36926.2,14842.7,51768.9
18.67,42342.3,27134.1,69476.4
18.769,41777.5,28271.6,70049.1
18.8692,43004.7,26498.6,69503.3
18.9774,42746.2,28025.6,70771.8
19.0775,47017.4,30054.4,77071.8
19.1774,43693,29549.7,73242.7
19.2775,45836.5,28695.2,74531.7
19.3776,45860.2,31172.9,77033.1
19.4777,49392.3,30754.4,80146.7
19.5779,48169.9,31401.9,79571.7
19.678,48315.8,32037,80352.8
19.7784,49694.2,31235.2,80929.3
19.8785,44108,21725.9,65834
19.9822,41653.7,8699,50352.7
20.0824,35707.2,24153.6,59860.8
20.1816,43741.3,27119,70860.3
20.2807,40574.3,27701.2,68275.5
20.3904,44845.5,27664.3,72509.8
20.4905,47117.9,32078.9,79196.8
20.5906,49356.5,30616.6,79973.1
20.6906,48605.6,31803.7,80409.3
20.7907,47799.9,31943.1,79743
20.8908,49890.5,30944.8,80835.3
20.9909,47613.1,31932.6,79545.7
21.0908,49380.4,31337.5,80717.9
21.1909,48814.4,31226.4,80040.8
21.291,47325.2,25461.5,72786.6
21.3977,43041.6,8647.33,51688.9
21.4979,36484.1,24533.5,61017.6
21.598,43199.4,26908.3,70107.7
21.6983,40507.4,27466.8,67974.3
21.7985,43231.2,26887.6,70118.8
21.907,43372.4,29151.1,72523.5
22.007,49566.4,30812.5,80378.9
22.107,48142.9,32346.7,80489.6
22.2071,45018.3,28016.4,73034.7
22.3072,35221.3,23705.4,58926.7
22.4107,27131.1,16839.9,43971
22.5108,28745.3,18658.1,47403.4
22.611,37824.7,25852.9,63677.6
22.7111,43010.4,26678.4,69688.9
22.8219,42814.2,28661,71475.2
22.922,46858.9,15500.2,62359.1
23.0222,36646.2,12556,49202.2
23.1304,47352,30327.2,77679.2
23.2378,43432.1,27432.6,70864.7
23.3378,47961.7,32128.6,80090.4
23.4379,49988.7,31034.5,81023.2
23.538,47799.9,31904.2,79704.1
23.6381,49133,31517.9,80651
23.738,48662.8,30698.3,79361
23.8382,48495.3,30937.6,79432.9
23.9373,50030.5,32804,82834.5
24.0374,47486.1,31348.9,78835
24.1375,48510,32036.1,80546.2
24.2376,49443.6,30532.1,79975.7
24.3377,47307.8,7328.83,54636.6
24.444,36573.4,22031,58604.3
24.5442,41822.4,26996.7,68819.1
24.6444,43602.2,27382.6,70984.8
24.7446,41081.1,26466.8,67548
24.8509,43903.9,28377.5,72281.4
24.951,46825.5,31608.3,78433.7
25.0511,49566.9,30873.9,80440.8
25.1512,48683.7,31648.7,80332.4
25.2513,48465.8,31955.7,80421.5
25.3514,48945,30824.7,79769.7
25.4515,43689.2,28526.4,72215.5
25.5602,44635.7,28966.9,73602.6
25.6614,39810.1,26142.6,65952.8
25.7615,38639.6,14278.8,52918.4
25.8617,36379.8,8307.04,44686.8
25.9619,35509,23980.1,59489.1
26.0622,43411.5,26759.9,70171.4
26.1687,42422.6,27278.6,69701.1
26.2688,49007.5,32027.3,81034.8
26.3689,47608.5,31414.5,79023
26.4689,48703.7,32138.7,80842.3
26.569,49285,30497.6,79782.5
26.6691,47913.2,32318.4,80231.6
26.769,49164.7,30536.7,79701.4
26.8701,48707.3,31657,80364.3
26.9702,48463.8,31868.6,80332.4
27.0703,49784.2,31492.2,81276.3
27.1704,46851.1,21464.3,68315.5
27.2771,40298.1,9405.83,49704
27.3774,39190.8,26257.9,65448.7
27.4775,42577.5,27354.1,69931.6
27.5776,41771.5,28001.4,69772.9
27.6815,44716.2,27795.1,72511.3
27.7816,45744.2,30529.6,76273.8
27.8816,48884.5,31092.3,79976.7
27.9844,48960.2,31031.9,79992.1
28.0846,48364.2,32310.3,80674.4
28.1847,49444.6,30889.6,80334.2
28.2847,47789.5,31380.1,79169.6
28.3849,48769.5,32518.9,81288.4
28.485,49750.3,30688.5,80438.8
28.585,47225.9,22788.7,70014.6
28.6915,40871.7,9143.26,50015
28.7916,38056.5,25506.1,63562.6
28.8919,43045,27206.2,70251.2
28.992,41227.1,27910.4,69137.6
29.0921,42938.1,26367.2,69305.3
29.2017,43302.3,27994.9,71297.1
29.3018,49434.1,31940.8,81374.9
29.4019,47209.5,31194.3,78403.8
29.502,29875.5,19594.1,49469.5
29.6088,38777.4,24258.2,63035.6
29.7096,20549.6,14115.8,34665.4
29.8098,39050.2,24601.5,63651.8
29.9099,40145.1,27392.8,67537.8
30.0213,44814.2,27698.3,72512.5
30.1213,46885.8,31920,78805.8
30.2214,47107.6,12214.2,59321.8
30.3279,37200.6,15647.2,52847.8
30.4281,41744.2,27314.2,69058.5
30.5283,41554.7,27561.1,69115.8
30.6285,43819.7,27376.2,71195.9
30.7381,42213,28478.1,70691.1
30.8382,48645.6,30517.9,79163.5
30.9383,48237.4,31367.8,79605.2
31.0383,48493.5,31970,80463.5
31.1384,49556.9,31462.8,81019.7
31.2386,47906.2,31894.1,79800.3
31.3387,49003.8,31853.6,80857.4
31.4387,48878.4,30598.2,79476.6
31.5388,48227,32477.2,80704.2
31.6388,47955.9,12736.2,60692
31.7442,37344.6,15893.1,53237.7
31.844,41488.4,26951.8,68440.2
31.9444,41787.6,27837.4,69625
32.0446,43793.7,27275.6,71069.3
32.1544,41625.1,28236.3,69861.4
32.2543,48779.3,30437.8,79217.1
32.3544,48100.2,31404.3,79504.5
32.4545,48564.6,32492.7,81057.3
32.5545,50130.9,31199.2,81330.1
32.6546,47765,31889.6,79654.6
32.7547,48830,31289.7,80119.8
32.8548,48473.1,30842,79315.1
32.9549,48865.4,31236.1,80101.5
33.0551,47530.7,14770.3,62300.9
33.1632,37308.5,15489.5,52798.1
33.2643,41876.6,27527.4,69404.1
33.3645,41913,27587.6,69500.6
33.4647,43754.7,27374.1,71128.9
33.5721,39396.2,25248.2,64644.4
33.6731,48383.6,31764.1,80147.7
33.773,41291.6,27109,68400.5
33.873,48313.8,31453.9,79767.7
