Time (s),DRAM Power (W),IPC
0.0001,0.00,1.80
0.2458,21.57,1.98
0.5726,28.45,1.65
0.8677,25.63,2.42
1.1373,22.54,1.59
1.4402,26.38,1.60
1.7178,24.12,2.69
1.9937,23.53,1.58
2.2656,23.14,1.64
2.5389,23.14,1.68
2.8221,24.07,1.57
3.0947,23.31,1.61
3.3724,25.27,1.32
3.6597,25.70,1.60
3.9475,25.71,1.03
4.2462,26.45,0.66
4.5262,24.56,0.65
4.8054,24.43,1.07
5.0763,24.63,1.80
5.3532,26.71,1.59
5.6447,28.55,1.84
5.9318,27.83,2.10
6.2435,30.71,1.84
6.5496,30.39,0.86
6.8171,25.14,0.92
7.0832,23.37,1.32
7.3617,26.60,1.09
7.6325,26.17,1.37
7.9245,28.52,1.17
8.1980,26.56,1.03
8.4764,27.27,0.95
8.7467,26.64,1.76
9.0291,27.61,2.06
9.2947,26.11,2.10
9.5680,26.82,2.30
9.8423,26.88,1.82
10.1243,27.40,1.28
10.4109,27.93,1.12
10.6817,25.80,1.52
10.9657,27.56,1.38
11.2617,28.01,2.06
11.5499,27.51,1.92
11.8357,28.22,1.31
12.1046,25.82,1.93
12.3755,26.33,1.42
12.6528,25.28,2.24
12.9246,24.78,1.25
13.2010,26.63,1.41
13.4779,26.94,1.37
13.7420,25.81,1.02
14.0126,26.62,1.02
14.2965,27.80,1.60
14.5765,27.34,2.00
14.8660,28.31,2.10
15.1380,26.03,1.95
15.4008,25.93,1.95
15.6071,20.06,1.90
15.8050,19.33,1.01
16.1132,30.31,1.16
16.4014,27.68,1.92
16.6618,25.66,2.09
16.9406,27.70,1.84
17.2225,27.38,1.75
17.4989,27.07,1.33
17.7750,27.18,1.23
18.0593,26.93,0.99
18.3290,24.68,2.24
18.6025,24.68,1.19
18.8778,26.78,0.82
19.1506,26.63,0.98
19.4316,27.56,1.81
19.7236,28.97,2.12
20.0046,27.78,1.75
20.2895,28.17,1.30
20.5567,26.16,1.29
20.8419,27.88,1.01
21.1348,28.55,1.18
21.4004,25.66,0.94
21.6875,28.03,1.00
21.9515,25.79,1.07
22.2199,26.11,1.69
22.5053,27.84,1.43
22.7727,25.84,2.15
23.0535,27.71,2.19
23.3249,26.84,1.39
23.6172,28.18,1.29
23.9100,26.78,1.55
24.1943,25.62,1.23
24.4680,26.38,0.96
24.7414,26.80,0.79
25.0384,29.03,1.47
25.3205,27.61,1.72
25.5974,26.90,1.74
25.8723,26.71,1.90
26.1690,28.63,1.37
26.4427,26.02,0.91
26.7220,26.79,0.78
26.9855,25.40,0.77
27.2739,27.60,1.02
27.5605,27.57,1.09
27.8445,27.28,0.91
28.0484,19.30,2.13
28.3406,27.81,2.12
28.6163,27.15,1.39
28.8852,26.49,1.14
29.1526,25.72,1.21
29.4332,27.51,1.19
29.7062,26.19,1.04
29.9796,25.15,1.99
30.2405,23.66,1.07
30.5167,27.11,1.10
30.7834,25.67,1.20
31.0645,27.52,1.17
31.3579,28.87,2.10
31.6429,28.09,1.88
31.9217,27.36,1.42
32.1972,26.78,1.23
32.4716,26.22,1.30
32.7614,28.21,1.18
33.0540,28.30,1.12
33.3380,27.40,1.10
33.6213,27.36,1.06
33.9007,26.81,1.05
34.1752,26.39,1.32
34.3775,18.90,0.92
34.6528,26.14,0.81
34.9472,28.09,0.85
35.2426,28.27,0.85
35.5282,27.05,1.00
35.7296,19.37,1.18
36.0348,27.54,1.82
36.3175,26.01,1.34
