Time (s),DRAM Power (W),IPC
0.0001,0.00,1.29
0.2012,17.46,1.98
0.4938,24.94,1.35
0.7860,25.16,1.86
1.0687,24.07,1.25
1.3373,22.92,0.85
1.6003,22.27,1.57
1.8754,23.50,1.29
2.1372,22.15,0.40
2.4369,27.89,0.45
2.7867,33.33,0.21
3.0664,26.95,0.33
3.3571,27.95,0.40
3.6444,27.78,0.42
3.9406,28.47,0.26
4.2281,27.64,0.82
4.7377,55.61,1.94
5.0335,25.62,1.13
5.3176,25.06,1.29
5.6172,26.45,1.29
5.8883,24.07,1.37
6.1674,24.70,1.12
6.5191,33.17,1.35
6.8468,30.78,1.41
7.0644,19.91,1.30
7.2714,18.70,1.31
7.4811,18.71,1.48
7.8167,29.49,1.50
8.0949,24.41,1.69
8.4358,30.68,1.66
8.7510,29.08,1.70
9.0105,23.97,1.81
9.3092,27.43,1.57
9.6355,30.10,1.69
9.9622,30.13,1.57
10.2970,31.12,1.71
10.6115,28.92,1.49
10.9350,29.97,1.56
11.2834,32.16,1.62
11.5941,28.87,1.70
11.8672,25.39,1.76
12.2067,31.26,1.70
12.5557,32.29,2.30
12.8427,25.01,2.41
13.1306,24.52,1.33
13.4301,25.90,1.11
13.7210,26.15,1.12
14.0397,31.28,1.31
14.3718,31.49,1.68
14.6225,23.15,1.83
14.9609,31.53,1.82
15.2838,29.83,1.76
15.5442,24.45,1.84
15.7908,22.97,1.68
16.1520,34.02,1.36
16.4689,29.33,1.68
16.8225,33.30,1.83
17.2194,36.52,1.81
17.5629,31.63,1.64
17.8925,30.33,1.53
18.2305,31.48,1.67
18.5308,27.34,2.15
18.8165,24.39,2.00
19.0823,22.66,0.92
19.3895,26.96,0.93
19.7841,37.78,1.64
20.1232,32.18,1.84
20.4590,31.74,1.69
20.7894,30.62,1.47
21.1365,32.73,1.58
21.4499,29.31,1.39
21.7661,29.82,1.65
22.0922,30.73,1.78
22.4253,31.14,1.59
22.7638,31.75,1.60
23.1014,31.48,1.59
23.3911,27.12,1.64
23.6473,23.70,1.71
23.9777,30.82,1.75
24.2959,29.76,2.28
24.5032,18.58,2.10
24.7824,23.83,1.50
25.1483,32.17,1.87
25.4018,21.96,1.34
25.6542,22.08,2.03
25.9571,26.32,1.31
26.2238,22.92,0.84
26.5089,24.92,1.00
26.7998,25.17,1.22
