Time, sys_mem_r(MB/s), sys_mem_w(MB/s), total(MB/s)
2024-09-18 18:19:34,621.912,580.891,1202.8
2024-09-18 18:19:34,2632.12,977.78,3609.9
2024-09-18 18:19:34,539.051,612.141,1151.19
2024-09-18 18:19:34,671.362,696.92,1368.28
2024-09-18 18:19:34,689.043,705.578,1394.62
2024-09-18 18:19:35,1969.1,1555.67,3524.78
2024-09-18 18:19:35,2322.36,2099.75,4422.1
2024-09-18 18:19:35,2396.1,2192.73,4588.83
2024-09-18 18:19:35,2308.97,2111.01,4419.98
2024-09-18 18:19:35,2317.8,2106.73,4424.53
2024-09-18 18:19:35,2366.34,2196.76,4563.1
2024-09-18 18:19:35,2354.05,2177.64,4531.69
2024-09-18 18:19:35,2326.36,2151.13,4477.49
2024-09-18 18:19:35,2270.2,2113.79,4383.99
2024-09-18 18:19:36,2321.33,2145.65,4466.97
2024-09-18 18:19:36,2319.97,2157.25,4477.22
2024-09-18 18:19:36,2340.73,2201.41,4542.13
2024-09-18 18:19:36,2285.93,2147.06,4432.99
2024-09-18 18:19:36,2278.39,2133.06,4411.44
2024-09-18 18:19:36,2328.26,2185.44,4513.7
2024-09-18 18:19:36,2324.69,2178.85,4503.55
2024-09-18 18:19:36,2293.97,2146.36,4440.34
2024-09-18 18:19:36,2186.04,2020.31,4206.35
2024-09-18 18:19:37,2363.65,2215.25,4578.9
2024-09-18 18:19:37,2294.11,2149.29,4443.4
2024-09-18 18:19:37,2247.37,2130.38,4377.75
2024-09-18 18:19:37,2277.5,2166.04,4443.55
2024-09-18 18:19:37,2354.78,2216.56,4571.34
2024-09-18 18:19:37,2298.73,2172.29,4471.03
2024-09-18 18:19:37,2298.5,2175.28,4473.78
2024-09-18 18:19:37,2224.88,2108.54,4333.41
2024-09-18 18:19:37,2301.08,2168.66,4469.74
2024-09-18 18:19:37,1564.9,1535.03,3099.94
2024-09-18 18:19:38,153.869,111.439,265.308
2024-09-18 18:19:38,5062.68,2845.17,7907.85
2024-09-18 18:19:38,18768.7,9282.66,28051.3
2024-09-18 18:19:38,20893.7,10299,31192.7
2024-09-18 18:19:38,20983.2,10363.5,31346.7
2024-09-18 18:19:38,20933.3,10289.3,31222.6
2024-09-18 18:19:38,21313.6,10519,31832.6
2024-09-18 18:19:38,7324.39,3672.56,10997
2024-09-18 18:19:38,568.092,185.887,753.98
2024-09-18 18:19:39,1255.38,515.975,1771.36
2024-09-18 18:19:39,659.373,461.429,1120.8
Time, sys_mem_r(MB/s), sys_mem_w(MB/s), total(MB/s)
2024-09-18 18:19:39,476.913,290.7,767.613
2024-09-18 18:19:39,478.265,323.183,801.448
2024-09-18 18:19:40,401.052,195.948,597
2024-09-18 18:19:40,721.959,482.293,1204.25
2024-09-18 18:19:40,484.996,381.821,866.817
2024-09-18 18:19:40,65.5014,49.927,115.428
2024-09-18 18:19:40,326.604,240.928,567.532
2024-09-18 18:19:40,136.554,118.634,255.187
2024-09-18 18:19:40,413.008,315.375,728.383
2024-09-18 18:19:40,65.5104,51.8739,117.384
2024-09-18 18:19:40,228.83,155.222,384.052
2024-09-18 18:19:40,147.764,128.945,276.708
2024-09-18 18:19:41,314.546,220.808,535.354
2024-09-18 18:19:41,12.7149,14,26.7149
2024-09-18 18:19:41,161.53,147.501,309.031
2024-09-18 18:19:41,33.7363,30.413,64.1493
2024-09-18 18:19:41,106.041,93.22,199.261
2024-09-18 18:19:41,160.3,145.129,305.43
2024-09-18 18:19:41,125.075,111.732,236.808
2024-09-18 18:19:41,66.4157,64.5942,131.01
2024-09-18 18:19:41,141.579,136.862,278.441
2024-09-18 18:19:42,111.779,97.5837,209.363
2024-09-18 18:19:42,70.0702,61.1938,131.264
2024-09-18 18:19:42,162.821,158.497,321.318
2024-09-18 18:19:42,918.602,515.059,1433.66
2024-09-18 18:19:42,79.1546,66.9709,146.125
2024-09-18 18:19:42,2575.55,1455.6,4031.15
2024-09-18 18:19:42,8007.99,4709.04,12717
2024-09-18 18:19:42,5836.89,3002.57,8839.46
2024-09-18 18:19:42,2159.67,1220.91,3380.58
2024-09-18 18:19:43,821.903,714.741,1536.64
2024-09-18 18:19:43,1044.78,969.874,2014.65
2024-09-18 18:19:43,1368.26,1202.37,2570.63
2024-09-18 18:19:43,209.719,156.609,366.328
2024-09-18 18:19:43,1962.12,1907.53,3869.65
2024-09-18 18:19:43,2045.9,2080.89,4126.79
2024-09-18 18:19:43,2114.44,2292.86,4407.3
2024-09-18 18:19:43,2280.76,2159.19,4439.95
2024-09-18 18:19:43,3070.42,2505.48,5575.9
2024-09-18 18:19:43,2344.55,2311.71,4656.26
2024-09-18 18:19:44,2091.6,2193.2,4284.8
2024-09-18 18:19:44,3856.28,3063.87,6920.15
2024-09-18 18:19:44,4146.08,4104.08,8250.16
2024-09-18 18:19:44,936.443,503.021,1439.46
2024-09-18 18:19:44,156.077,122.492,278.569
2024-09-18 18:19:44,88.0832,74.0346,162.118
2024-09-18 18:19:44,110.823,107.153,217.976
2024-09-18 18:19:44,1207.74,683.068,1890.81
2024-09-18 18:19:44,3592.67,1840.03,5432.7
2024-09-18 18:19:44,3462.92,1752.98,5215.9
2024-09-18 18:19:45,3494,2708.79,6202.79
2024-09-18 18:19:45,5508.15,3455.46,8963.61
2024-09-18 18:19:45,6172.03,4177.85,10349.9
2024-09-18 18:19:45,3613.56,1450.35,5063.91
2024-09-18 18:19:45,2320.98,2562.26,4883.24
2024-09-18 18:19:45,2175.45,2385.27,4560.72
2024-09-18 18:19:45,2341.1,2670.76,5011.86
2024-09-18 18:19:45,2363.51,2654.58,5018.09
2024-09-18 18:19:45,2080.58,2023.73,4104.31
2024-09-18 18:19:45,1834.4,1693.13,3527.53
2024-09-18 18:19:46,2018.38,2042.63,4061.01
2024-09-18 18:19:46,2107.02,2210.48,4317.5
2024-09-18 18:19:46,1788.3,1606.88,3395.18
2024-09-18 18:19:46,836.494,764.995,1601.49
2024-09-18 18:19:46,103.189,84.153,187.342
2024-09-18 18:19:46,2198.2,85.8797,2284.08
2024-09-18 18:19:46,100.925,96.6419,197.567
2024-09-18 18:19:46,1052.64,794.166,1846.8
2024-09-18 18:19:46,1016.63,731.79,1748.42
2024-09-18 18:19:46,3254.55,1810.81,5065.35
2024-09-18 18:19:47,3475.66,1771.11,5246.77
2024-09-18 18:19:47,4509.64,2261.63,6771.27
2024-09-18 18:19:47,7031.35,2497.46,9528.81
2024-09-18 18:19:47,2200.46,1177.95,3378.41
2024-09-18 18:19:47,2136.11,41.8266,2177.93
2024-09-18 18:19:47,739.914,432.918,1172.83
2024-09-18 18:19:47,1002.51,727.688,1730.2
2024-09-18 18:19:47,3015.68,1711.42,4727.1
2024-09-18 18:19:47,3495.43,1790.17,5285.59
2024-09-18 18:19:47,3443.41,1770.17,5213.58
2024-09-18 18:19:48,7627.59,2824.79,10452.4
2024-09-18 18:19:48,3588.28,1821.53,5409.81
2024-09-18 18:19:48,2207.62,107.636,2315.26
2024-09-18 18:19:48,389.146,264.828,653.974
2024-09-18 18:19:48,1216.97,802.782,2019.75
2024-09-18 18:19:48,1910.19,2042.32,3952.5
2024-09-18 18:19:48,549.668,618.058,1167.73
2024-09-18 18:19:48,1954.2,1912.77,3866.97
2024-09-18 18:19:48,496.764,238.754,735.518
2024-09-18 18:19:48,670.238,343.739,1013.98
2024-09-18 18:19:49,1419.39,471.594,1890.99
2024-09-18 18:19:49,4427.4,821.529,5248.93
2024-09-18 18:19:49,1268.28,535.356,1803.64
2024-09-18 18:19:49,1172.82,808.313,1981.14
2024-09-18 18:19:49,452.523,318.047,770.57
Time, sys_mem_r(MB/s), sys_mem_w(MB/s), total(MB/s)
2024-09-18 18:19:50,693.59,432.1,1125.69
2024-09-18 18:19:50,548.123,373.972,922.095
2024-09-18 18:19:50,675.855,349.772,1025.63
2024-09-18 18:19:50,238.684,124.062,362.746
2024-09-18 18:19:50,239.325,182.449,421.775
2024-09-18 18:19:50,271.076,169.79,440.866
2024-09-18 18:19:50,693.791,308.408,1002.2
2024-09-18 18:19:50,457.647,277.751,735.398
2024-09-18 18:19:51,647.113,448.758,1095.87
2024-09-18 18:19:51,511.349,382.847,894.196
2024-09-18 18:19:51,389.702,298.639,688.341
2024-09-18 18:19:51,189.521,165.306,354.827
2024-09-18 18:19:51,122.738,83.1789,205.917
2024-09-18 18:19:51,165.606,125.151,290.756
2024-09-18 18:19:51,91.8938,94.0755,185.969
2024-09-18 18:19:51,3425.19,2346.5,5771.69
2024-09-18 18:19:51,6992.88,6788.69,13781.6
2024-09-18 18:19:51,7457.16,6715,14172.2
2024-09-18 18:19:52,7537.82,7644.07,15181.9
2024-09-18 18:19:52,7699.18,7523.12,15222.3
2024-09-18 18:19:52,7567.78,6586.53,14154.3
2024-09-18 18:19:52,7479.76,7585.21,15065
2024-09-18 18:19:52,7685.49,6800.78,14486.3
2024-09-18 18:19:52,8024.05,7955.68,15979.7
2024-09-18 18:19:52,7550.83,7396.41,14947.2
2024-09-18 18:19:52,7647.29,6794.82,14442.1
2024-09-18 18:19:52,7857.02,6670.45,14527.5
2024-09-18 18:19:52,7923.33,7955.76,15879.1
2024-09-18 18:19:53,7685.08,7544.38,15229.5
2024-09-18 18:19:53,7974.01,7650.69,15624.7
2024-09-18 18:19:53,7785.9,7620.35,15406.3
2024-09-18 18:19:53,7798.21,7584.6,15382.8
2024-09-18 18:19:53,7893.71,7505.05,15398.8
2024-09-18 18:19:53,7843.58,7147.78,14991.4
2024-09-18 18:19:53,7818.76,7644.45,15463.2
2024-09-18 18:19:53,7939.22,7668.81,15608
2024-09-18 18:19:53,7836.28,6926.45,14762.7
2024-09-18 18:19:54,7963.76,7734.05,15697.8
2024-09-18 18:19:54,7636.91,7534.28,15171.2
2024-09-18 18:19:54,8026.33,7716.07,15742.4
2024-09-18 18:19:54,7702.57,6717.9,14420.5
2024-09-18 18:19:54,8029.74,7828.08,15857.8
2024-09-18 18:19:54,7816.14,7622.47,15438.6
2024-09-18 18:19:54,8059.57,7781.47,15841
2024-09-18 18:19:54,7955.11,7543.12,15498.2
2024-09-18 18:19:54,7877.88,7713.64,15591.5
2024-09-18 18:19:54,8002.44,7658.07,15660.5
2024-09-18 18:19:55,7910.99,7653.43,15564.4
2024-09-18 18:19:55,7877.25,7606.2,15483.4
2024-09-18 18:19:55,8028.1,7738.45,15766.5
2024-09-18 18:19:55,8139.59,7796.74,15936.3
2024-09-18 18:19:55,7798.44,7557.76,15356.2
2024-09-18 18:19:55,7877.51,7597.78,15475.3
2024-09-18 18:19:55,8045.85,7713.57,15759.4
2024-09-18 18:19:55,8040.86,7779.46,15820.3
2024-09-18 18:19:55,8044.47,7745.7,15790.2
2024-09-18 18:19:55,7741.06,6848.14,14589.2
2024-09-18 18:19:56,8080.3,7762.07,15842.4
2024-09-18 18:19:56,7836.88,7637.96,15474.8
2024-09-18 18:19:56,7985.87,7696.87,15682.7
2024-09-18 18:19:56,8011,7564.61,15575.6
2024-09-18 18:19:56,7850.17,7156.8,15007
2024-09-18 18:19:56,7968.95,7677.5,15646.4
2024-09-18 18:19:56,7849.48,7679.25,15528.7
2024-09-18 18:19:56,7960.9,7698.93,15659.8
2024-09-18 18:19:56,8033.89,7717.6,15751.5
2024-09-18 18:19:57,7795.83,6882.86,14678.7
2024-09-18 18:19:57,8008.98,7726.75,15735.7
2024-09-18 18:19:57,7995.71,7697.41,15693.1
2024-09-18 18:19:57,7959.05,7720.3,15679.4
2024-09-18 18:19:57,7973.23,7622.64,15595.9
2024-09-18 18:19:57,7875.19,6749.36,14624.6
2024-09-18 18:19:57,7957.28,7914.1,15871.4
2024-09-18 18:19:57,8036.26,7751.52,15787.8
2024-09-18 18:19:57,7940.44,7745.96,15686.4
2024-09-18 18:19:57,7860.1,7606.03,15466.1
2024-09-18 18:19:58,8015.86,7705.2,15721.1
2024-09-18 18:19:58,8022.69,7706.67,15729.4
2024-09-18 18:19:58,7995.11,7709.4,15704.5
2024-09-18 18:19:58,7991.02,7685.83,15676.8
2024-09-18 18:19:58,7487.73,7343.21,14830.9
2024-09-18 18:19:58,8027.57,7747.35,15774.9
2024-09-18 18:19:58,7986.15,7646.1,15632.2
2024-09-18 18:19:58,7617.41,7496.12,15113.5
2024-09-18 18:19:58,7985.01,7725.47,15710.5
2024-09-18 18:19:59,8131.27,7839.47,15970.7
2024-09-18 18:19:59,7674.29,7597.18,15271.5
2024-09-18 18:19:59,7923.43,7622.46,15545.9
2024-09-18 18:19:59,8125.89,7713.3,15839.2
2024-09-18 18:19:59,7726.58,7663,15389.6
2024-09-18 18:19:59,7923.28,7665.05,15588.3
2024-09-18 18:19:59,7916.52,7603.88,15520.4
2024-09-18 18:19:59,7720.84,7619.34,15340.2
2024-09-18 18:19:59,8020.35,7697.96,15718.3
2024-09-18 18:19:59,7919.87,7581.11,15501
2024-09-18 18:20:00,7692.9,7486.46,15179.4
2024-09-18 18:20:00,8035.86,7789.1,15825
2024-09-18 18:20:00,8010.04,7716.58,15726.6
2024-09-18 18:20:00,7725.07,6791.95,14517
2024-09-18 18:20:00,7862.16,7900,15762.2
2024-09-18 18:20:00,7981.04,7700.31,15681.4
2024-09-18 18:20:00,8098.79,7810.4,15909.2
2024-09-18 18:20:00,7723.14,7526.75,15249.9
2024-09-18 18:20:00,7916.22,7616.15,15532.4
2024-09-18 18:20:01,7961.46,7668.44,15629.9
2024-09-18 18:20:01,5621.69,5326.25,10947.9
2024-09-18 18:20:01,1301.07,934.906,2235.98
2024-09-18 18:20:01,81.1119,51.3833,132.495
2024-09-18 18:20:01,1641.5,967.356,2608.86
2024-09-18 18:20:01,765.665,413.212,1178.88
2024-09-18 18:20:01,1655.36,1453.77,3109.13
2024-09-18 18:20:01,467.799,320.088,787.887
2024-09-18 18:20:01,185.621,142.302,327.922
2024-09-18 18:20:02,188.254,170.68,358.934
2024-09-18 18:20:02,241.974,228.706,470.679
2024-09-18 18:20:02,386.422,261.336,647.758
2024-09-18 18:20:02,224.759,126.1,350.859
2024-09-18 18:20:02,284.227,204.041,488.268
2024-09-18 18:20:02,300.497,191.474,491.971
2024-09-18 18:20:02,278.78,183.544,462.324
2024-09-18 18:20:02,200.457,131.594,332.051
2024-09-18 18:20:02,304.066,201.404,505.47
2024-09-18 18:20:02,276.495,184.119,460.614
2024-09-18 18:20:03,1602.9,396.462,1999.36
2024-09-18 18:20:03,468.458,211.391,679.849
2024-09-18 18:20:03,354.336,228.1,582.436
2024-09-18 18:20:03,252.69,150.49,403.18
2024-09-18 18:20:03,220.355,134.971,355.326
2024-09-18 18:20:03,264.708,161.658,426.366
2024-09-18 18:20:03,277.481,180.877,458.358
2024-09-18 18:20:03,236.473,146.963,383.437
2024-09-18 18:20:03,199.143,119.747,318.89
2024-09-18 18:20:03,260.912,165.896,426.808
2024-09-18 18:20:04,264.283,179.878,444.161
2024-09-18 18:20:04,368.611,267.557,636.168
2024-09-18 18:20:04,141.838,71.3206,213.159
2024-09-18 18:20:04,291.98,181.045,473.025
2024-09-18 18:20:04,301.317,211.028,512.344
2024-09-18 18:20:04,242.528,147.699,390.227
2024-09-18 18:20:04,168.917,89.1594,258.077
2024-09-18 18:20:04,291.856,212.966,504.822
2024-09-18 18:20:04,255.289,164.75,420.04
2024-09-18 18:20:05,280.925,179.068,459.993
2024-09-18 18:20:05,1481.56,316.987,1798.55
2024-09-18 18:20:05,300.052,180.932,480.984
2024-09-18 18:20:05,260.017,153.405,413.421
2024-09-18 18:20:05,279.121,185.823,464.945
2024-09-18 18:20:05,187.599,99.9316,287.53
2024-09-18 18:20:05,757.733,438.993,1196.73
2024-09-18 18:20:05,438.481,252.311,690.792
2024-09-18 18:20:05,239.932,150.495,390.427
2024-09-18 18:20:05,179.159,98.4671,277.626
2024-09-18 18:20:06,264.867,181.405,446.272
2024-09-18 18:20:06,514.629,337.827,852.456
2024-09-18 18:20:06,1350.54,413.941,1764.48
2024-09-18 18:20:06,223.865,126.047,349.912
2024-09-18 18:20:06,226.097,137.641,363.738
2024-09-18 18:20:06,263.492,148.231,411.723
