CPU Cap (W),GPU Cap (W),Runtime (s)
125,100,31.01
125,120,28.5
125,140,28.42
125,160,28.06
125,180,28.29
125,200,28.16
125,220,28.58
125,240,28.28
125,260,27.47
125,100,30.79
125,120,28.9
125,140,28.46
125,160,28.08
125,180,27.67
125,200,27.81
125,220,28.06
125,240,28.6
125,260,28.2
125,100,30.56
125,120,29.28
125,140,28.46
125,160,28.33
125,180,28.41
125,200,28.22
125,220,28.34
125,240,28.06
125,260,28.36
125,100,30.73
125,120,28.69
125,140,27.5
125,160,28.63
125,180,28.25
125,200,27.71
125,220,28.51
125,240,27.69
125,260,27.97
125,100,30.93
125,120,29.16
125,140,28.3
125,160,28.36
125,180,28.29
125,200,27.74
125,220,28.29
125,240,28.55
125,260,27.23
