CPU Cap (W),GPU Cap (W),Runtime (s)
125,100,28.46
125,120,25.57
125,140,24.01
125,160,22.79
125,180,22.42
125,200,21.74
125,220,21.89
125,240,21.47
125,260,21.89
125,100,28.46
125,120,25.61
125,140,23.95
125,160,22.86
125,180,22.28
125,200,22.01
125,220,21.73
125,240,21.51
125,260,21.67
125,100,28.83
125,120,25.49
125,140,24.15
125,160,22.99
125,180,22.23
125,200,22.01
125,220,22.08
125,240,21.75
125,260,21.74
125,100,28.84
125,120,25.53
125,140,23.73
125,160,23.08
125,180,22.28
125,200,21.83
125,220,21.74
125,240,21.69
125,260,21.62
125,100,28.52
125,120,25.76
125,140,23.78
125,160,23.02
125,180,22.5
125,200,22.09
125,220,21.92
125,240,21.59
125,260,21.71
