System,System,System,System,System,System,System,System,System,System
Time,EXEC,CFREQ,READ,WRITE,INST,PhysIPC%,Proc Energy (Joules),DRAM Energy (Joules),UncFREQ (Ghz)
02:27:03.677,0.57,2.3,6.25,2.14,7055.7,32.25,18.28,2.48,2.4
02:27:03.777,0.64,2.42,4.3,1.87,7927.58,34.45,18.34,2.11,2.4
02:27:03.878,0.56,2.31,6.58,2.29,7010.7,31.7,18.48,2.55,2.4
02:27:03.978,0.67,2.37,5.08,1.83,8345.45,36.79,18.52,2.22,2.4
02:27:04.078,0.67,2.36,5.02,1.8,8365.17,37.29,18.43,2.21,2.4
02:27:04.179,0.52,2.37,5.45,1.9,6465.03,28.57,18.17,2.3,2.41
02:27:04.278,0.67,2.38,4.89,1.82,8316.64,36.65,18.41,2.2,2.39
02:27:04.379,0.54,2.27,6.24,2.15,6775.03,31.24,18.16,2.48,2.4
02:27:04.479,0.68,2.33,4.87,1.77,8482.81,38.36,18.27,2.17,2.4
02:27:04.579,0.53,2.27,6.34,2.21,6622.7,30.71,18.15,2.48,2.41
02:27:04.679,0.62,2.36,4.0,1.75,7789.47,34.59,17.95,2.03,2.4
02:27:04.779,0.56,2.31,6.24,2.21,6944.51,31.67,18.18,2.49,2.41
02:27:04.879,0.66,2.34,5.22,1.89,8242.28,36.72,18.55,2.25,2.4
02:27:04.979,0.68,2.34,4.73,1.71,8464.18,38.12,18.16,2.14,2.4
02:27:05.079,0.56,2.34,6.36,2.24,6963.83,31.37,18.49,2.52,2.4
02:27:05.180,0.65,2.32,4.71,1.73,8186.33,36.78,18.12,2.13,2.4
02:27:05.280,0.56,2.31,6.37,2.23,7004.02,31.92,18.38,2.52,2.4
02:27:05.380,0.67,2.35,5.06,1.84,8355.51,37.35,18.41,2.22,2.4
02:27:05.480,0.48,2.42,5.31,2.1,6032.16,26.18,18.19,2.31,2.4
02:27:05.580,0.64,2.4,4.33,1.64,7950.66,34.79,18.28,2.07,2.4
02:27:05.681,0.66,2.34,5.39,1.92,8299.58,37.07,18.55,2.29,2.4
02:27:05.781,0.58,2.36,6.07,2.15,7220.43,32.25,18.45,2.44,2.4
02:27:05.881,0.67,2.34,5.02,1.81,8390.97,37.77,18.36,2.21,2.4
02:27:05.980,0.55,2.28,5.97,2.07,6764.15,31.42,17.86,2.4,2.4
02:27:06.079,0.69,2.38,5.06,1.83,8504.11,37.71,18.5,2.21,2.4
02:27:06.179,0.66,2.33,5.58,1.97,8244.92,37.17,18.44,2.32,2.4
02:27:06.280,0.57,2.3,5.99,2.12,7065.15,32.27,18.27,2.43,2.4
02:27:06.379,0.63,2.34,4.27,1.82,7795.14,35.19,17.87,2.08,2.4
02:27:06.480,0.54,2.3,5.88,2.17,6741.23,30.63,18.22,2.44,2.4
02:27:06.580,0.67,2.38,4.99,1.87,8397.14,36.98,18.54,2.22,2.4
02:27:06.680,0.54,2.34,6.33,2.26,6752.69,30.2,18.41,2.51,2.39
02:27:06.780,0.67,2.36,4.6,1.73,8330.24,37.23,18.35,2.15,2.4
02:27:06.881,0.61,2.35,5.54,2.02,7710.24,34.19,18.46,2.35,2.4
02:27:06.981,0.58,2.38,5.33,1.96,7261.09,32.02,18.42,2.32,2.4
02:27:07.081,0.67,2.42,4.97,1.87,8337.67,36.35,18.47,2.2,2.4
