Time (s),DRAM Power (W),IPC
0.0001,0.00,1.25
0.2497,21.94,2.50
0.6196,31.43,2.43
0.9012,23.84,2.40
1.1027,16.98,2.62
1.3759,23.02,2.50
1.6464,22.88,2.46
1.9191,22.98,2.47
2.1906,22.83,2.47
2.4710,23.50,2.30
2.7307,22.01,2.49
3.0035,23.17,2.62
3.2767,23.20,2.47
3.5516,23.29,2.48
3.8283,23.57,2.43
4.1064,23.62,2.45
4.3943,24.39,2.45
4.6903,25.08,2.37
4.9056,18.23,2.68
5.1825,23.53,2.72
5.4614,23.60,2.25
5.6598,16.78,2.53
5.9478,24.42,2.38
6.2368,24.63,2.48
6.4436,17.53,2.26
6.7234,23.72,2.47
7.0227,25.30,2.40
7.3100,24.28,2.47
7.5146,17.34,2.49
7.7209,17.42,2.36
7.9169,16.54,2.52
8.1928,23.32,2.52
8.4600,22.70,2.32
8.6610,17.04,2.50
8.8599,16.87,2.48
9.0490,16.03,2.61
9.2674,18.47,2.33
9.5316,22.28,2.33
9.8144,23.92,2.39
10.0295,18.14,2.49
10.3194,24.53,2.52
10.5877,22.67,2.42
10.7850,16.72,2.59
10.9889,17.22,2.42
11.1930,17.28,2.59
11.3888,16.55,2.43
11.5890,16.88,2.55
11.8033,17.96,2.27
12.0749,22.92,2.50
12.3492,23.21,2.60
12.6413,24.67,2.37
12.9247,24.02,2.45
13.1167,16.31,2.55
13.4098,24.84,2.51
13.7011,24.74,2.47
13.9050,17.32,2.68
14.1843,23.57,2.72
14.4606,23.38,2.47
14.6610,16.90,2.36
14.9371,23.51,2.29
15.2211,24.24,2.40
15.4313,17.82,2.33
15.6436,18.22,2.44
15.8496,17.54,2.46
16.0576,17.74,2.43
16.3016,20.73,2.58
16.5807,23.81,2.59
16.8574,23.64,2.47
17.0549,16.74,2.51
17.2565,17.09,2.50
17.4677,18.01,2.33
17.7313,22.49,2.48
18.0070,23.46,2.47
18.2834,23.57,2.33
18.4896,17.51,2.62
18.7763,24.33,2.58
19.0525,23.47,2.50
19.2489,16.65,2.40
19.5333,24.00,2.44
19.8314,25.37,2.33
20.0497,18.60,2.59
20.3327,24.13,2.70
20.6048,23.16,2.72
20.8270,18.96,2.31
21.0983,23.27,2.53
21.3958,25.41,2.38
21.6979,25.81,2.45
21.8989,17.06,2.62
22.1836,24.23,2.66
22.4633,23.90,2.51
22.6730,17.75,2.41
22.9452,23.21,2.47
23.2213,23.60,2.47
23.4254,17.34,2.63
23.7009,23.53,2.71
23.9702,23.07,2.45
24.1712,17.03,2.49
24.4389,22.74,2.30
24.7276,24.56,2.69
24.9512,18.87,2.44
25.1698,18.52,2.43
25.3785,17.77,2.53
25.5896,17.83,2.42
25.8016,17.88,2.49
26.0055,17.16,2.42
26.2256,18.67,2.56
26.4215,16.61,2.23
26.7108,24.61,2.32
26.9883,23.55,2.43
27.2177,19.48,2.67
27.5058,24.52,2.51
27.7840,23.58,2.38
27.9992,18.21,2.47
28.2010,17.04,2.35
28.4768,23.40,2.15
28.7526,23.36,2.32
28.9616,17.68,2.69
29.2466,24.12,2.46
29.5160,22.85,2.52
29.7171,16.97,2.50
29.9172,16.97,2.66
30.1830,22.54,2.58
30.4718,24.57,2.33
30.7614,24.64,2.58
30.9752,18.05,2.39
31.1771,17.17,2.50
31.4525,23.37,2.36
31.7257,23.15,2.49
31.9168,16.16,2.44
32.1211,17.32,2.54
32.4013,23.73,2.56
32.6703,22.69,2.47
32.8768,17.37,2.57
33.1072,19.50,2.71
33.3822,23.21,2.70
33.6623,23.62,2.59
33.8811,18.52,2.49
34.1531,23.01,2.48
34.4335,23.75,2.26
34.6517,18.54,2.52
34.8566,17.31,2.44
35.0726,18.33,2.59
35.2807,17.57,2.41
35.4966,18.21,2.63
35.7878,24.75,2.55
36.0819,24.91,2.65
36.3094,19.20,2.40
36.5953,24.12,2.48
36.8681,23.06,2.44
37.0746,17.46,2.47
37.2865,17.88,2.46
37.4829,16.50,2.32
37.6824,16.85,2.48
37.8826,16.87,2.45
38.0784,16.61,2.48
38.2785,16.78,2.46
38.4807,17.08,2.33
38.6938,18.02,2.48
38.9007,17.47,2.40
39.1006,16.86,2.47
39.2965,16.57,2.33
39.5009,17.33,2.46
39.7095,17.70,2.39
39.9047,16.44,2.49
40.1088,17.30,2.69
40.3952,24.28,2.56
40.6806,24.19,2.41
40.8882,17.62,2.41
41.1662,23.58,2.45
41.4300,22.37,2.27
41.7060,23.36,2.67
42.0106,25.87,2.52
42.2896,23.63,2.53
42.4843,16.56,2.39
42.7545,22.95,2.34
42.9586,17.40,2.65
43.2559,25.20,2.63
43.5232,22.72,2.51
43.7281,17.41,2.39
44.0059,23.51,2.52
44.2874,23.88,2.49
44.5584,23.03,2.46
44.8430,24.17,2.48
45.0523,17.76,2.35
45.3334,23.82,2.34
45.6141,23.79,2.37
45.8207,17.51,2.63
46.1036,23.97,2.40
46.3749,23.11,2.41
46.5754,16.97,2.66
46.8550,23.65,2.39
47.1343,23.61,2.42
47.3393,17.34,2.52
47.6177,23.69,2.49
47.8884,22.93,2.39
48.0870,16.75,2.65
48.3892,25.51,2.54
48.6628,23.11,2.55
48.8607,16.65,2.38
49.1407,23.63,2.40
49.3572,18.27,2.53
49.6374,23.61,2.56
49.9137,23.39,2.32
50.1829,22.72,2.37
50.4016,18.47,2.41
50.7144,26.40,2.42
51.0141,25.42,2.46
51.2958,23.88,2.43
51.5055,17.75,2.54
51.8012,25.05,2.48
52.0672,22.49,2.50
52.2729,17.39,2.65
52.5416,22.69,2.39
52.8471,25.77,2.48
53.1199,23.04,2.35
53.3832,22.30,2.49
53.6621,23.56,2.50
53.9346,23.00,2.51
54.1969,22.06,2.33
54.4750,23.44,2.17
54.7385,22.13,2.34
54.9376,16.75,2.64
55.2360,25.24,2.64
55.5034,22.63,2.41
55.7784,23.16,2.34
56.0016,18.77,2.56
56.2981,24.95,2.67
56.5845,24.02,2.69
56.8575,23.02,2.46
57.1487,24.43,2.47
57.4289,23.63,2.20
57.7161,24.19,2.47
57.9889,23.04,2.30
58.2055,18.21,2.67
58.4811,23.25,2.54
58.7726,24.52,2.55
59.0724,25.08,2.52
59.2808,17.51,2.72
59.5559,23.13,2.73
59.8324,23.25,2.50
60.0473,18.02,2.45
60.3154,22.66,2.42
60.5977,23.76,2.33
60.8058,17.67,2.38
61.0140,17.59,2.39
61.2216,17.47,2.44
61.4254,17.14,2.45
61.6376,18.06,2.39
61.8376,16.94,2.53
62.0506,18.08,2.35
62.2497,16.89,2.48
62.4497,16.91,2.27
62.7466,25.13,2.36
63.0265,23.71,2.60
63.3149,24.56,2.50
63.5969,23.96,2.40
63.8218,19.00,2.45
64.0943,23.05,2.34
64.3768,23.96,2.31
64.6036,19.26,2.66
64.8964,24.92,2.54
65.1820,24.33,2.65
65.3976,18.34,2.23
65.6713,23.29,2.40
65.9578,24.44,2.47
66.2541,25.30,2.41
66.5393,24.44,2.33
66.7449,17.48,2.30
66.9369,16.23,2.61
67.2240,24.41,2.55
67.5035,23.67,2.49
67.7129,17.84,2.53
67.9090,16.62,2.51
68.1049,16.61,2.50
68.3069,17.08,2.49
68.5089,17.08,2.68
68.7920,24.00,2.44
69.0641,22.92,2.49
69.2772,18.13,2.54
69.4820,17.31,2.36
69.6848,17.18,2.65
69.9718,24.19,2.72
70.2556,24.02,2.47
70.4532,16.73,2.34
70.7181,22.50,2.46
71.0044,24.29,2.53
71.2805,23.48,2.43
71.5583,23.52,2.43
71.7654,17.52,2.53
71.9696,17.36,2.47
72.1733,17.19,2.57
72.3833,17.78,2.46
72.5838,17.00,2.57
72.7956,17.90,2.44
73.0109,18.31,2.45
73.2068,16.65,1.88
73.4616,21.71,0.98
