Time (s),DRAM Power (W),IPC
0.0000,0.00,1.73
0.2424,21.05,1.69
0.5238,23.81,1.51
0.8155,24.90,1.54
1.1064,24.52,1.48
1.3884,23.61,1.47
1.6641,23.25,1.50
1.9310,22.46,1.48
2.1362,17.30,1.54
2.3622,19.01,1.48
2.5543,16.13,1.54
2.7541,16.77,1.47
2.9663,17.81,1.54
3.1581,16.20,1.53
3.3937,19.89,1.53
3.5936,16.96,1.52
3.8136,18.63,1.44
4.0196,17.38,1.51
4.2397,18.58,1.48
4.4764,20.00,1.57
4.7078,19.53,1.44
4.9848,23.68,1.41
5.2816,25.37,1.49
5.5709,24.62,1.47
5.8487,23.64,1.47
6.0516,17.20,1.57
6.2516,16.93,1.44
6.4623,17.95,1.52
6.6675,17.33,1.41
6.9341,22.56,1.44
7.1355,17.07,1.55
7.4128,23.50,1.49
7.6715,21.96,1.46
7.8754,17.20,1.58
8.1493,23.21,1.57
8.4376,24.37,1.41
8.6985,22.11,1.47
8.9823,24.05,1.44
9.2606,23.57,1.53
9.5442,24.13,1.54
9.7996,21.73,1.59
9.9916,16.22,1.54
10.1957,17.23,1.59
10.4290,19.71,1.46
10.7137,24.15,1.61
10.9949,23.64,1.59
11.2775,23.85,1.59
11.5757,25.18,1.70
11.8590,23.90,1.53
12.1397,23.70,1.49
12.3579,18.46,1.63
12.6365,23.56,1.50
12.9148,23.46,1.51
13.2110,24.87,1.49
13.4891,23.49,1.57
13.7707,23.70,1.52
14.0598,24.49,1.52
14.3313,22.86,1.52
14.6252,24.88,1.53
14.9056,23.59,1.61
15.1120,17.21,1.60
15.3200,17.34,1.56
15.5360,18.05,1.54
15.7400,17.07,1.62
16.0203,23.57,1.52
16.2957,23.21,1.53
16.5827,24.20,1.51
16.8548,22.88,1.52
17.1218,22.39,1.57
17.4029,23.72,1.53
17.6781,23.16,1.61
17.9574,23.46,1.61
18.2330,23.22,1.63
18.5278,24.86,1.49
18.8121,23.96,1.53
19.0808,22.59,1.49
19.2800,16.83,1.62
19.5572,23.37,1.64
19.8276,22.83,1.63
20.1021,23.12,1.61
20.3827,23.70,1.52
20.6533,22.83,1.54
20.9189,22.35,1.62
21.1953,23.30,1.63
21.4764,23.54,1.59
21.7477,22.87,1.60
22.0233,23.14,1.59
22.3004,23.31,1.58
22.5932,24.65,1.47
22.8836,24.39,1.47
23.1481,22.29,1.61
23.4205,22.91,1.56
23.6782,21.84,1.49
23.9532,23.12,1.55
24.2235,22.75,1.54
24.5017,23.48,1.52
24.7736,22.96,1.54
25.0765,25.47,1.46
25.3682,24.57,1.56
25.6426,23.05,1.53
25.9259,23.85,1.52
26.2162,24.32,1.47
26.4895,22.99,1.51
26.6844,16.34,1.51
26.8846,16.84,1.65
27.1550,22.67,1.63
27.4536,25.12,1.55
27.7268,23.02,1.62
27.9366,17.64,1.61
28.1404,17.08,1.60
28.3361,16.37,1.55
28.5404,17.07,1.61
28.7485,17.44,1.51
28.9484,16.67,1.61
29.1564,17.52,1.57
29.3684,17.83,1.61
29.5844,18.13,1.51
29.7884,17.14,1.51
30.0003,17.86,1.61
30.2041,17.13,1.53
30.4081,17.03,1.55
30.6206,17.84,1.56
30.8323,17.69,1.60
31.0518,18.21,1.61
31.2724,18.52,1.56
31.4785,17.14,1.60
31.6804,16.82,1.52
31.8764,16.42,1.59
32.0724,16.28,1.56
32.2804,17.37,1.60
32.4906,17.52,1.57
32.6987,17.40,1.63
32.9665,22.41,1.53
33.2316,22.11,1.49
33.5039,22.82,1.51
33.7744,22.66,1.53
34.0520,23.22,1.49
34.3484,24.75,1.52
34.6231,23.13,1.51
34.8207,16.59,1.65
35.0880,22.46,1.53
35.3542,22.26,1.54
35.6283,23.05,1.53
35.9212,24.60,1.47
36.1862,22.24,1.59
36.4615,23.15,1.56
36.7262,22.24,1.67
37.0075,23.65,1.59
37.2911,24.05,1.59
37.5693,23.57,1.58
37.8434,23.22,1.57
38.1148,23.02,1.57
38.4019,24.47,1.46
38.7015,25.52,1.03
38.9744,23.61,1.05
39.1848,18.21,1.13
39.4611,23.94,1.06
39.7439,24.56,1.02
40.0161,23.54,1.04
40.2919,23.76,1.03
40.5769,25.01,0.71
40.8601,25.48,0.82
41.1421,25.69,0.95
41.4320,26.33,0.82
41.7045,24.62,0.81
41.9822,25.05,0.74
42.2729,26.16,0.67
42.5382,23.92,0.65
42.8205,25.49,0.73
43.0969,24.91,0.66
43.4068,29.33,0.79
43.6895,26.38,2.44
43.9649,22.94,1.16
44.2452,25.67,2.52
44.5178,23.61,0.54
