Time (s),DRAM Power (W),IPC
0.0000,0.00,1.32
0.2322,20.45,1.39
0.5346,25.83,1.35
0.8076,23.30,1.29
1.0083,16.95,1.32
1.2081,16.86,1.31
1.4163,17.59,1.33
1.6265,17.87,1.30
1.8386,17.90,1.31
2.0604,18.80,1.07
2.4151,30.12,1.27
2.6878,23.09,1.23
2.8963,17.63,1.33
3.1023,17.47,1.34
3.3813,23.74,1.35
3.6681,24.40,1.30
3.9468,23.66,1.33
4.2296,24.07,1.33
4.5165,24.26,1.33
4.7873,23.02,1.32
5.0790,24.59,1.32
5.3794,25.37,1.33
5.6656,24.27,0.75
5.9700,27.09,0.78
6.2404,24.40,2.29
6.5288,25.47,1.91
6.8015,23.72,1.94
7.0777,24.17,1.85
7.3800,26.36,1.89
7.6567,24.18,2.02
7.9429,25.03,1.91
8.2195,24.24,1.94
8.5009,24.72,2.06
8.7724,23.81,1.90
9.0461,23.98,1.89
9.3214,24.13,1.75
9.5911,23.55,0.58
9.8862,27.21,0.63
10.1771,27.49,2.14
10.4549,25.81,1.36
10.7312,25.91,0.76
11.0165,26.96,1.37
11.2922,25.36,0.75
11.5647,25.22,0.71
11.8502,26.78,0.69
12.1291,26.82,1.82
12.4096,25.08,0.76
12.6978,27.65,2.25
12.9886,26.35,0.78
13.2515,24.97,2.27
13.4761,20.59,0.77
13.7474,26.63,2.18
14.0315,25.89,0.76
14.2260,19.07,2.30
14.5126,25.64,1.04
14.7866,26.82,2.20
15.0612,24.72,0.69
15.3350,26.23,2.24
15.6042,24.84,1.18
15.9125,28.76,0.82
16.1818,26.37,2.26
16.4537,24.18,1.09
16.7287,27.29,2.05
16.9986,24.01,0.69
17.2717,26.62,1.45
17.5490,25.43,0.83
17.8171,25.48,0.72
18.0869,25.26,1.85
18.3664,26.08,1.00
18.6703,29.87,2.26
18.9493,25.24,0.76
19.2171,26.15,1.05
19.4966,26.01,1.36
19.7647,25.13,0.71
20.0390,25.87,2.23
20.3250,26.52,0.65
20.6240,28.93,2.26
20.9017,25.22,1.02
21.1764,27.05,2.28
21.4484,24.76,0.73
21.7393,27.90,0.79
22.0050,25.55,2.14
22.2824,25.17,1.09
22.5482,26.69,2.07
22.8178,23.83,0.73
23.0951,27.06,1.64
23.3782,26.54,2.05
23.6568,25.59,0.69
23.9411,27.63,2.20
24.2043,23.59,1.08
24.5011,29.13,2.23
24.7722,24.66,0.78
25.0564,27.11,1.71
25.3299,25.76,2.29
25.5974,24.79,1.15
25.8794,28.06,2.26
26.1434,23.93,0.81
26.4164,26.01,0.87
26.7059,28.06,2.23
26.9805,24.97,0.68
27.2553,27.02,2.09
27.5217,24.50,1.02
27.7830,24.79,0.80
28.0651,26.79,2.27
28.3323,24.33,1.04
28.6201,28.66,2.22
28.8976,25.65,0.75
29.1817,26.55,1.92
29.4689,25.20,1.78
29.7484,24.52,1.80
29.9538,17.98,1.80
30.1575,17.76,1.84
30.3808,19.54,0.59
