Time (s),DRAM Power (W),IPC
0.0001,0.07,1.99
0.2945,25.52,2.06
0.6551,30.65,2.08
1.0088,30.11,1.90
1.3815,31.70,2.16
1.7086,27.81,2.16
1.9236,18.28,1.94
2.2921,31.48,2.18
2.6423,29.73,1.96
3.0004,30.36,1.88
3.3623,30.74,2.02
3.6861,27.45,2.17
4.0655,32.09,1.80
4.3953,27.95,1.93
4.7588,30.81,2.18
5.0991,28.85,1.96
5.4913,33.31,2.24
5.8026,26.34,2.14
6.0200,18.37,1.86
6.3557,28.49,1.79
6.5736,18.47,2.26
6.8850,26.47,1.88
7.2414,30.28,2.09
7.6124,31.45,2.15
7.9642,29.88,1.91
8.3827,35.60,2.19
8.7190,28.58,2.10
8.9299,17.93,1.96
9.2953,31.02,2.09
9.6446,29.76,1.85
9.9961,29.78,2.14
10.3682,31.67,2.12
10.7437,32.01,2.18
11.0919,29.66,2.19
11.4462,30.09,1.86
11.8225,32.01,2.19
12.1745,29.98,2.18
12.5336,30.46,1.98
12.8931,30.61,2.17
13.2440,29.89,2.08
13.4801,20.13,1.86
13.8247,29.36,2.19
14.1485,27.48,1.89
14.5160,31.29,2.20
14.8907,31.93,1.93
15.2364,29.38,2.21
15.4496,18.03,2.12
15.6616,18.01,1.92
15.9900,27.76,2.19
16.3522,30.66,1.94
16.7002,29.44,1.91
17.0797,32.07,2.14
17.4411,30.72,2.24
17.7759,28.30,2.18
18.1371,30.64,1.85
18.4741,28.70,1.92
18.6837,17.81,2.22
19.0037,27.11,2.18
19.3503,29.48,1.90
19.7028,30.04,1.93
20.0432,29.03,2.06
20.4027,30.68,1.98
20.7703,31.30,2.15
21.1165,29.54,2.04
21.5035,32.93,2.20
21.8455,28.96,2.11
22.0654,18.69,1.96
22.4030,28.70,2.20
22.7482,29.41,2.22
23.0876,28.82,2.12
23.4489,30.65,2.19
23.8093,30.68,1.91
24.1682,30.41,1.95
24.5088,29.04,1.91
24.8409,28.30,2.16
25.2039,30.91,2.19
25.5468,29.17,2.07
25.9053,30.47,2.18
26.2794,31.81,1.97
26.6550,31.99,2.14
27.0131,30.25,2.13
27.3752,30.83,2.13
27.7345,30.42,2.16
28.0787,29.26,0.71
28.4494,33.98,0.82
28.8163,33.55,0.73
29.1555,31.15,0.73
29.5077,32.23,2.30
29.8686,30.93,2.45
30.2162,29.60,1.77
