Time (s),DRAM Power (W),IPC
0.0000,0.00,1.76
0.2862,25.05,2.22
0.6028,26.71,2.38
0.8750,22.97,2.39
1.0781,17.06,2.50
1.3615,23.82,2.51
1.6421,23.58,2.35
1.9101,22.48,2.58
2.1208,17.68,2.25
2.4061,23.97,2.48
2.6756,22.62,2.51
2.9610,24.09,2.52
3.2319,22.87,2.22
3.5066,23.20,2.44
3.7810,23.09,2.43
4.0671,24.05,2.47
4.3298,22.16,2.70
4.6063,23.28,2.70
4.8845,23.35,2.42
5.1668,23.84,2.41
5.4423,23.18,2.25
5.7177,23.18,2.29
6.0034,23.95,2.22
6.2802,23.24,2.45
6.5692,24.33,2.31
6.8671,25.02,2.43
7.1428,23.15,2.67
7.4323,24.30,2.46
7.6402,17.57,2.35
7.9127,22.99,2.39
8.2076,24.85,2.42
8.5086,25.37,2.33
8.7204,17.80,2.66
8.9958,23.20,2.51
9.2802,23.88,2.42
9.4828,17.03,2.49
9.6923,17.70,2.44
9.9081,18.17,2.67
10.1847,23.33,2.69
10.4581,23.06,2.50
10.6682,17.69,2.46
10.9421,23.08,2.47
11.2378,24.79,2.40
11.5275,24.39,2.27
11.7263,16.81,2.51
11.9386,17.90,2.72
12.2226,23.90,2.23
12.5066,23.89,2.42
12.7075,16.97,2.35
12.9905,23.77,2.31
13.2588,22.62,2.52
13.4552,16.48,2.33
13.6455,16.06,2.72
13.9175,22.84,2.36
14.1867,22.63,2.47
14.3927,17.30,2.50
14.6648,22.95,2.60
14.9420,23.33,2.31
15.1355,16.14,2.54
15.3435,17.45,2.43
15.6203,23.12,2.44
15.9145,24.55,2.43
16.2112,24.79,2.35
16.4175,17.32,2.48
16.6302,17.85,2.45
16.8496,18.33,2.47
17.0469,16.52,2.48
17.2390,16.04,2.71
17.5022,22.08,2.71
17.7922,24.42,2.46
18.0666,23.04,2.42
18.2757,17.57,2.63
18.5546,23.38,2.50
18.8335,23.47,2.39
19.0335,16.68,2.48
19.2336,16.70,2.48
19.4391,17.30,2.32
19.7124,22.97,2.47
19.9946,23.73,2.19
20.1958,16.95,2.70
20.4893,24.75,2.51
20.7648,23.24,2.52
20.9575,16.09,2.46
21.1534,16.44,2.56
21.3559,16.99,2.31
21.6315,23.22,2.57
21.9412,26.01,2.43
22.2131,22.76,2.41
22.4153,16.87,2.42
22.6316,18.18,2.44
22.8397,17.46,2.52
23.0464,17.40,2.52
23.2738,19.05,2.59
23.5592,23.80,2.58
23.8362,23.20,2.54
24.1106,23.11,2.29
24.3321,18.59,2.62
24.5461,17.94,2.28
24.8281,23.77,2.39
25.1085,23.71,2.44
25.3198,17.77,2.49
25.6037,23.91,2.52
25.8973,24.67,2.67
26.1014,17.11,2.50
26.3015,16.79,2.62
26.4973,16.43,2.33
26.7705,22.94,2.39
27.0585,24.12,2.27
27.2660,17.37,2.57
27.5730,25.85,2.46
27.8403,22.53,2.49
28.0534,17.80,2.46
28.2474,16.26,2.50
28.4420,16.36,2.32
28.7155,23.08,2.36
28.9401,18.83,2.63
29.2160,23.37,2.45
29.4960,23.62,2.50
29.7721,23.24,2.41
29.9822,17.65,2.55
30.1943,17.81,2.23
30.4711,23.23,2.32
30.7585,24.28,2.46
30.9541,16.49,1.90
31.2601,25.67,2.24
31.5537,24.78,2.31
31.8219,22.54,2.32
32.0440,18.62,2.60
32.3233,23.54,2.35
32.5984,23.06,2.38
32.7998,16.99,2.71
33.0788,23.44,2.55
33.3489,22.68,0.67
