Time (s),IPC
0.0,0.85
0.2,2.31
0.4,3.11
0.6000000000000001,3.09
0.8,3.08
1.0,2.76
1.2000000000000002,2.93
1.4000000000000001,3.13
1.6,3.1
1.8,2.76
2.0,2.93
2.2,3.12
2.4000000000000004,2.1
2.6,0.8
2.8000000000000003,0.96
3.0,2.23
3.2,2.27
3.4000000000000004,2.28
3.6,2.27
3.8000000000000003,2.19
4.0,2.2
4.2,2.19
4.4,2.2
4.6000000000000005,2.17
4.800000000000001,2.28
5.0,2.27
5.2,2.28
5.4,2.26
5.6000000000000005,2.24
5.800000000000001,2.27
6.0,2.27
6.2,2.27
6.4,2.26
6.6000000000000005,2.24
6.800000000000001,2.2
7.0,2.28
7.2,2.26
7.4,2.28
7.6000000000000005,2.22
7.800000000000001,2.29
8.0,2.27
8.200000000000001,2.27
8.4,2.27
8.6,2.26
8.8,2.26
9.0,2.27
9.200000000000001,2.27
9.4,2.25
9.600000000000001,2.26
9.8,2.69
10.0,2.89
10.200000000000001,2.88
10.4,2.9
10.600000000000001,2.71
10.8,2.9
11.0,2.9
11.200000000000001,2.89
11.4,2.88
11.600000000000001,2.89
11.8,2.9
12.0,1.97
12.200000000000001,0.71
12.4,2.08
