Time (s),IPC
0.0,1.21
0.2,1.66
0.4,2.55
0.6000000000000001,2.89
0.8,2.9
1.0,2.9
1.2000000000000002,2.89
1.4000000000000001,2.89
1.6,2.83
1.8,2.89
2.0,2.82
2.2,2.9
2.4000000000000004,2.9
2.6,2.89
2.8000000000000003,2.9
3.0,2.9
3.2,2.89
3.4000000000000004,2.9
3.6,2.87
3.8000000000000003,2.88
4.0,2.88
4.2,2.89
4.4,2.89
4.6000000000000005,2.81
4.800000000000001,2.88
5.0,2.89
5.2,2.89
5.4,2.89
5.6000000000000005,2.9
5.800000000000001,2.89
6.0,2.89
6.2,2.76
6.4,1.83
6.6000000000000005,2.39
6.800000000000001,2.89
7.0,2.88
7.2,2.89
7.4,2.82
7.6000000000000005,2.87
7.800000000000001,2.89
8.0,2.89
8.200000000000001,2.89
8.4,2.89
8.6,2.9
8.8,2.9
9.0,2.89
9.200000000000001,2.9
9.4,2.88
9.600000000000001,2.9
9.8,2.88
10.0,2.88
10.200000000000001,2.84
10.4,2.91
10.600000000000001,2.89
10.8,2.89
11.0,2.89
11.200000000000001,2.89
11.4,2.89
11.600000000000001,2.81
11.8,2.88
12.0,2.89
12.200000000000001,2.89
12.4,2.78
12.600000000000001,1.7
12.8,2.53
13.0,2.82
13.200000000000001,2.88
13.4,2.89
13.600000000000001,2.89
13.8,2.88
14.0,2.89
14.200000000000001,2.89
14.4,2.9
14.600000000000001,2.89
14.8,2.89
15.0,2.89
15.200000000000001,2.88
15.4,2.89
15.600000000000001,2.9
15.8,2.84
16.0,2.86
16.2,2.89
16.400000000000002,2.9
16.6,2.89
16.8,2.9
17.0,2.88
17.2,2.89
17.400000000000002,2.89
17.6,2.9
17.8,2.89
18.0,2.9
18.2,2.9
18.400000000000002,2.9
18.6,2.61
18.8,1.7
19.0,2.72
19.200000000000003,2.9
19.400000000000002,2.88
19.6,2.88
19.8,2.9
20.0,2.9
20.200000000000003,2.88
20.400000000000002,2.89
20.6,2.89
20.8,2.89
21.0,2.8
21.200000000000003,2.89
21.400000000000002,2.89
21.6,2.84
21.8,2.89
22.0,2.89
22.200000000000003,2.89
22.400000000000002,2.91
22.6,2.89
22.8,2.87
23.0,2.9
23.200000000000003,2.89
23.400000000000002,2.89
23.6,2.9
23.8,2.89
24.0,2.9
24.200000000000003,2.89
24.400000000000002,2.84
24.6,2.89
24.8,2.24
