Time (s),IPC
0.0,0.76
0.2,1.51
0.4,1.41
0.6000000000000001,1.44
0.8,1.41
1.0,1.41
1.2000000000000002,1.41
1.4000000000000001,1.41
1.6,1.56
1.8,2.69
2.0,1.38
2.2,1.37
2.4000000000000004,1.91
2.6,2.19
2.8000000000000003,2.34
3.0,2.34
3.2,2.34
3.4000000000000004,2.35
3.6,2.32
3.8000000000000003,2.34
4.0,2.34
4.2,2.35
4.4,2.34
4.6000000000000005,2.35
4.800000000000001,2.34
5.0,2.34
5.2,2.33
5.4,2.34
5.6000000000000005,2.34
5.800000000000001,2.33
6.0,2.33
6.2,2.33
6.4,2.31
6.6000000000000005,2.34
6.800000000000001,2.35
7.0,2.33
7.2,2.34
7.4,2.34
7.6000000000000005,2.35
7.800000000000001,2.34
8.0,2.35
8.200000000000001,2.34
8.4,2.35
8.6,2.34
8.8,2.34
9.0,2.35
9.200000000000001,2.27
9.4,2.34
9.600000000000001,2.34
9.8,2.35
10.0,2.34
10.200000000000001,2.57
