Time (s),IPC
0.0,0.63
0.2,2.37
0.4,2.37
0.6000000000000001,2.36
0.8,2.37
1.0,1.95
1.2000000000000002,0.72
1.4000000000000001,0.74
1.6,0.87
1.8,0.81
2.0,0.87
2.2,0.79
2.4000000000000004,0.85
2.6,0.76
2.8000000000000003,0.88
3.0,0.73
3.2,1.16
