Time (s),IPC
0.0,0.98
0.2,2.79
0.4,2.7
0.6000000000000001,2.82
0.8,2.74
1.0,2.76
1.2000000000000002,2.78
1.4000000000000001,2.75
1.6,2.75
1.8,2.76
2.0,2.79
2.2,2.71
2.4000000000000004,2.76
2.6,2.8
2.8000000000000003,2.76
3.0,2.74
3.2,2.79
3.4000000000000004,2.83
3.6,2.75
3.8000000000000003,2.81
4.0,2.78
4.2,2.78
4.4,2.69
4.6000000000000005,2.79
4.800000000000001,2.65
5.0,2.69
5.2,2.73
5.4,2.73
5.6000000000000005,2.67
5.800000000000001,2.77
6.0,2.73
6.2,2.71
6.4,2.73
6.6000000000000005,2.66
6.800000000000001,2.8
7.0,2.7
7.2,2.62
7.4,2.67
7.6000000000000005,2.76
7.800000000000001,2.75
8.0,2.68
8.200000000000001,2.74
8.4,2.74
8.6,2.72
8.8,2.68
9.0,2.7
9.200000000000001,2.75
9.4,2.67
9.600000000000001,2.78
9.8,2.73
10.0,2.73
10.200000000000001,2.68
10.4,2.68
10.600000000000001,2.72
10.8,2.66
11.0,2.79
11.200000000000001,2.73
11.4,2.66
11.600000000000001,2.76
11.8,2.67
12.0,2.73
12.200000000000001,2.68
12.4,2.67
12.600000000000001,2.52
12.8,2.56
13.0,2.51
13.200000000000001,2.54
13.4,2.58
13.600000000000001,2.53
13.8,2.52
14.0,2.51
14.200000000000001,2.55
14.4,2.55
14.600000000000001,2.54
14.8,2.54
15.0,2.56
15.200000000000001,2.52
15.4,2.5
15.600000000000001,2.55
15.8,2.54
16.0,2.51
16.2,2.56
16.400000000000002,2.52
16.6,2.55
16.8,2.53
17.0,2.53
17.2,2.56
17.400000000000002,2.53
17.6,2.56
17.8,2.54
18.0,2.52
18.2,2.58
18.400000000000002,2.51
18.6,2.55
18.8,2.53
19.0,2.54
19.200000000000003,2.56
19.400000000000002,2.53
19.6,2.53
19.8,2.55
20.0,2.52
20.200000000000003,2.55
20.400000000000002,2.52
20.6,2.53
20.8,2.56
21.0,2.52
21.200000000000003,2.54
21.400000000000002,2.48
21.6,2.52
21.8,2.55
22.0,2.52
22.200000000000003,2.55
22.400000000000002,2.57
22.6,2.54
22.8,2.56
23.0,2.54
23.200000000000003,2.54
23.400000000000002,2.53
23.6,2.55
23.8,2.54
24.0,2.54
24.200000000000003,2.53
24.400000000000002,2.53
24.6,2.53
24.8,2.52
25.0,2.57
25.200000000000003,2.53
25.400000000000002,2.54
25.6,2.53
25.8,2.2
