Time (s),DRAM Power (W),IPC
0.0001,0.00,1.93
0.4577,40.97,1.82
0.8374,32.27,1.65
1.2032,30.64,2.03
1.5559,29.04,2.12
1.8951,28.29,2.09
2.2403,28.59,2.16
2.6105,30.85,0.83
2.9662,29.97,1.78
3.3252,29.95,1.68
3.6877,30.24,1.45
4.0584,31.16,1.55
4.4675,34.77,1.74
4.8196,29.16,1.54
5.1734,29.30,1.59
5.5117,28.08,2.01
5.8832,30.90,1.29
6.2437,29.88,1.14
6.6034,29.97,1.94
6.9712,30.55,1.77
7.3683,33.06,1.96
7.7000,27.69,1.83
8.0581,29.96,0.90
8.4104,29.85,1.34
8.7431,28.15,1.62
9.0953,29.74,1.47
9.4592,30.76,1.86
9.7790,26.83,0.69
10.1235,29.23,1.52
10.4612,29.43,1.81
10.7992,28.35,2.02
11.1408,28.67,1.12
11.4849,28.77,1.08
11.8470,30.25,0.93
12.2110,30.53,1.09
12.5822,31.06,0.96
12.9325,29.22,1.06
13.2827,29.36,1.09
13.6328,29.23,1.91
13.9815,29.27,1.82
14.3118,27.86,1.37
14.6608,29.21,1.21
15.0145,29.73,1.10
15.3652,29.21,0.89
15.7665,33.89,1.09
16.1470,31.83,1.09
16.5023,29.84,0.97
16.8754,31.17,1.06
17.2269,29.16,1.23
17.6080,31.86,1.76
17.9531,29.25,0.99
18.3191,30.42,1.13
18.6627,28.71,1.18
19.0078,28.77,1.07
19.3455,28.06,1.09
19.6873,28.48,1.18
20.0336,28.75,1.16
20.3693,27.95,1.08
20.7144,29.02,1.00
21.0535,28.47,1.08
21.4019,29.25,1.03
21.7415,28.86,1.02
22.0775,28.11,1.08
22.4130,28.04,1.13
22.7614,29.00,1.01
23.0975,28.01,1.10
23.4376,28.23,1.10
23.7695,27.76,1.00
24.1056,28.03,1.11
24.4456,28.38,1.12
24.7933,29.01,1.08
25.1254,27.95,1.05
25.4657,28.91,1.35
25.8014,27.98,1.36
26.1400,28.55,1.21
26.4948,30.36,1.83
26.8416,29.70,1.02
27.1957,30.72,1.97
27.5517,31.06,2.26
27.9008,30.18,2.32
28.2445,29.71,1.92
28.5735,28.51,1.51
28.9136,29.30,1.34
29.2575,28.68,1.35
29.5996,28.42,1.23
29.9583,29.89,1.12
30.2907,27.66,1.20
30.6477,29.63,1.08
30.9818,27.82,1.25
31.3216,28.42,1.19
31.6564,28.54,1.48
31.9976,29.46,1.29
32.3396,29.63,1.27
32.6835,29.32,1.75
33.0316,29.50,1.59
33.3833,29.42,1.34
33.7397,30.12,1.91
34.0941,29.67,1.27
34.4437,29.42,1.23
34.7877,28.88,1.83
35.1256,28.21,1.54
35.4613,28.51,1.81
35.8156,29.84,1.58
36.1676,29.51,1.82
36.5077,28.39,1.67
36.8595,29.38,1.06
37.2076,29.16,1.90
37.5609,29.32,1.18
37.9116,29.49,1.25
38.2654,30.61,1.22
38.6093,29.66,1.08
38.9673,30.92,1.02
39.3116,30.42,0.83
39.6535,30.91,0.87
39.9976,31.28,1.88
40.3484,30.91,1.28
40.6996,29.83,1.07
41.0554,31.31,1.24
41.4150,31.35,2.76
41.7603,28.43,1.53
42.1198,29.38,2.22
42.4653,28.49,1.34
42.8342,30.74,1.14
43.1871,30.24,1.63
43.5422,29.35,1.39
43.8810,28.02,3.14
44.2352,29.31,1.47
44.5654,27.83,0.83
44.9011,28.84,1.27
45.2543,30.09,1.36
45.6033,29.10,2.18
45.9512,29.00,1.51
46.3073,30.05,1.86
46.6492,29.36,1.41
46.9912,29.54,2.27
47.3370,29.75,1.72
47.6831,29.59,2.05
48.0329,29.19,2.47
48.3791,28.76,2.36
48.7251,28.95,2.51
49.0873,30.21,2.12
49.4231,28.10,2.42
49.7668,28.64,2.03
50.1111,28.77,2.33
50.4511,28.47,2.46
50.7872,28.11,2.42
51.1512,30.51,2.53
51.5031,29.42,2.28
51.8572,29.45,2.16
52.2051,28.97,2.45
52.5552,29.06,2.37
52.9035,28.91,2.22
53.2451,28.44,2.33
53.5850,28.30,2.34
53.9353,30.11,1.09
54.2719,29.20,1.77
54.6233,30.36,2.14
54.9872,31.74,0.78
55.3312,29.82,1.76
55.6804,30.15,1.42
56.0192,29.33,1.80
56.3590,29.49,2.14
56.7071,30.30,2.27
57.0496,29.86,0.90
57.3912,29.55,1.25
57.7473,30.16,1.12
58.0829,28.40,1.59
58.4274,30.96,1.76
58.7823,32.53,1.71
59.1355,32.86,1.61
59.4916,32.43,1.77
59.8355,31.34,1.37
60.1834,30.49,1.37
60.5294,30.31,1.27
60.8653,29.40,1.36
61.2135,30.59,1.23
61.5494,29.31,1.35
61.8933,29.97,1.37
62.2415,30.31,1.26
62.5837,29.71,0.71
62.9230,29.34,1.66
63.2713,29.94,1.82
63.6351,31.36,1.80
63.9799,29.75,2.20
64.3231,29.92,1.64
64.6631,30.46,1.27
65.0051,29.66,1.08
65.3491,29.77,1.50
65.7033,30.51,1.11
66.0631,30.97,1.06
66.4151,30.33,0.99
66.7753,31.13,1.23
67.1195,29.67,1.19
67.4494,28.61,1.44
67.8083,31.13,0.92
68.1595,30.17,1.02
68.5076,30.05,1.02
68.8573,30.25,1.35
69.2076,30.32,0.97
69.5494,29.54,1.17
69.9037,30.44,0.78
70.2476,29.40,0.94
70.5931,28.84,0.96
70.9376,28.93,0.91
71.2841,29.02,0.88
71.6475,30.39,0.84
72.0054,29.92,0.90
72.3574,29.61,3.04
72.7075,29.30,3.02
73.0594,29.79,1.07
73.4317,32.01,0.82
73.7960,31.20,0.97
74.1455,29.86,1.06
74.4993,30.11,1.51
74.8491,29.90,1.49
75.2113,31.02,1.70
75.5757,30.67,0.97
75.9196,28.82,1.36
76.2655,29.22,1.51
76.5961,28.81,1.49
76.9253,28.97,1.49
77.2630,28.83,1.65
77.6052,29.46,1.19
77.9416,30.31,1.28
78.2587,28.37,1.56
78.6195,30.76,1.79
78.9609,29.01,1.88
79.3116,29.78,1.36
79.6451,28.67,1.46
79.9951,29.58,1.45
80.3671,31.26,1.35
80.7152,29.30,1.48
81.0630,29.30,1.33
81.4028,28.68,1.37
81.7470,28.73,1.52
82.0912,28.89,1.57
82.4326,28.77,1.57
82.7958,31.15,0.81
83.1430,29.72,1.50
83.5030,30.95,1.12
83.8471,29.45,2.55
84.1871,29.02,2.61
84.5311,29.38,1.36
84.8789,29.40,1.61
85.2209,28.84,1.88
85.5570,28.34,2.10
85.9192,30.48,2.04
86.2723,29.92,2.22
86.6222,29.39,1.57
86.9663,29.58,1.46
87.3043,28.93,1.66
87.6560,30.49,1.34
88.0345,32.99,1.38
88.3786,29.92,1.94
88.7184,29.26,1.96
89.0731,30.55,1.34
89.4157,29.51,1.60
89.7722,30.57,1.62
90.1283,30.45,1.61
90.4722,29.43,1.75
90.8164,29.39,1.74
91.1524,28.79,1.66
91.5002,29.68,1.79
91.8443,29.52,1.58
92.1943,30.05,1.89
92.5423,29.83,2.18
92.9032,30.83,1.76
93.2590,30.54,1.82
93.6085,29.91,1.75
93.9713,31.16,1.47
94.3111,29.21,1.86
94.6550,29.49,1.85
94.9952,29.12,1.68
95.3369,29.35,1.73
95.6810,29.41,1.95
96.0192,28.96,1.84
96.3731,30.22,1.81
96.7207,29.76,2.00
97.0743,30.26,2.35
97.4151,29.23,1.85
97.7666,29.59,2.46
98.1130,29.20,2.06
98.4590,29.22,1.85
98.8134,29.92,1.86
99.1799,30.87,1.69
99.5269,29.23,1.75
99.8831,29.95,1.61
100.2350,29.53,1.77
100.5712,28.43,1.82
100.9269,30.13,1.73
101.2688,29.25,1.96
101.6740,34.32,1.97
102.0629,32.97,1.75
102.4304,31.46,1.98
102.8306,33.78,1.95
103.1951,30.87,2.16
103.5297,28.12,2.09
103.8635,28.05,1.94
104.2155,29.61,1.75
104.5557,28.61,1.73
104.9037,29.30,1.95
105.2555,29.42,1.68
105.5917,28.22,1.76
105.9398,29.11,1.67
106.2895,29.30,1.66
106.6276,28.45,1.85
106.9657,28.42,1.81
107.3317,30.65,1.94
107.6707,28.39,1.71
108.0190,29.17,1.95
108.3759,30.09,0.78
108.7270,30.06,2.21
109.0614,28.29,1.33
109.4117,29.66,1.62
109.7554,28.90,1.46
110.0997,28.87,1.58
110.4636,30.55,1.29
110.8120,29.48,1.86
111.1714,30.47,1.78
111.5437,31.80,1.92
111.8995,29.89,1.91
112.2475,29.09,1.61
112.5916,28.75,1.66
