CPU Cap (W),GPU Cap (W),Runtime (s)
240,100,40.89
240,120,33.12
240,140,29.95
240,160,27.99
240,180,27.06
240,200,26.23
240,220,25.6
240,240,25.12
240,260,24.61
240,100,40.36
240,120,33.04
240,140,29.91
240,160,27.94
240,180,27.0
240,200,26.29
240,220,25.66
240,240,25.11
240,260,24.72
240,100,40.51
240,120,32.93
240,140,29.96
240,160,28.03
240,180,27.04
240,200,26.25
240,220,25.59
240,240,24.92
240,260,24.78
240,100,40.47
240,120,33.01
240,140,29.88
240,160,28.11
240,180,26.97
240,200,26.18
240,220,25.67
240,240,25.21
240,260,24.71
240,100,40.32
240,120,32.92
240,140,29.9
240,160,27.97
240,180,27.05
240,200,26.23
240,220,25.59
240,240,25.22
240,260,24.73
