time,utilization
0.00,0.00
0.27,19.13
0.56,1.47
0.83,1.58
1.12,1.01
1.41,1.01
1.71,1.11
1.99,1.05
2.27,1.01
2.56,1.08
2.85,1.00
3.13,1.07
3.42,1.06
3.77,1.01
4.04,1.07
4.33,1.08
4.63,1.08
4.93,1.05
5.23,1.07
5.52,1.06
5.81,1.14
6.09,1.09
6.37,1.03
6.66,1.12
6.95,1.06
7.23,1.01
7.52,1.02
7.82,1.10
8.11,1.11
8.40,1.05
8.69,1.06
8.98,1.06
9.26,1.04
9.55,0.97
9.84,1.00
10.14,0.96
10.43,1.03
10.71,1.09
11.00,1.05
11.29,0.97
11.57,1.14
11.87,1.15
12.15,1.11
12.44,1.06
12.72,1.04
13.02,1.05
13.31,1.07
13.59,1.00
