time,utilization
0.00,0.00
0.32,16.64
0.60,1.47
0.90,1.45
1.23,1.07
1.52,1.00
1.84,1.08
2.16,1.07
2.44,1.07
2.75,1.03
3.05,1.04
3.36,0.91
3.67,1.12
3.98,1.05
4.29,0.99
4.59,1.00
4.90,1.04
5.20,0.96
5.51,1.09
5.82,1.00
6.14,1.08
6.49,0.99
6.80,1.11
7.12,1.09
7.42,1.01
7.72,0.99
8.02,1.01
8.33,1.07
8.64,1.02
8.96,1.03
9.27,1.15
9.59,1.06
9.90,1.02
10.22,1.07
10.55,0.98
10.86,1.04
11.17,1.04
11.50,1.07
11.81,1.09
12.10,1.05
12.41,1.02
12.72,1.11
13.03,0.97
13.34,1.04
13.65,1.07
13.97,0.99
14.27,1.05
14.59,1.05
14.91,1.00
15.21,1.11
15.51,1.04
15.83,1.10
16.14,1.10
16.48,0.99
16.79,1.00
17.13,1.04
17.45,1.13
17.76,1.04
18.06,1.02
18.37,1.07
18.67,1.15
18.98,1.09
19.31,1.04
19.62,1.08
19.94,1.04
20.22,1.10
20.53,1.03
20.86,1.09
21.17,0.99
21.48,1.08
21.79,1.08
22.11,1.03
22.43,1.02
22.74,1.11
23.05,1.03
23.36,1.05
23.65,1.00
23.95,1.03
24.27,0.99
24.59,1.00
24.92,1.06
25.23,0.94
25.52,1.09
25.86,1.10
26.18,1.13
26.50,1.02
26.82,1.01
27.17,0.98
27.52,0.99
27.83,0.99
28.17,1.01
28.52,0.99
28.85,1.08
29.19,1.07
29.50,1.01
29.80,1.14
30.13,1.01
30.47,1.04
30.80,0.97
31.14,0.99
31.47,1.00
31.80,1.01
32.10,1.05
32.43,1.03
32.76,1.00
33.09,1.10
33.40,0.99
33.74,1.09
34.10,0.98
34.43,1.00
34.75,1.04
35.04,1.01
35.35,1.10
35.68,1.14
36.01,1.05
36.33,1.13
36.63,0.94
36.94,1.13
37.26,1.00
37.58,1.01
37.88,1.02
38.19,1.03
38.49,1.10
38.81,1.06
