time,utilization
0.00,0.00
0.28,18.72
0.57,1.46
0.84,1.72
1.11,0.98
1.39,1.03
1.67,1.08
1.95,1.12
2.23,1.06
2.50,1.11
2.78,1.04
3.06,1.05
3.35,1.11
3.63,1.03
3.91,1.05
4.19,1.01
4.46,1.08
4.74,1.02
5.03,1.04
5.31,1.06
5.58,1.07
5.86,1.00
6.14,1.08
6.42,1.11
6.70,1.10
6.98,1.14
7.26,1.05
7.53,1.12
7.82,1.06
8.10,1.07
8.38,1.02
8.66,1.07
8.94,1.06
9.22,1.05
9.50,0.97
9.79,1.17
10.06,1.04
10.34,1.06
10.62,1.03
10.90,1.06
11.18,1.04
11.47,1.11
11.74,1.05
12.02,1.09
12.30,1.13
12.58,1.05
12.86,1.06
13.14,1.08
13.42,1.02
13.70,1.09
13.98,1.06
14.26,1.08
14.54,1.08
14.82,1.02
15.10,1.05
15.38,1.09
15.67,1.08
15.95,1.06
16.23,1.09
16.51,1.03
16.79,1.08
17.07,1.10
17.34,1.01
17.62,1.07
17.90,1.12
18.18,1.08
18.46,1.09
18.73,1.09
19.01,1.07
19.29,1.06
19.57,1.11
19.85,1.18
20.14,1.08
20.42,1.00
20.71,1.08
20.99,1.05
21.27,1.05
21.54,1.09
21.83,1.08
22.11,1.06
22.39,1.05
22.68,1.08
22.97,1.13
23.25,1.08
23.53,1.15
23.81,1.11
24.10,1.00
24.38,1.10
24.66,1.08
24.95,1.10
25.23,1.05
25.51,1.03
25.79,1.06
26.07,1.04
26.35,1.10
26.64,1.03
26.92,1.13
27.20,1.09
