time,utilization
0.00,0.00
0.31,16.71
0.61,1.47
0.91,1.37
1.22,1.01
1.51,1.01
1.81,1.02
2.11,1.02
2.40,1.03
2.71,1.12
3.03,1.03
3.32,1.04
3.64,1.05
3.94,1.08
4.24,1.02
4.54,1.03
4.83,1.00
5.13,1.01
5.43,1.09
5.72,1.01
6.02,1.20
6.32,0.95
6.61,1.04
6.90,1.11
7.21,1.05
7.52,0.99
7.82,1.00
8.11,1.10
8.41,1.03
8.73,1.04
9.04,1.07
9.35,1.03
9.66,0.99
9.98,1.06
10.30,1.02
10.60,1.07
10.91,1.08
11.21,0.99
11.53,0.95
11.84,1.07
12.16,1.07
12.48,1.02
12.77,1.01
13.07,1.05
13.40,1.02
13.71,1.04
14.04,1.03
14.34,1.06
14.66,1.00
14.95,1.07
15.27,1.02
15.59,1.10
15.90,1.12
16.21,0.97
16.53,1.00
16.85,1.03
17.17,1.07
17.49,1.02
17.78,1.09
18.09,1.06
18.42,1.00
18.73,1.12
19.04,0.97
19.35,1.02
19.67,1.08
19.98,1.11
20.29,1.03
20.61,0.99
20.91,1.16
21.22,1.12
21.53,0.97
21.82,1.07
22.14,1.06
22.46,1.04
22.76,1.04
23.07,0.99
23.39,0.99
23.68,1.00
23.98,1.07
24.28,1.03
24.59,1.02
24.93,1.07
25.25,1.01
25.59,1.01
25.90,1.09
26.21,1.04
26.51,1.04
26.82,1.11
27.13,1.06
27.43,1.01
27.75,1.00
28.05,1.04
28.35,0.98
28.65,1.02
28.95,1.01
29.26,1.02
29.57,0.97
29.89,1.08
30.21,1.07
30.53,1.05
30.82,1.08
31.13,1.07
31.45,1.02
31.76,1.02
32.05,1.02
32.38,0.99
32.69,1.13
33.02,1.03
33.32,1.00
33.63,0.99
33.95,1.10
34.28,0.98
34.59,1.05
34.90,1.04
35.20,1.06
35.51,0.99
35.84,1.07
36.14,1.07
36.43,1.04
36.74,1.05
37.04,1.09
37.35,1.03
37.64,1.11
37.96,1.08
38.27,1.03
38.59,1.00
38.90,0.91
39.21,0.98
39.50,1.03
39.82,1.09
40.15,1.09
40.44,1.02
40.75,1.06
41.07,1.00
41.39,0.94
41.72,1.03
42.02,0.99
42.33,1.06
42.63,1.02
42.95,1.05
43.26,0.99
43.58,1.01
43.90,1.00
44.21,1.04
44.52,1.03
44.80,1.07
45.11,1.08
45.42,1.09
45.73,1.05
46.04,1.02
46.35,0.99
46.66,1.04
46.99,1.11
47.30,1.06
47.61,1.06
47.90,1.06
48.22,1.07
48.53,1.11
48.85,1.08
49.14,1.08
49.43,1.03
49.73,1.05
50.03,0.98
50.32,1.04
50.63,1.07
50.93,1.06
51.24,0.99
51.55,1.04
51.86,1.01
52.19,1.00
52.49,1.07
52.82,0.98
53.11,1.12
53.41,1.05
53.72,0.99
54.00,1.07
54.30,1.01
54.61,1.05
54.92,1.00
55.23,1.03
55.56,1.02
55.86,1.16
56.18,0.97
56.49,1.03
56.79,1.04
57.08,1.03
57.38,1.03
57.68,1.03
57.98,1.04
58.27,1.02
58.57,1.05
58.91,1.07
59.21,1.02
59.53,1.03
59.84,1.04
60.17,0.96
60.46,1.03
60.77,1.11
61.07,1.00
61.38,1.04
61.70,1.03
62.00,1.06
62.29,1.06
62.60,1.06
62.91,1.11
63.22,1.06
63.53,1.05
63.84,1.06
64.17,0.99
64.49,1.04
64.80,1.03
65.13,1.01
65.45,1.05
65.77,1.08
66.09,0.97
66.39,1.09
66.70,1.03
67.01,1.12
67.31,1.03
67.63,1.03
67.93,1.08
68.25,1.00
68.55,1.02
68.87,1.02
69.18,1.05
69.47,1.07
69.78,1.03
70.08,1.05
70.39,0.99
70.68,1.07
70.99,1.04
71.34,1.04
71.65,0.98
71.96,1.05
72.28,1.00
72.60,1.00
72.90,1.12
73.20,1.00
73.51,1.05
73.84,1.00
74.16,0.98
74.50,0.99
74.80,1.07
75.12,1.06
75.40,1.19
75.71,1.05
