time,utilization
0.00,0.00
0.29,17.85
0.57,1.52
0.84,1.51
1.11,1.09
1.40,1.05
1.70,1.06
1.99,1.05
2.27,1.06
2.58,1.05
2.87,1.05
3.15,1.03
3.43,1.04
3.72,0.99
4.01,1.01
4.30,1.05
4.59,1.02
4.89,1.06
5.18,1.04
5.45,1.10
5.73,1.04
6.02,1.03
6.31,1.04
6.60,1.06
6.89,1.03
7.18,1.03
7.47,1.01
7.76,1.11
8.05,1.10
8.34,1.10
8.64,1.08
8.93,1.07
9.23,1.07
9.53,0.95
9.81,1.07
10.09,1.08
10.38,1.02
10.67,1.08
10.97,1.18
11.26,1.19
11.55,1.06
11.89,1.04
12.21,1.07
12.54,1.00
12.86,0.99
13.19,1.02
13.53,1.08
13.84,1.08
14.16,1.10
14.47,1.13
14.80,1.04
15.11,1.08
15.43,0.96
15.73,1.05
16.03,0.99
16.34,0.98
16.65,1.03
16.97,1.06
17.29,1.11
17.59,1.02
17.88,1.01
18.21,0.99
18.54,1.04
18.88,1.05
19.18,1.09
19.48,1.00
19.78,1.19
20.07,1.03
20.36,1.10
20.64,1.05
20.93,1.03
21.23,1.09
21.51,1.14
21.79,1.11
22.09,1.08
22.37,1.07
22.67,1.04
22.96,1.09
23.26,1.06
23.54,1.01
23.82,1.11
24.12,1.01
24.39,1.02
24.70,1.05
25.02,1.04
