time,utilization
0.00,0.00
0.32,16.23
0.62,1.52
0.93,1.32
1.24,0.97
1.56,1.00
1.87,0.99
2.17,1.05
2.47,1.06
2.79,1.06
3.11,1.01
3.41,1.02
3.70,1.02
4.03,1.02
4.34,1.08
4.65,0.99
4.94,1.08
5.23,1.12
5.54,1.08
5.84,1.12
6.15,1.01
6.45,0.93
6.78,1.09
7.06,1.11
7.39,1.04
7.71,1.07
8.07,1.01
8.38,1.02
8.71,1.08
9.02,1.05
9.35,1.05
9.66,1.01
9.96,1.07
10.27,1.05
10.58,1.01
10.90,1.11
11.21,0.99
11.51,1.00
11.81,1.06
12.11,1.13
12.43,1.00
12.74,1.07
13.05,0.99
13.35,0.95
13.66,1.01
13.97,1.11
14.27,1.07
14.59,1.05
14.89,0.98
15.19,1.02
15.49,1.16
15.82,1.01
16.13,1.01
16.43,1.04
16.76,1.08
17.08,1.02
17.39,1.03
17.72,1.02
18.02,1.03
18.34,0.96
18.64,1.07
18.96,1.16
19.26,1.04
19.59,0.96
19.91,0.99
20.22,1.01
20.54,1.07
20.84,1.06
21.14,1.06
21.45,1.08
21.75,1.07
22.06,1.05
22.37,1.00
22.69,1.04
23.00,0.98
23.29,1.02
23.59,1.14
23.91,1.04
24.22,1.01
24.53,1.04
24.82,1.01
25.12,1.18
25.45,0.99
25.76,1.08
26.07,1.07
26.39,1.06
26.71,1.01
27.01,1.08
27.32,1.07
27.61,1.01
27.93,1.02
28.24,1.07
28.56,1.00
28.87,1.05
29.17,1.02
29.48,1.11
29.77,1.00
30.06,1.02
30.38,1.08
30.71,1.13
31.03,1.00
31.33,1.00
31.66,1.08
31.96,1.09
32.29,1.15
32.61,1.00
32.92,1.03
33.25,1.00
33.56,1.04
33.86,1.00
34.16,1.13
34.49,1.06
34.83,1.02
35.15,1.06
35.45,1.07
35.77,1.06
36.09,1.05
36.43,1.07
36.75,1.05
37.07,1.11
37.38,0.99
37.68,1.05
37.99,1.05
38.30,1.02
38.61,1.04
38.93,1.09
