time,utilization
0.00,0.00
0.27,19.66
0.56,1.49
0.85,1.60
1.14,1.05
1.44,1.03
1.74,1.09
2.03,1.05
2.32,1.13
2.62,1.02
2.91,1.06
3.19,1.03
3.48,1.03
8.65,0.81
8.97,1.08
9.28,1.02
9.59,1.03
9.91,1.07
10.22,1.02
10.53,1.03
10.89,1.00
