time,utilization
0.00,0.00
0.30,17.40
0.59,1.50
0.90,1.58
1.22,0.95
1.52,1.08
1.85,1.02
2.17,0.95
2.48,1.02
2.79,1.02
3.09,1.01
3.40,1.04
3.73,1.17
4.02,1.02
4.35,1.02
4.66,0.96
4.98,0.99
5.31,1.08
5.61,1.06
5.93,1.04
6.24,1.02
6.55,1.11
6.86,1.03
7.19,0.99
7.50,1.04
7.81,1.07
8.10,0.96
8.42,1.02
8.71,1.08
9.03,1.05
9.34,0.95
9.65,1.04
9.97,1.00
10.29,1.04
10.61,1.05
10.93,1.05
11.25,1.00
11.56,1.02
11.87,1.07
12.19,0.95
12.47,1.03
12.79,1.18
13.12,0.98
13.42,1.07
13.74,1.07
14.07,1.04
14.38,1.02
14.68,1.13
14.98,1.04
15.29,1.03
15.61,1.01
15.94,0.98
16.24,1.02
16.56,1.07
16.89,1.07
17.21,0.96
17.50,1.08
17.81,1.05
18.12,1.02
18.42,0.99
18.71,1.04
18.99,0.96
19.29,1.07
19.57,1.01
19.87,1.02
20.15,1.14
20.43,1.02
20.74,1.03
21.02,1.00
21.30,1.10
21.60,1.03
21.89,1.27
22.19,0.98
22.49,1.07
22.79,1.02
23.07,1.00
23.36,1.10
23.66,1.10
23.95,1.00
24.25,1.07
24.54,1.05
24.84,1.01
25.14,1.03
25.42,1.07
25.70,1.10
25.99,1.09
26.27,1.06
26.56,1.08
26.83,1.11
27.12,1.07
27.41,1.00
27.69,1.10
27.98,1.03
28.26,1.05
28.54,1.06
28.84,1.02
29.11,1.00
29.41,1.06
29.71,1.18
30.02,1.10
30.30,1.02
30.58,1.06
30.87,1.11
31.17,0.97
31.46,1.08
31.75,1.01
32.04,1.04
32.33,1.02
32.62,1.04
32.91,1.10
33.19,1.09
33.49,1.08
33.77,1.11
34.06,1.01
34.33,1.01
34.63,1.06
34.91,1.07
35.20,1.07
35.47,1.11
35.77,1.10
36.06,1.03
36.35,1.11
36.64,1.02
36.93,1.11
37.23,1.01
37.52,1.05
37.80,1.11
38.09,1.08
38.39,1.09
38.67,1.02
38.96,1.06
39.24,1.02
39.52,1.04
39.81,1.15
40.10,1.02
40.37,1.09
40.66,1.16
40.96,1.06
41.25,1.10
41.55,1.00
41.83,1.17
42.11,1.07
42.41,1.03
42.69,1.11
42.97,1.09
43.27,1.09
43.55,1.04
43.83,1.02
44.13,1.07
44.41,1.04
44.71,1.08
45.00,1.02
45.27,0.99
45.57,1.08
45.84,1.04
46.13,1.08
46.41,1.00
46.69,1.04
46.98,1.05
47.26,1.06
47.54,1.08
47.83,1.01
48.12,1.04
48.40,0.99
48.69,1.03
48.99,1.10
49.28,1.09
49.57,1.12
49.86,1.01
50.16,1.04
50.46,1.04
50.77,1.08
51.05,1.07
51.34,1.03
51.65,1.02
51.93,1.10
52.22,1.06
52.50,1.04
52.80,1.09
53.08,1.10
53.38,1.06
53.67,1.06
53.95,1.06
54.24,1.08
54.52,0.99
54.81,1.04
55.09,1.02
55.37,1.08
55.66,1.04
55.94,1.06
56.23,1.06
56.51,1.06
56.80,1.07
57.08,1.06
57.37,1.08
57.65,1.08
57.93,1.06
58.22,1.08
58.50,1.06
58.79,1.06
59.07,1.10
59.35,1.05
59.64,1.13
59.92,1.07
60.20,1.08
60.49,1.06
60.77,1.11
61.05,1.05
61.34,1.06
61.62,1.06
61.90,1.04
62.19,1.07
62.47,1.10
62.75,1.10
63.04,1.08
63.32,1.02
63.60,0.99
63.88,1.06
64.16,1.00
64.45,1.03
64.73,1.05
65.01,1.08
65.30,1.08
65.58,0.99
65.87,1.10
66.19,1.03
66.48,1.08
66.76,1.05
67.04,1.09
67.33,1.11
67.61,1.09
67.89,1.03
68.17,1.04
68.45,1.06
68.73,1.10
69.01,1.05
69.29,1.05
69.56,1.07
69.85,1.04
70.13,1.12
70.41,1.07
70.68,1.07
70.97,1.06
71.25,1.04
71.52,1.08
71.80,1.11
72.09,1.10
72.37,1.00
72.65,1.09
72.93,1.10
73.22,1.09
73.50,1.00
73.78,1.15
