Time (s),Package Power (W)
0.0,133.35415
0.10051560401916504,122.46001
0.20094728469848633,149.56993
0.30153608322143555,115.14558
0.40186643600463867,109.10312
0.5022265911102366,140.19128999999998
0.6027390956878662,122.91473
0.7033417224884033,110.74434
0.8037891387939453,122.34649
0.9042282104492259,125.48674
1.0049042701721191,119.05241999999998
1.1059653759002757,140.12355
1.2063381671905518,123.86199
1.30668044090271,156.38692999999998
1.4070632457733154,108.15951
1.5072906017303467,107.85312
1.6075210571289062,142.83409999999998
1.708235740661621,109.51205000000002
1.8085591793060303,108.9194
1.9088501930236816,152.80479
2.0093467235565186,127.0529
2.109940767288208,118.52019
2.210362672805786,125.7852
2.3108644485473633,111.72152
2.41115665435791,114.25752
2.5116984844207764,131.28566999999998
2.612372875213623,106.48045
2.7127811908721924,133.10635
2.8132946491241455,117.00897
2.9137415885925293,122.01568
3.0143322944641113,125.54167
3.1147427558898926,111.91805
3.215053081512451,121.18682
3.315491199493408,109.64938
3.415797710418701,118.69537
3.516228437423706,145.68506
3.6165971755981445,124.58769
3.71691441535949,150.18516999999997
3.8174571990966797,116.54266
3.91792631149292,110.16391
4.018353462219238,138.13991
4.118849754333496,110.65523
4.219165325164795,126.65433
4.319582223892212,125.71929
4.419881582260132,108.96274
4.520148515701294,110.20662
4.620441913604736,138.2455
4.720910787582405,107.57357
4.821180105209351,109.44796
4.921437978744514,138.15456
5.021900653839111,123.09172
5.122342109680176,107.71701
5.222649574279785,122.40508
5.32306170463562,109.34299
5.423373699188232,123.19609
5.52388596534729,123.86443
5.624325275421143,107.80368
5.724684000015259,140.84131
5.825351238250732,107.37644
5.925857067108154,108.33590999999998
6.026275396347046,143.70872999999995
6.127021551132202,109.0549
6.227437973022461,119.93621
6.327983617782593,122.17438
6.428435564041138,106.78439
6.52881383895874,108.55563
6.629205942153931,145.15344
6.729911804199226,124.1751
6.830531597137451,112.79939
6.930950403213501,124.48515
7.031503915786743,108.07285
7.1319286823272705,131.13735999999997
7.232354164123535,115.86517
7.332735061645515,123.59955
7.433213949203491,121.69706999999998
7.533711671829224,109.97653
7.634063243865967,110.45016
7.734466314315796,141.24597
7.835200071334839,110.22555
7.935735940933235,109.77754999999998
8.036147832870483,137.01990999999998
8.136721134185791,125.89566999999998
8.237345218658447,127.16581999999998
8.337761640548706,149.18967999999998
8.438559293746955,120.95306
8.539068937301636,109.83858
8.639450311660767,122.25616
8.740019559860237,125.06255
8.840582609176636,110.41658
8.941130876541138,124.8355
9.041681051254272,124.74699
9.142292737960815,115.6888
9.242758989334106,121.19109
9.343429327011116,124.24346
9.443822860717773,106.75205
9.544232368469238,112.34224
9.64491415023803,135.18092
9.745574712753296,122.22504
9.84618616104126,113.09053
9.94657278060913,110.62287999999998
10.047039985656745,141.01465
10.14768099784851,107.81528000000002
10.247990846633911,109.84347
10.348284244537354,138.10938
10.448861598968506,108.92429
10.549201488494873,115.59662
10.649672985076904,131.45474
10.750092267990112,109.39059
10.850366830825806,129.74211
10.950877904891968,117.34711
11.051673889160156,123.59038
11.152283906936646,108.19065
11.252631425857544,110.12117
11.353063344955444,137.92383999999998
11.453710556030273,124.52116
11.554344892501831,110.54904
11.654868841171265,123.54887999999998
11.755396127700806,124.94109000000002
11.85603404045105,120.54901
11.95645022392273,111.86494
12.057242631912231,108.91269
12.157717227935791,144.08592
12.258331775665283,124.99786
12.358890771865845,121.70806
12.459345579147339,143.01904
12.560050249099731,109.62496
12.660439252853394,111.4725
12.760839939117432,151.50718
12.861614227294922,121.07085
12.962026119232178,122.46124
13.062494277954102,142.49414
13.163008451461792,128.26810999999998
13.263721704483032,107.76218
13.364275217056274,124.49247
13.464713335037231,125.46049
13.56515884399414,122.30194
13.665754556655884,107.38192999999998
13.76616883277893,122.0761
13.866740465164185,120.21759
13.967220544815063,108.91757
14.067618131637573,108.65573
14.167982578277588,140.94141
14.268512964248657,107.92575
14.368951320648193,110.70101
14.469313621520996,136.35829
14.569945335388184,119.43634
14.670476913452148,106.65805
14.770820140838623,122.36540999999998
14.871345520019531,108.44455
14.971750020980835,120.70281
15.072223663330078,127.66019
15.172860383987427,107.8336
15.2731614112854,137.9629
15.373659133911133,108.86995
15.473974704742432,122.75848
15.574385643005371,107.54245
15.674683570861816,116.36262
15.775350332260132,131.36379
15.875987529754639,121.86737
15.976625919342041,112.46492
16.077181816101074,119.53705
16.177767276763916,108.35422
16.27807116508484,136.91554
16.37852454185486,107.32517
16.478835344314575,121.1032
16.57925057411194,107.72861
16.679569959640503,120.9732
16.780304670333862,126.60307
16.88093113899231,106.28757
16.98151159286499,129.09696
17.082006454467773,111.72212
17.182433128356934,121.80572
17.283173084259033,107.61448
17.383620023727417,108.73018
17.484023094177246,135.97682999999998
17.58467197418213,106.46761999999998
17.685131072998047,124.70671
17.785727500915527,118.56842
17.886168956756592,106.72764
17.98657989501953,139.74268
18.087067127227783,108.00021
18.187448978424072,107.9697
18.28788185119629,142.54235
18.388548374176025,107.02915
18.488988637924194,123.73014999999998
18.589616060256958,107.74082
18.690044403076172,129.59866999999997
18.790578603744507,116.31499999999998
18.8910129070282,108.13754
18.99142813682556,139.04139999999998
19.09206748008728,105.26278999999998
19.192503213882446,127.01505
19.29309320449829,111.03426
19.393528699874878,115.123
19.494343042373657,126.73857
19.59509515762329,106.13865
19.69556474685669,131.82094999999998
19.796208381652832,112.65291
19.896588563919067,122.09624
19.99704885482788,121.35162
20.097472190856934,107.50094
20.197713375091553,107.98190999999998
20.298002004623413,141.39856
20.398691177368164,104.84103999999998
20.499138832092285,121.62566
20.599695920944214,121.01715
20.700435161590576,104.86545
20.800899982452393,106.89364999999998
20.901385068893433,136.97230999999996
21.00202775001526,119.28313
21.102481842041016,108.98532
21.202890157699585,124.24285
21.303543090820312,110.90914
21.403966903686523,141.41625999999997
21.504554510116577,109.29172
21.604993104934692,121.86064
21.705702304840088,122.92327
21.806228637695312,108.6539
21.906567335128784,109.28745
22.006908655166626,137.34156
22.107582330703735,118.09723
22.20818591117859,117.53694
22.308859825134277,105.80599
22.409305095672607,135.49161
22.50984477996826,114.62005999999998
22.610445737838745,107.62972999999998
22.710849046707153,141.79468
22.811468839645386,110.55087
22.911906242370605,107.88364
23.01231360435486,137.32690999999997
23.112831115722656,108.41342
23.213205575942993,107.51193
23.31355357170105,139.83056999999997
23.414124011993408,121.0495
23.51484727859497,108.68808
23.615371227264404,124.90752
23.716113328933716,120.72051
23.816638708114624,113.99445
23.91749143600464,118.56781999999998
24.018000841140747,106.00803
24.11841106414795,139.47596
24.219379663467407,113.42379
24.319965839385986,123.73075
24.420564651489258,105.17918000000002
24.520989418029785,124.88493
