CPU Cap (W),GPU Cap (W),Runtime (s)
125,100,3.19
125,120,3.19
125,140,3.19
125,160,3.29
125,180,3.19
125,200,3.18
125,220,3.18
125,240,3.19
125,260,3.19
125,100,3.18
125,120,3.19
125,140,3.19
125,160,3.18
125,180,3.18
125,200,3.19
125,220,3.19
125,240,3.19
125,260,3.19
125,100,3.18
125,120,3.19
125,140,3.18
125,160,3.19
125,180,3.19
125,200,3.19
125,220,3.29
125,240,3.19
125,260,3.19
125,100,3.2
125,120,3.21
125,140,3.21
125,160,3.2
125,180,3.2
125,200,3.3
125,220,3.21
125,240,3.18
125,260,3.2
125,100,3.19
125,120,3.19
125,140,3.19
125,160,3.19
125,180,3.2
125,200,3.19
125,220,3.21
125,240,3.19
125,260,3.21
