CPU Cap (W),GPU Cap (W),Runtime (s)
65,260,25.15
70,260,25.27
75,260,22.95
80,260,22.89
85,260,23.75
90,260,23.66
95,260,23.08
100,260,22.3
105,260,23.02
110,260,22.75
115,260,21.9
120,260,21.93
125,260,21.76
65,260,25.72
70,260,24.89
75,260,24.12
80,260,23.35
85,260,23.85
90,260,23.26
95,260,23.09
100,260,22.53
105,260,22.49
110,260,21.84
115,260,21.66
120,260,21.79
125,260,21.57
65,260,25.61
70,260,24.25
75,260,23.43
80,260,23.22
85,260,23.94
90,260,23.76
95,260,23.0
100,260,22.26
105,260,22.99
110,260,22.62
115,260,21.73
120,260,21.94
125,260,21.81
65,260,25.78
70,260,25.11
75,260,24.6
80,260,22.99
85,260,23.49
90,260,23.22
95,260,23.61
100,260,22.34
105,260,23.1
110,260,22.55
115,260,21.68
120,260,21.78
125,260,21.71
65,260,26.65
70,260,25.32
75,260,23.36
80,260,23.36
85,260,23.58
90,260,23.34
95,260,22.84
100,260,22.52
105,260,22.28
110,260,21.96
115,260,21.73
120,260,21.69
125,260,21.68
