CPU Cap (W),GPU Cap (W),Runtime (s)
125,100,23.02
125,120,16.29
125,140,15.15
125,160,14.75
125,180,14.56
125,200,14.42
125,220,14.41
125,240,14.52
125,260,14.41
125,100,23.0
125,120,16.22
125,140,15.31
125,160,14.82
125,180,14.54
125,200,14.46
125,220,14.54
125,240,14.46
125,260,14.35
125,100,22.78
125,120,16.22
125,140,15.09
125,160,14.78
125,180,14.47
125,200,14.57
125,220,14.29
125,240,14.36
125,260,14.36
125,100,22.95
125,120,16.22
125,140,15.08
125,160,14.88
125,180,14.48
125,200,14.44
125,220,14.51
125,240,14.4
125,260,14.35
125,100,22.81
125,120,16.23
125,140,15.28
125,160,14.69
125,180,14.59
125,200,14.42
125,220,14.44
125,240,14.37
125,260,14.39
