Time (s),GPU 0 SM Clock (MHz),GPU 0 Mem Clock (MHz)
0.10019946098327637,210,1215
0.257000207901001,210,1215
0.4367852210998535,210,1215
0.5753474235534668,765,1215
0.7601737976074219,870,1215
0.8982298374176025,870,1215
1.0645933151245117,870,1215
1.1978752613067627,870,1215
1.3513600826263428,870,1215
1.5046029090881348,870,1215
1.657266616821289,870,1215
1.8066339492797852,870,1215
1.9565918445587158,870,1215
2.0887911319732666,870,1215
2.220350742340088,870,1215
2.3526859283447266,870,1215
2.48887300491333,870,1215
2.636730432510376,765,1215
2.7697181701660156,765,1215
2.9190876483917236,765,1215
3.050612688064575,765,1215
3.189547061920166,765,1215
3.3260531425476074,765,1215
3.4589133262634277,765,1215
3.626032829284668,765,1215
3.7582390308380127,765,1215
3.910352945327759,765,1215
4.041232347488403,765,1215
4.181472301483154,765,1215
4.354073762893677,765,1215
4.5041327476501465,765,1215
4.641610860824585,765,1215
4.81014347076416,765,1215
4.980396270751953,765,1215
5.115393877029419,765,1215
5.25593376159668,765,1215
5.431691884994507,765,1215
5.589199542999268,765,1215
5.725443601608276,765,1215
5.89895224571228,765,1215
6.046253204345703,765,1215
6.184353590011597,765,1215
6.321537733078003,765,1215
6.478193044662476,765,1215
6.613836050033569,765,1215
6.747503042221069,765,1215
6.882155895233154,765,1215
7.014094591140747,765,1215
7.152274131774902,765,1215
7.326862335205078,765,1215
7.480376720428467,765,1215
7.631107807159424,765,1215
7.7813169956207275,765,1215
7.914594650268555,765,1215
8.066838502883911,765,1215
8.220491647720337,765,1215
8.35547161102295,765,1215
8.505903482437134,765,1215
8.63607120513916,765,1215
8.789094924926758,765,1215
8.940410852432251,765,1215
9.111396789550781,765,1215
9.249396562576294,765,1215
9.403968572616577,765,1215
9.537006616592407,765,1215
9.692972421646118,765,1215
9.82886004447937,765,1215
9.960596561431885,765,1215
10.11667275428772,765,1215
10.27006220817566,765,1215
10.422318935394287,765,1215
10.557750940322876,765,1215
10.715009689331055,765,1215
10.86797833442688,765,1215
11.024957418441772,765,1215
11.163264513015747,765,1215
11.31753945350647,765,1215
11.485939025878906,765,1215
11.617199659347534,765,1215
11.76620888710022,765,1215
11.900611639022827,765,1215
12.075703620910645,765,1215
12.252436876296997,765,1215
12.423144340515137,765,1215
12.576599597930908,765,1215
12.71114444732666,765,1215
12.846810340881348,765,1215
12.981924057006836,765,1215
13.118851661682129,765,1215
13.254814863204956,765,1215
13.385952234268188,765,1215
13.521610975265503,765,1215
13.693726301193237,765,1215
13.828394174575806,765,1215
13.962276220321655,765,1215
14.095824241638184,765,1215
14.231913328170776,765,1215
14.383656740188599,765,1215
14.517231702804565,765,1215
