CPU Cap (W),GPU Cap (W),CPU_E (J),GPU_E (J),Runtime (s)
250,260,3267.93,1865.6,34.62
250,240,3264.09,1835.95,34.61
250,220,3262.68,1804.19,34.6
250,200,3268.31,1795.56,34.64
250,180,3271.15,1767.58,34.65
250,160,3269.6,1818.37,34.6
250,140,3273.08,1834.31,34.62
250,120,3278.74,1794.67,34.71
250,100,3279.3,1763.28,34.72
110,260,3293.93,1802.19,34.95
110,240,3291.08,1766.84,34.93
110,220,3314.37,1816.15,35.06
110,200,3327.67,1773.55,35.24
110,180,3292.85,1788.27,34.91
110,160,3298.67,1766.5,35.0
110,140,3298.4,1802.09,35.51
110,120,3300.54,1767.7,35.0
110,100,3299.84,1734.09,35.02
95,260,3279.32,1910.9,40.51
95,240,3123.9,1839.05,38.47
95,220,3161.34,1851.54,38.98
95,200,3086.36,1808.75,37.92
95,180,3157.66,1872.47,38.86
95,160,3120.4,1826.89,38.3
95,140,2999.45,1813.55,36.8
95,120,3102.96,1805.88,38.14
95,100,3063.17,1783.84,37.64
90,260,3107.2,1832.42,40.06
90,240,3139.89,1894.49,40.57
90,220,-259031.44,1872.7,40.17
90,200,3133.55,1822.31,40.47
90,180,3115.05,1825.21,40.29
90,160,3116.02,1859.54,40.3
90,140,3149.53,1876.43,40.6
90,120,3186.18,1865.91,41.16
90,100,3141.55,1848.99,40.55
85,260,3185.92,1920.28,43.41
85,240,3178.45,1846.62,43.15
85,220,3150.5,1852.86,42.91
85,200,3104.73,1844.92,42.12
85,180,3174.92,1882.55,43.23
85,160,3108.56,1886.68,42.25
85,140,3133.91,1827.38,42.67
85,120,3160.97,1887.79,42.99
85,100,3143.83,1818.97,42.85
80,260,3093.95,1932.35,44.97
80,240,3092.5,1885.86,44.79
80,220,3073.31,1881.81,44.49
80,200,3095.71,1879.75,44.81
80,180,3085.02,1916.64,44.63
80,160,3069.55,1913.47,44.4
80,140,3089.22,1932.3,44.66
80,120,3085.87,1903.47,44.61
80,100,3129.99,1881.79,45.36
75,260,3155.19,1953.69,48.48
75,240,3193.56,1966.74,49.28
75,220,3177.99,1897.41,48.91
75,200,3161.82,1939.88,48.69
75,180,3154.45,1919.36,48.47
75,160,3157.29,1934.03,48.52
75,140,3151.07,1931.32,48.45
75,120,3176.23,1931.93,48.88
75,100,3399.07,1945.92,53.64
70,260,3641.49,2038.94,60.46
70,240,3569.23,2035.67,59.17
70,220,3406.78,1958.48,53.91
70,200,3583.59,2021.38,59.39
70,180,3578.75,2017.43,59.39
70,160,3586.06,2053.0,59.43
70,140,3601.45,2040.93,59.74
70,120,3275.57,1890.22,51.51
70,100,3532.18,1988.33,58.38
65,260,4119.95,2171.88,71.1
65,240,4109.01,2179.38,70.97
65,220,4113.38,2181.94,71.08
65,200,4114.28,2179.03,71.0
65,180,4110.7,2150.35,70.97
65,160,4111.76,2190.78,70.96
65,140,4110.37,2153.48,70.97
65,120,4117.61,2169.82,71.14
65,100,4117.08,2124.31,71.13
250,260,3287.84,1853.66,34.95
250,240,3267.04,1848.38,34.63
250,220,3333.04,1860.0,35.31
250,200,3270.4,1778.38,34.58
250,180,3268.63,1779.74,34.63
250,160,3324.13,1826.28,35.32
250,140,3322.64,1775.54,35.22
250,120,3268.86,1757.62,34.63
250,100,3278.15,1744.54,34.71
110,260,3291.11,1778.12,34.96
110,240,3291.07,1817.7,34.9
110,220,3293.77,1803.78,34.93
110,200,3312.52,1780.03,35.07
110,180,3305.07,1812.29,35.49
110,160,3299.73,1810.82,34.97
110,140,3294.08,1760.41,34.88
110,120,3310.56,1735.5,35.08
110,100,3307.68,1753.65,35.07
95,260,3281.77,1885.02,40.5
95,240,3176.53,1873.43,39.19
95,220,3097.44,1832.12,38.05
95,200,3145.25,1874.5,38.7
95,180,3111.41,1861.76,38.22
95,160,3142.22,1815.13,38.67
95,140,3068.05,1767.16,37.69
