CPU Cap (W),GPU Cap (W),CPU_E (J),GPU_E (J),Runtime (s)
250,260,2303.12,2362.25,24.4
250,240,2301.43,2357.33,24.43
250,220,2313.17,2336.72,24.47
250,200,2314.11,2347.3,24.49
250,180,2342.7,2376.27,24.9
250,160,2314.03,2253.83,24.51
250,140,2378.08,2232.83,25.18
250,120,2347.22,2159.47,24.87
250,100,2393.52,2124.95,25.35
110,260,2308.39,2315.59,24.5
110,240,2305.5,2364.18,24.52
110,220,2317.08,2353.3,24.61
110,200,2309.12,2361.28,24.55
110,180,2309.1,2368.69,24.55
110,160,2319.22,2285.3,24.66
110,140,2331.02,2227.03,24.73
110,120,2377.54,2188.5,25.26
110,100,2401.44,2128.71,25.56
95,260,2149.99,2463.51,26.4
95,240,2133.55,2472.15,26.25
95,220,2142.09,2500.94,26.35
95,200,2090.43,2425.27,25.63
95,180,2090.05,2427.37,25.66
95,160,2174.62,2461.55,27.01
95,140,2136.45,2326.69,26.2
95,120,2152.03,2252.6,26.08
95,100,2165.01,2211.4,26.56
90,260,2201.32,2638.6,28.47
90,240,2151.11,2602.71,27.77
90,220,2149.96,2568.88,27.69
90,200,2147.05,2609.37,27.73
90,180,2191.33,2642.18,28.36
90,160,2198.51,2569.1,28.4
90,140,2181.67,2485.47,28.19
90,120,2225.39,2466.12,28.74
90,100,2295.79,2444.8,29.66
85,260,2140.44,2649.75,29.03
85,240,2130.52,2680.03,28.95
85,220,2142.61,2689.15,29.15
85,200,2106.99,2680.96,28.65
85,180,2363.89,2935.05,31.93
85,160,2212.44,2721.31,30.14
85,140,2178.03,2606.14,29.71
85,120,2214.59,2574.5,30.07
85,100,2208.06,2468.35,30.02
80,260,2090.54,2775.89,30.26
80,240,-260041.09,2794.35,30.48
80,220,2090.39,2806.78,30.28
80,200,2078.02,2765.48,30.07
80,180,2085.63,2769.28,30.17
80,160,2103.44,2704.86,30.44
80,140,2119.57,2669.79,30.64
80,120,2137.46,2636.37,30.99
80,100,2179.18,2590.42,31.6
75,260,2135.06,2868.27,31.64
75,240,2159.79,2982.43,33.18
75,220,2153.75,3005.89,33.13
75,200,2155.79,2980.56,33.16
75,180,2159.61,3010.23,33.18
75,160,2105.45,2775.12,31.06
75,140,2161.46,2882.69,33.2
75,120,2184.71,2821.5,33.52
75,100,2206.19,2766.75,33.92
70,260,2406.89,3505.71,39.87
70,240,2294.27,3355.04,37.76
70,220,2346.78,3472.75,38.8
70,200,2388.8,3537.36,39.5
70,180,2361.66,3422.57,38.97
70,160,2422.68,3381.19,38.91
70,140,2438.41,3422.58,40.38
70,120,2450.69,3376.69,40.57
70,100,2481.7,3340.77,41.09
65,260,2727.37,4066.54,46.98
65,240,2725.81,4076.42,46.88
65,220,2783.51,4201.12,48.43
65,200,2709.07,4061.71,46.65
65,180,2357.28,3474.75,39.27
65,160,2368.8,3419.29,39.45
65,140,2730.93,3960.46,46.98
65,120,2749.27,3909.87,47.28
65,100,2767.81,3841.82,47.64
250,260,2346.31,2394.37,24.94
250,240,2305.35,2358.61,24.46
250,220,2321.06,2356.32,24.58
250,200,2346.71,2375.09,24.96
250,180,2352.9,2372.77,24.94
250,160,2349.58,2298.49,24.94
250,140,2379.35,2231.0,25.18
250,120,2402.64,2198.47,25.41
250,100,2434.08,2144.4,25.85
110,260,2326.61,2320.22,24.7
110,240,2311.57,2325.95,24.49
110,220,2316.4,2340.44,24.62
110,200,2319.54,2347.68,24.62
110,180,2318.88,2335.58,24.64
110,160,2332.29,2274.04,24.69
110,140,2343.9,2229.86,24.99
110,120,2391.51,2197.38,25.59
110,100,2418.34,2135.85,25.97
95,260,2105.69,2435.26,25.8
95,240,2133.61,2434.46,25.93
95,220,2226.29,2565.26,27.34
95,200,2323.0,2658.49,28.69
95,180,2082.67,2395.77,25.49
95,160,2338.9,2597.05,28.88
95,140,2148.78,2313.99,26.17
95,120,2358.03,2495.14,29.07
95,100,2340.64,2360.86,28.6
90,260,2334.35,2769.0,30.31
90,240,2280.97,2713.91,29.57
90,220,2333.49,2775.11,29.9
