CPU Cap (W),GPU Cap (W),CPU_E (J),GPU_E (J),Runtime (s)
65,100,1290.91,1569.09,22.57
65,120,1237.36,1492.09,21.66
65,140,1221.98,1521.56,21.32
65,160,1206.94,1522.23,21.16
65,180,1205.75,1533.77,21.18
65,200,1209.25,1531.65,21.24
65,220,1201.68,1553.88,21.13
65,240,1196.25,1549.9,21.02
65,260,1208.51,1542.81,21.24
70,100,1309.77,1558.22,22.31
70,120,1219.94,1452.5,20.68
70,140,1215.26,1484.85,20.72
70,160,1143.71,1401.11,19.33
70,180,1197.57,1494.22,20.29
70,200,1205.72,1511.56,20.53
70,220,1124.17,1392.76,18.96
70,240,1211.84,1516.11,20.66
70,260,1182.12,1494.04,20.09
75,100,1253.12,1416.92,20.21
75,120,1019.1,1143.5,15.8
75,140,1056.99,1220.22,16.58
75,160,1013.51,1177.73,15.7
75,180,1068.63,1275.88,16.86
75,200,1213.11,1421.93,19.4
75,220,1015.93,1184.96,15.79
75,240,1000.52,1194.85,15.49
75,260,997.5,1168.51,15.49
80,100,1124.32,1195.63,16.51
80,120,1030.51,1102.6,15.11
80,140,1010.86,1096.02,14.82
80,160,1013.68,1111.93,14.77
80,180,1006.04,1120.46,14.75
80,200,1001.75,1127.01,14.64
80,220,989.26,1100.45,14.47
80,240,1000.05,1116.49,14.71
80,260,1021.21,1156.74,14.96
85,100,1228.45,1240.99,17.17
85,120,1136.05,1156.51,15.87
85,140,1148.72,1194.19,16.1
85,160,1152.17,1201.16,16.32
85,180,1050.32,1107.95,14.63
85,200,1018.44,1080.46,14.12
85,220,-261071.91,1154.56,15.01
85,240,1092.67,1155.55,15.23
85,260,1044.41,1118.31,14.55
90,100,1219.39,1161.18,16.12
90,120,1105.96,1092.59,14.87
90,140,1081.84,1066.75,14.23
90,160,1121.42,1122.84,14.87
90,180,1091.13,1103.72,14.48
90,200,1666.34,1528.91,21.76
90,220,1013.44,1034.02,13.4
90,240,1098.6,1120.15,14.58
90,260,1079.78,1097.7,14.27
95,100,1099.89,1025.84,13.77
95,120,1037.71,982.17,13.09
95,140,1026.16,973.03,12.89
95,160,973.01,934.22,12.1
95,180,1036.46,1009.13,13.01
95,200,971.8,947.47,12.17
95,220,1016.69,1009.88,12.8
95,240,1012.39,988.98,12.72
95,260,970.12,966.31,12.12
110,100,1196.07,965.45,13.13
110,120,1075.42,889.68,11.81
110,140,1059.59,883.97,11.66
110,160,1051.74,881.46,11.52
110,180,1052.23,898.92,11.58
110,200,1606.11,1327.89,17.78
110,220,1044.32,892.94,11.48
110,240,1048.98,942.59,11.52
110,260,1052.97,908.39,11.57
120,100,1211.37,967.45,13.09
120,120,1079.0,868.85,11.76
120,140,1066.37,896.2,11.61
120,160,1061.3,878.13,11.5
120,180,1061.42,894.81,11.45
120,200,1061.2,897.81,11.44
120,220,1060.8,887.61,11.45
120,240,1049.07,937.46,11.46
120,260,1045.25,890.23,11.41
65,100,1277.36,1498.63,21.66
65,120,1237.93,1528.15,21.71
65,140,1236.34,1491.39,21.09
65,160,1186.16,1456.79,20.11
65,180,1202.89,1526.3,21.09
65,200,1201.61,1540.66,21.16
65,220,1209.4,1550.22,21.23
65,240,1202.95,1561.13,21.16
65,260,1195.09,1534.63,21.04
70,100,1274.49,1530.13,21.69
70,120,1200.55,1452.08,20.46
70,140,1111.25,1372.87,18.76
70,160,1197.37,1483.58,20.39
70,180,1097.08,1361.76,18.5
70,200,1150.27,1443.32,19.52
70,220,1122.57,1394.63,19.01
70,240,1177.05,1466.45,20.03
70,260,1056.74,1339.07,17.77
75,100,1108.37,1236.87,17.23
75,120,1166.89,1338.66,18.53
75,140,1045.76,1199.08,16.35
75,160,1046.12,1220.88,16.22
75,180,1109.98,1313.27,17.57
75,200,1142.89,1299.02,17.39
75,220,993.45,1173.8,15.43
75,240,995.46,1207.37,15.51
75,260,986.28,1175.24,15.31
80,100,1107.58,1156.4,16.2
80,120,1060.7,1141.33,15.59
80,140,1032.12,1126.81,15.13
80,160,1213.1,1316.68,17.76
80,180,999.11,1125.91,14.72
80,200,994.79,1104.38,14.57
80,220,1029.33,1149.54,15.04
80,240,1024.19,1147.49,15.07
80,260,1015.09,1138.71,14.86
85,100,1136.95,1152.37,15.87
85,120,1106.36,1140.49,15.49
85,140,1064.64,1096.27,14.87
85,160,1071.77,1128.9,15.0
85,180,1099.82,1149.42,15.33
85,200,1059.2,1146.49,14.77
85,220,1065.6,1138.63,14.87
85,240,1055.2,1135.58,14.7
85,260,1031.79,1103.78,14.33
90,100,1167.45,1127.23,15.41
90,120,1158.7,1107.91,15.25
90,140,1117.94,1107.19,14.81
90,160,1125.99,1130.46,14.9
90,180,1147.37,1152.93,15.15
90,200,1165.11,1151.47,15.32
90,220,1040.17,1052.67,13.77
90,240,1151.77,1162.78,15.22
90,260,1096.07,1104.02,14.47
95,100,1127.93,1052.99,14.16
95,120,1057.09,1000.35,13.49
95,140,1000.55,950.94,12.59
95,160,1034.46,1004.59,13.06
95,180,991.18,975.61,12.45
95,200,969.04,960.06,12.09
95,220,1014.23,987.85,12.79
95,240,964.31,937.98,12.02
95,260,977.46,982.26,12.18
110,100,1199.94,974.76,13.13
110,120,1075.99,888.51,11.8
110,140,1061.53,883.08,11.66
110,160,1061.03,922.36,11.62
