Time (s),GPU 0 SM Clock (MHz),GPU 0 Mem Clock (MHz)
0.1002054214477539,870,1215
0.2739064693450928,870,1215
0.42718982696533203,870,1215
0.579155683517456,870,1215
0.7110064029693604,870,1215
0.8465781211853027,870,1215
1.0038514137268066,870,1215
1.1511836051940918,870,1215
1.286060094833374,870,1215
1.4356088638305664,870,1215
1.5652987957000732,870,1215
1.6957621574401855,870,1215
1.8280978202819824,870,1215
1.9648540019989014,765,1215
2.09698748588562,765,1215
2.228956699371338,765,1215
2.363548755645752,765,1215
2.4980225563049316,765,1215
2.6313352584838867,765,1215
2.786515951156616,765,1215
2.9225707054138184,765,1215
3.0607664585113525,765,1215
3.2120137214660645,765,1215
3.3469629287719727,765,1215
3.480653762817383,765,1215
3.6152586936950684,765,1215
3.7674036026000977,765,1215
3.91977858543396,765,1215
4.069617986679077,765,1215
4.206286907196045,765,1215
4.3385844230651855,765,1215
4.4733662605285645,765,1215
4.609790802001953,765,1215
4.742326736450195,765,1215
4.876072645187378,765,1215
5.01310920715332,765,1215
5.142921447753906,765,1215
5.2962846755981445,765,1215
5.443892240524292,765,1215
5.592624187469482,765,1215
5.724693298339844,765,1215
5.857471466064453,765,1215
6.006495475769043,765,1215
6.160266399383545,765,1215
6.2912092208862305,765,1215
6.443942546844482,765,1215
6.5790698528289795,765,1215
6.712881565093994,765,1215
6.85023045539856,765,1215
7.022599220275879,765,1215
7.17160439491272,765,1215
7.308160305023193,765,1215
7.45771861076355,765,1215
7.591903924942017,765,1215
7.721269845962524,765,1215
7.857071161270142,765,1215
7.99061393737793,765,1215
8.124101638793945,765,1215
8.258858919143677,765,1215
8.392208099365234,765,1215
8.54414701461792,765,1215
8.676380395889282,765,1215
8.81037163734436,765,1215
8.947727680206299,765,1215
9.086093425750732,765,1215
9.224083662033081,1365,1215
9.369913339614868,1365,1215
9.502784490585327,1410,1215
9.637708902359009,1410,1215
9.791390180587769,1410,1215
9.922722578048706,1410,1215
10.057377338409424,1410,1215
10.203266382217407,1410,1215
10.333826303482056,1410,1215
10.465464353561401,1410,1215
10.596360445022583,1410,1215
10.729244232177734,1410,1215
10.864302635192871,1410,1215
10.99819016456604,1410,1215
11.12954831123352,1410,1215
11.262423992156982,1410,1215
11.39612889289856,1410,1215
11.544048547744751,1410,1215
11.693406105041504,1410,1215
11.822043895721436,1410,1215
11.958002805709839,1410,1215
12.092078924179077,1410,1215
12.22369909286499,1410,1215
12.3565194606781,1410,1215
12.506607294082642,1410,1215
12.640892744064331,1410,1215
12.794027090072632,1410,1215
12.925194025039673,1410,1215
13.06053638458252,1410,1215
13.190644979476929,1410,1215
13.342884302139282,1410,1215
13.473639011383057,1410,1215
13.603075742721558,1410,1215
13.736240148544312,1410,1215
13.864673376083374,1410,1215
14.014420986175537,1410,1215
14.147138357162476,1410,1215
14.278302431106567,1410,1215
14.41016936302185,1410,1215
14.54035210609436,1410,1215
14.672147989273071,1410,1215
14.805983781814575,1410,1215
14.963815927505493,1410,1215
15.096408128738403,1410,1215
15.228707790374756,1410,1215
15.361365556716919,1410,1215
15.495680332183838,1410,1215
15.628697872161865,1410,1215
15.760096788406372,1410,1215
15.894088506698608,1410,1215
16.068907976150513,1410,1215
16.203398942947388,1410,1215
16.33496928215027,1410,1215
16.466817617416382,1410,1215
16.59997797012329,1410,1215
