Time Elapsed (s), sys_mem_r(MB/s), sys_mem_w(MB/s), total(MB/s)
16.7352,80.2189,124.361,204.58
16.8355,146.306,196.996,343.302
16.9356,93.2557,147.254,240.509
17.0355,106.084,141.382,247.466
17.1366,123.652,214.724,338.376
17.2367,89.8259,252.339,342.164
17.3367,118.005,274.151,392.156
17.4366,92.2707,199.629,291.9
17.5366,48.5437,95.9211,144.465
17.6366,102.711,116.453,219.164
17.7366,103.75,147.065,250.815
17.8368,73.5936,148.453,222.047
17.9368,111.235,229.827,341.061
18.0369,75.6486,250.036,325.685
18.1371,122.334,306.576,428.909
18.2371,129.962,161.524,291.487
18.3371,77.7606,132.791,210.552
18.4372,101.576,127.535,229.11
18.5373,97.1251,219.369,316.494
18.6372,72.7309,241.768,314.499
18.7384,73.2454,241.974,315.219
18.8384,91.5405,152.042,243.583
18.9384,134.46,161.487,295.946
19.0384,72.519,128.727,201.246
19.1383,44.3003,90.1928,134.493
19.2383,114.987,235.834,350.821
19.3386,72.1792,228.513,300.692
19.4386,100.799,254.612,355.411
19.5386,86.375,178.875,265.25
19.6387,52.4947,107.564,160.059
19.7388,207.75,218.993,426.743
19.839,118.523,192.81,311.332
19.9392,57.0618,112.663,169.725
20.0392,84.3859,246.396,330.781
20.1395,196.648,333.183,529.831
20.2397,69.5603,226.685,296.246
20.34,114.973,154.774,269.747
20.4402,46.1773,94.5958,140.773
20.5404,97.2902,144.346,241.636
20.6412,65.3594,105.085,170.444
20.7405,71.0842,154.354,225.438
20.8407,99.0086,267.185,366.194
20.941,74.7386,231.145,305.884
21.0412,71.5398,185.414,256.954
21.1414,46.1805,102.104,148.285
21.2415,51.2416,97.0483,148.29
21.3408,72.625,124.327,196.952
21.44,47.3141,95.1331,142.447
21.5392,70.678,203.52,274.198
21.6383,92.9506,238.301,331.252
21.7386,79.7395,250.38,330.12
21.8378,98.3105,144.605,242.916
21.9379,42.688,82.713,125.401
22.0381,78.1094,132.92,211.029
22.1382,65.5712,176.076,241.647
22.2384,106.728,269.448,376.176
22.3384,92.5779,217.054,309.632
22.4384,76.0525,176.786,252.838
22.5384,75.423,111.288,186.711
22.6384,95.9392,137.103,233.042
22.7386,62.5338,110.389,172.923
22.8387,104.41,235.898,340.308
22.9388,89.0406,273.649,362.689
23.0387,90.2074,233.217,323.425
23.1387,71.7983,143.849,215.647
23.2387,81.9514,116.351,198.303
23.3387,103.535,145.731,249.267
23.445,87.0304,135.894,222.924
23.539,80.3098,154.966,235.276
23.639,70.8933,206.035,276.929
23.739,112.907,281.314,394.221
23.839,95.2435,244.2,339.443
23.939,85.1238,118.417,203.54
24.0393,60.6803,101.564,162.244
24.1393,125.849,172.434,298.283
24.2395,84.2234,125.185,209.408
24.3385,84.7341,202.705,287.439
24.4386,81.5488,243.746,325.295
24.5386,86.8346,251.996,338.83
24.6385,97.1411,185.914,283.055
24.7385,64.7383,111.458,176.196
24.8386,167.05,285.781,452.831
24.9388,89.801,272.184,361.985
25.0387,92.9171,275.812,368.729
25.1387,63.2595,134.393,197.652
25.2387,70.3535,108.041,178.395
25.3387,115.661,157.128,272.788
25.4387,37.4298,84.7155,122.145
25.5387,72.0262,164.487,236.513
25.6387,108.095,242.52,350.615
25.7387,81.0701,230.112,311.182
25.8389,78.8589,187.668,266.527
