time,utilization
0.00,0.00
0.32,16.57
0.61,1.38
0.91,1.47
1.21,1.07
1.51,1.08
1.82,1.02
2.14,1.01
2.45,1.06
2.78,1.05
3.11,1.08
3.44,1.04
3.75,1.09
4.06,1.06
4.36,1.06
4.66,1.03
4.95,1.04
5.27,1.06
5.58,0.97
5.90,1.09
6.22,1.00
6.52,1.04
6.82,1.06
7.14,1.04
7.46,0.98
7.79,1.07
8.12,1.06
8.42,1.02
8.72,0.97
9.01,1.01
9.33,1.08
9.64,0.95
9.96,1.01
10.26,0.99
10.57,1.05
10.90,1.01
11.22,0.98
11.53,0.98
11.83,1.08
12.15,1.08
12.44,1.07
12.74,1.10
13.07,1.03
13.39,1.01
13.69,1.06
14.00,1.07
14.30,1.05
14.61,1.01
14.93,1.00
15.24,1.06
15.56,1.04
15.87,1.14
16.19,1.05
16.50,1.06
16.82,1.07
17.14,1.05
17.46,1.04
17.77,1.04
18.08,0.97
18.40,1.01
18.69,1.06
19.00,1.03
19.32,1.04
19.65,1.03
19.97,1.04
20.28,0.98
20.60,1.01
20.89,1.11
21.20,1.05
21.51,1.02
21.82,1.00
22.12,0.98
22.45,1.07
22.76,1.06
23.08,1.04
23.41,1.06
23.73,1.03
24.05,1.11
24.34,1.11
24.63,1.00
24.92,1.02
25.22,0.99
25.50,1.05
25.79,1.02
26.09,1.02
26.37,1.05
26.65,1.07
26.95,1.04
27.23,1.13
27.52,1.05
27.80,1.07
28.09,1.07
28.38,1.04
28.67,1.09
28.95,1.10
29.23,1.03
29.52,1.04
29.81,1.12
30.11,1.09
30.40,1.11
