CPU Cap (W),GPU Cap (W),CPU_E (J),GPU_E (J),Runtime (s)
105,260,2249.52,2095.01,25.08
105,240,2286.78,2087.4,25.74
105,220,2248.0,2063.57,25.19
105,200,2251.24,2064.26,25.18
105,180,2238.98,2063.26,25.06
105,160,2246.3,2037.9,25.08
105,140,2304.51,2030.74,25.94
105,120,2283.54,1945.46,25.48
105,100,2329.16,1914.62,26.14
100,260,2342.09,2172.59,27.28
100,240,2311.8,2174.2,27.07
100,220,2333.2,2183.68,27.28
100,200,2330.11,2176.28,27.28
100,180,2351.23,2194.93,27.48
100,160,2377.88,2175.04,27.63
100,140,2410.62,2161.81,28.21
100,120,2450.21,2130.71,28.66
100,100,2308.07,1986.65,26.98
95,260,2294.37,2239.72,28.16
95,240,2446.93,2351.58,30.25
95,220,2154.5,2093.18,26.16
95,200,2127.6,2125.09,26.0
95,180,2225.15,2195.1,27.32
95,160,2121.79,2081.37,25.88
95,140,2135.73,2034.57,26.14
95,120,2149.49,2003.48,26.34
95,100,2208.81,1955.71,26.81
90,260,2189.6,2227.38,28.22
90,240,2355.9,2340.34,30.17
90,220,2282.08,2326.35,29.55
90,200,2243.74,2296.93,29.05
90,180,2260.26,2274.7,29.24
90,160,2263.47,2242.66,29.28
90,140,2230.34,2195.41,28.78
90,120,2412.06,2257.06,30.82
90,100,2389.4,2180.84,30.58
85,260,2510.27,2539.71,34.24
85,240,2249.31,2328.94,30.55
85,220,2483.99,2550.15,33.9
85,200,2508.79,2559.35,33.98
85,180,2498.96,2561.49,34.08
85,160,2165.87,2251.95,29.36
85,140,2475.26,2482.35,33.62
85,120,2564.28,2503.85,35.02
85,100,2264.55,2175.72,30.73
80,260,2146.18,2354.85,30.92
80,240,2146.24,2360.76,30.93
80,220,2106.95,2321.09,30.28
80,200,2106.71,2360.89,30.28
80,180,2299.24,2508.99,32.78
80,160,2115.11,2330.8,30.4
80,140,2217.02,2392.58,32.27
80,120,2162.8,2275.01,31.14
80,100,2154.34,2179.02,30.92
75,260,2376.61,2734.82,37.39
75,240,2156.53,2482.73,32.91
75,220,2189.42,2517.3,33.5
75,200,2162.7,2460.3,33.01
75,180,2204.56,2479.64,33.7
75,160,2206.68,2508.38,33.94
75,140,2179.52,2430.69,33.35
75,120,2166.07,2366.62,33.09
