CPU Cap (W),GPU Cap (W),Runtime (s)
125,100,18.88
125,120,17.77
125,140,17.15
125,160,16.96
125,180,16.99
125,200,16.96
125,220,16.98
125,240,16.99
125,260,17.03
125,100,18.87
125,120,17.74
125,140,17.14
125,160,16.97
125,180,16.98
125,200,16.96
125,220,17.0
125,240,16.95
125,260,16.99
125,100,18.85
125,120,17.73
125,140,17.11
125,160,16.97
125,180,16.99
125,200,16.97
125,220,17.27
125,240,16.98
125,260,16.98
125,100,18.86
125,120,17.7
125,140,17.11
125,160,16.95
125,180,16.99
125,200,17.01
125,220,16.97
125,240,16.99
125,260,17.0
125,100,18.9
125,120,17.77
125,140,17.17
125,160,16.99
125,180,16.99
125,200,17.01
125,220,16.98
125,240,17.0
125,260,17.0
