CPU Cap (W),GPU Cap (W),Runtime (s)
65,260,41.1
70,260,37.3
75,260,31.52
80,260,31.04
85,260,35.21
90,260,32.54
95,260,26.23
100,260,26.89
105,260,25.57
110,260,25.12
115,260,24.83
120,260,24.68
125,260,24.62
65,260,40.85
70,260,36.99
75,260,31.33
80,260,30.9
85,260,34.78
90,260,32.96
95,260,26.54
100,260,27.44
105,260,25.71
110,260,25.35
115,260,24.81
120,260,24.72
125,260,24.67
65,260,40.59
70,260,36.53
75,260,31.28
80,260,31.19
85,260,34.65
90,260,33.32
95,260,26.77
100,260,28.53
105,260,25.66
110,260,25.31
115,260,24.81
120,260,24.67
125,260,24.68
65,260,40.43
70,260,36.96
75,260,31.63
80,260,31.35
85,260,34.55
90,260,33.75
95,260,26.29
100,260,30.38
105,260,25.53
110,260,27.22
115,260,24.95
120,260,24.68
125,260,24.7
65,260,40.75
70,260,35.97
75,260,31.45
80,260,30.9
85,260,35.23
90,260,33.65
95,260,26.15
100,260,28.24
105,260,26.06
110,260,27.04
115,260,24.96
120,260,24.59
125,260,24.63
