CPU Cap (W),GPU Cap (W),CPU_E (J),GPU_E (J),Runtime (s)
105,260,2963.17,1655.02,33.18
105,240,2952.91,1706.44,33.14
105,220,2926.91,1676.24,32.84
105,200,2981.65,1597.67,33.53
105,180,3038.6,1609.43,34.57
105,160,2946.32,1603.1,33.05
105,140,2885.62,1632.64,32.49
105,120,2972.33,1638.89,33.48
105,100,3039.05,1679.4,34.17
100,260,2700.32,1724.87,31.91
100,240,2707.66,1667.76,31.99
100,220,2831.74,1674.59,33.71
100,200,2754.3,1684.08,32.57
100,180,2716.88,1622.87,32.12
100,160,2721.74,1642.88,32.19
100,140,2796.11,1658.06,33.47
100,120,2730.47,1662.12,32.25
100,100,2783.37,1638.31,32.89
95,260,2868.39,1748.15,35.26
95,240,2708.81,1656.03,33.91
95,220,2656.48,1678.41,32.89
95,200,2644.59,1656.62,32.72
95,180,2845.38,1741.92,35.45
95,160,2725.04,1647.38,33.79
95,140,2682.0,1616.58,33.22
95,120,2665.34,1626.54,33.02
95,100,2734.55,1705.91,33.87
90,260,2904.69,1750.94,37.85
90,240,2806.02,1710.46,36.63
90,220,2856.92,1700.98,37.21
90,200,2780.49,1685.84,36.2
90,180,2803.31,1705.33,36.53
90,160,2742.42,1704.4,35.72
90,140,2760.95,1664.47,35.96
90,120,2764.77,1626.77,35.96
90,100,3025.0,1738.89,39.47
85,260,2900.24,1787.6,39.67
85,240,2881.85,1736.82,39.4
85,220,2878.39,1733.07,39.44
85,200,3259.42,1821.64,44.07
85,180,2842.13,1692.53,38.83
85,160,2893.07,1743.98,39.6
85,140,2919.69,1736.77,39.88
85,120,2940.31,1689.24,40.28
85,100,2936.08,1746.5,40.16
80,260,3188.95,1782.51,47.09
80,240,3034.92,1792.02,44.58
80,220,3067.78,1784.26,45.26
80,200,3095.88,1824.04,46.09
80,180,3194.52,1737.25,47.37
80,160,3157.99,1744.82,46.61
80,140,3176.04,1700.49,47.17
80,120,3169.24,1722.83,46.92
80,100,3334.96,1798.03,49.98
75,260,2900.19,1723.64,44.63
75,240,2977.31,1827.94,46.11
75,220,2902.95,1765.54,44.88
75,200,3206.33,1754.0,47.66
75,180,3031.55,1730.51,47.26
75,160,2977.19,1713.06,46.22
75,140,3022.31,1710.01,47.03
75,120,2914.6,1677.02,45.03
75,100,2964.18,1758.28,45.83
70,260,3587.46,1857.45,59.99
70,240,3394.64,1862.99,56.5
70,220,3089.71,1812.8,51.14
70,200,3696.65,1869.73,62.37
70,180,3350.41,1781.88,55.62
70,160,3640.35,1777.72,60.8
70,140,3329.68,1743.2,55.3
70,120,3620.63,1774.35,60.42
70,100,3678.31,1809.22,61.42
65,260,3506.35,1832.45,58.45
65,240,-258216.23,1931.43,67.55
65,220,3921.07,1928.93,67.53
65,200,3907.8,1910.19,67.31
65,180,3926.97,1921.23,67.66
65,160,3383.92,1787.23,56.33
65,140,3913.59,1909.04,67.37
65,120,3843.41,1900.19,66.17
65,100,3892.75,1884.68,66.96
