CPU Cap (W),GPU Cap (W),CPU_E (J),GPU_E (J),Runtime (s)
105,260,3041.15,5856.71,34.13
105,240,3066.43,5989.21,34.41
105,220,3056.16,6056.24,34.32
105,200,3095.13,6144.11,34.76
105,180,3084.94,5958.66,34.67
105,160,3177.34,5495.88,35.68
105,140,3301.89,5015.75,37.07
105,120,3500.12,4614.01,39.22
105,100,3827.15,4229.88,42.9
100,260,2920.66,6011.03,34.39
100,240,2937.38,6106.15,34.69
100,220,2966.35,6112.91,34.75
100,200,2939.5,6099.21,34.56
100,180,2973.3,5975.54,34.87
100,160,3038.84,5492.77,35.63
100,140,3151.37,5039.36,37.12
100,120,3344.67,4633.61,39.28
100,100,3605.17,4218.55,42.77
95,260,2779.55,5995.76,34.25
95,240,2794.17,6040.36,34.41
95,220,2806.66,6087.49,34.58
95,200,2825.92,6158.26,34.86
95,180,2831.57,5980.42,34.9
95,160,2918.51,5492.42,35.75
95,140,3012.25,5044.1,37.07
95,120,3170.49,4593.29,39.07
95,100,-258652.9,4236.88,43.04
90,260,2626.46,6007.51,34.45
90,240,2683.84,6085.17,34.79
90,220,2683.89,6103.09,34.73
90,200,2724.05,6117.35,34.91
90,180,2693.43,5983.1,34.83
90,160,2766.76,5502.26,35.78
90,140,2861.43,5013.87,37.05
90,120,3016.18,4575.84,39.1
90,100,3313.66,4219.82,42.9
85,260,2517.18,6024.13,34.31
85,240,2572.68,6090.45,34.63
85,220,2548.14,6116.33,34.79
85,200,2593.8,6133.38,34.91
85,180,2554.08,5977.96,34.91
85,160,2600.99,5489.34,35.76
85,140,2733.95,5028.29,37.23
85,120,2898.07,4612.78,39.31
85,100,3152.19,4222.06,42.88
80,260,2369.87,6001.85,34.42
80,240,2464.68,6081.01,34.79
80,220,2375.98,6082.98,34.62
80,200,2398.98,6113.13,34.81
80,180,2393.7,5970.1,34.93
80,160,2450.33,5491.26,35.71
80,140,2547.84,5046.03,37.22
80,120,2777.29,4605.69,39.38
80,100,2965.41,4229.54,43.02
75,260,2331.37,5981.53,34.44
75,240,2254.25,6033.67,34.6
75,220,2364.91,6117.97,34.95
75,200,2265.97,6111.65,34.85
75,180,2280.46,5987.24,34.99
75,160,2318.79,5499.34,35.9
75,140,2418.71,5055.97,37.31
75,120,2560.74,4602.13,39.4
75,100,2794.52,4211.82,43.0
70,260,2084.28,5998.51,34.64
70,240,2094.95,6030.03,34.77
70,220,2105.81,6090.99,35.0
70,200,2119.77,6131.84,35.12
70,180,2123.52,5984.86,35.25
70,160,2160.3,5506.33,35.93
70,140,2263.22,5050.52,37.43
70,120,2395.88,4635.14,39.69
70,100,2619.17,4229.12,43.26
65,260,2081.22,5964.0,34.63
65,240,2050.79,6061.08,35.15
65,220,2053.94,6097.09,35.23
65,200,2051.74,6133.92,35.19
65,180,2056.08,5996.97,35.31
65,160,2108.36,5512.41,36.15
65,140,2196.46,5062.58,37.68
65,120,2302.77,4601.52,39.54
65,100,2519.14,4226.96,43.22
105,260,3024.97,5847.88,33.91
105,240,3056.07,5983.01,34.36
105,220,3073.81,6034.47,34.52
105,200,3089.65,6076.22,34.68
105,180,3100.25,5945.78,34.83
105,160,3171.77,5476.84,35.57
105,140,3319.95,5055.38,37.26
105,120,3505.11,4626.2,39.37
105,100,3819.88,4218.62,42.84
100,260,2909.54,5953.11,34.24
100,240,2940.33,6057.99,34.52
100,220,2935.21,6091.33,34.61
100,200,2945.59,6069.59,34.54
100,180,2965.14,5973.56,34.8
100,160,3023.53,5479.55,35.53
100,140,3164.97,5042.63,37.13
100,120,-258811.29,4588.8,39.06
100,100,3659.87,4221.58,42.84
95,260,2781.35,5959.41,34.22
95,240,2806.73,6083.98,34.51
95,220,2814.34,6090.94,34.63
95,200,2827.59,6168.48,34.78
95,180,2827.0,5968.08,34.75
95,160,2895.21,5484.63,35.63
95,140,3010.1,5026.79,37.1
95,120,3193.99,4623.29,39.29
95,100,3485.59,4204.29,43.0
90,260,2666.48,5994.03,34.46
90,240,2675.11,6082.13,34.6
90,220,2680.71,6053.89,34.7
90,200,2672.78,6100.17,34.57
90,180,2689.13,5976.52,34.79
90,160,2763.19,5498.37,35.76
90,140,2880.16,5049.1,37.21
90,120,3028.39,4601.05,39.16
90,100,3365.59,4228.85,42.95
85,260,2529.25,6005.45,34.33
85,240,2551.02,6069.71,34.69
85,220,2595.59,6102.34,34.95
85,200,2557.73,6110.19,34.84
85,180,2558.36,5956.91,34.73
85,160,2633.17,5509.02,35.84
85,140,2737.09,5059.82,37.25
85,120,2879.58,4598.74,39.12
85,100,3168.17,4236.39,43.06
80,260,2380.22,6016.15,34.42
80,240,2391.26,6057.02,34.71
80,220,2409.6,6114.32,34.84
80,200,2395.86,6122.6,34.84
80,180,2409.82,5983.05,34.99
80,160,2464.88,5512.57,35.93
80,140,2531.63,5063.88,37.45
80,120,2678.95,4648.62,39.61
80,100,2956.97,4228.12,42.97
75,260,2236.8,6014.65,34.47
75,240,2262.83,6063.42,34.77
75,220,2359.67,6096.79,34.88
75,200,2249.99,6097.86,34.74
75,180,2277.71,5991.64,35.01
75,160,2348.28,5535.3,36.05
75,140,2426.04,5051.42,37.32
75,120,2670.06,4608.32,39.38
75,100,2776.43,4221.33,42.99
70,260,2097.47,6037.73,34.7
70,240,2103.21,6042.24,34.78
70,220,2164.24,6100.42,35.06
70,200,2108.67,6132.02,34.95
70,180,2163.64,5976.86,35.21
70,160,2162.63,5489.65,35.89
70,140,2257.38,5052.2,37.43
70,120,2383.22,4613.5,39.48
70,100,2614.28,4244.94,43.3
65,260,2016.43,5990.98,34.62
65,240,2043.03,6091.89,35.11
65,220,2051.31,6145.28,35.2
65,200,2106.76,6121.93,35.09
65,180,2115.78,5989.34,35.23
65,160,2169.13,5520.97,36.14
65,140,2188.75,5055.61,37.57
65,120,2312.89,4626.8,39.68
65,100,2529.43,4234.82,43.41
105,260,3034.32,5866.13,34.03
105,240,3062.83,6004.07,34.39
105,220,3075.3,6076.41,34.59
105,200,3083.77,6110.94,34.65
105,180,3099.14,5973.52,34.82
105,160,3176.84,5498.37,35.65
105,140,3307.41,5057.85,37.18
105,120,3502.36,4628.64,39.29
105,100,3831.16,4222.26,43.0
100,260,2938.52,6016.47,34.33
100,240,2962.37,6114.02,34.72
100,220,2959.37,6134.0,34.67
100,200,2955.01,6127.49,34.74
100,180,2975.64,5973.01,34.83
100,160,3037.87,5491.98,35.68
100,140,3153.7,5056.39,37.07
100,120,3353.4,4614.73,39.32
100,100,3674.32,4233.35,43.18
95,260,2783.25,6001.1,34.29
95,240,2808.86,6021.13,34.57
95,220,2826.92,6054.88,34.74
95,200,2829.62,6107.97,34.85
95,180,2798.29,5974.75,34.88
95,160,2895.86,5501.64,35.71
95,140,2980.01,5037.62,37.17
95,120,3209.66,4635.21,39.56
95,100,3465.35,4244.09,43.21
90,260,2644.67,6016.61,34.61
90,240,2669.46,6158.78,34.52
90,220,2662.94,6267.13,34.57
90,200,2673.65,6299.72,34.57
90,180,2694.85,5982.99,34.8
90,160,2732.85,5502.35,35.87
90,140,2882.04,5050.46,37.25
90,120,3029.87,4601.97,39.18
90,100,3323.57,4233.49,42.93
85,260,2534.11,6015.64,34.45
85,240,2528.49,6141.59,34.52
85,220,2551.1,6283.93,34.65
85,200,2544.63,6264.73,34.56
85,180,2574.25,5998.98,34.97
85,160,2630.77,5502.09,35.71
85,140,2740.06,5057.96,37.22
85,120,2886.29,4616.1,39.27
85,100,3148.48,4249.61,43.24
80,260,2378.95,6002.55,34.55
80,240,2393.27,6189.11,34.64
80,220,2399.09,6283.93,34.76
80,200,2405.27,6298.74,34.84
80,180,2414.77,5986.31,34.84
80,160,2470.99,5524.33,35.87
80,140,2589.9,5082.28,37.43
80,120,2716.08,4596.63,39.18
80,100,2963.19,4218.64,42.95
75,260,2234.98,5969.54,34.37
75,240,2256.1,6168.27,34.69
75,220,2260.49,6230.05,34.81
75,200,2264.61,6252.28,34.77
75,180,2366.91,5997.84,35.05
75,160,2256.29,5488.39,35.9
75,140,2421.3,5062.51,37.26
75,120,2669.3,4641.09,39.51
75,100,2715.85,4223.91,43.05
70,260,2090.13,6012.85,34.67
70,240,2153.16,6169.15,34.94
70,220,2098.28,6223.48,34.78
70,200,2141.08,6269.55,34.95
70,180,2115.88,5986.37,35.09
70,160,2158.46,5488.74,35.94
70,140,2250.6,5066.62,37.39
70,120,2394.56,4647.17,39.68
70,100,2592.6,4209.78,43.14
65,260,2031.25,6007.94,34.91
65,240,2039.45,6178.7,35.06
65,220,2038.02,6255.68,35.01
65,200,2045.1,6290.8,35.13
65,180,2052.6,6014.68,35.27
65,160,2171.64,5536.5,36.17
65,140,2262.08,5094.08,37.71
65,120,2318.98,4640.12,39.8
65,100,2594.06,4210.43,43.21
