CPU Cap (W),GPU Cap (W),Runtime (s)
65,100,68.50664854049683
65,120,68.36168169975281
65,140,68.36240148544312
65,160,68.44066882133484
65,180,67.89232087135315
65,200,68.03989958763123
65,220,68.43878126144409
65,240,68.23891758918762
65,260,69.04195952415466
70,100,58.27065658569336
70,120,61.26632356643677
70,140,58.573375940322876
70,160,60.376668214797974
70,180,58.41340470314026
70,200,58.08112168312073
70,220,60.34891629219055
70,240,59.95405054092407
70,260,59.3136682510376
75,100,51.348570585250854
75,120,51.36281943321228
75,140,52.72884941101074
75,160,52.03426194190979
75,180,52.32051920890808
75,200,51.558908224105835
75,220,51.55248212814331
75,240,52.23278594017029
75,260,51.4869601726532
80,100,48.859779834747314
80,120,48.05324053764343
80,140,48.56748008728027
80,160,48.300936698913574
80,180,47.73363900184631
80,200,48.51805520057678
80,220,48.28859353065491
80,240,48.017714500427246
80,260,48.45824193954468
85,100,46.98955202102661
85,120,46.44396448135376
85,140,47.05438542366028
85,160,47.39657664299011
85,180,46.930559396743774
85,200,46.83237314224243
85,220,46.69078016281128
85,240,46.22487497329712
85,260,46.789466381073
90,100,45.746044397354126
90,120,45.27970552444458
90,140,45.283727169036865
90,160,45.307411193847656
90,180,45.689300537109375
90,200,44.97461819648743
90,220,45.722900390625
90,240,46.199408531188965
90,260,45.49565768241882
95,100,43.97151017189026
95,120,44.36342144012451
95,140,43.874837160110474
95,160,44.934582471847534
95,180,44.39788198471069
95,200,44.622795820236206
95,220,44.522690534591675
95,240,43.47263431549072
95,260,43.64874601364136
100,100,42.06708216667175
100,120,42.55952525138855
100,140,42.07839632034302
100,160,42.75631666183472
100,180,43.414910316467285
100,200,42.40216541290283
100,220,42.1028835773468
100,240,42.54219150543213
100,260,41.99082612991333
105,100,39.33033323287964
105,120,39.49603819847107
105,140,39.412150621414185
105,160,40.09579348564148
105,180,39.8024640083313
105,200,39.3707013130188
105,220,39.243313789367676
105,240,39.08727192878723
105,260,40.0002715587616
110,100,38.97293472290039
110,120,38.65111804008484
110,140,38.99958419799805
110,160,38.65223288536072
110,180,38.57177519798279
110,200,38.812702655792236
110,220,39.25033497810364
110,240,38.607017993927
110,260,38.65079689025879
115,100,37.53059005737305
115,120,37.407875299453735
115,140,38.05475354194641
115,160,37.43356108665466
115,180,37.4563250541687
115,200,37.46654200553894
115,220,37.561384439468384
115,240,37.4932975769043
115,260,37.6993887424469
120,100,37.062564849853516
120,120,37.503716707229614
120,140,36.98072147369385
120,160,36.90348529815674
120,180,36.87590551376343
120,200,36.92886829376221
120,220,36.98172116279602
120,240,36.919559717178345
120,260,36.94737482070923
125,100,36.757779359817505
125,120,37.27710461616516
125,140,37.2421133518219
125,160,36.70310711860657
125,180,36.75760269165039
125,200,36.720815658569336
125,220,36.64279842376709
125,240,37.15187168121338
125,260,36.67005753517151
