CPU Cap (W),GPU Cap (W),Runtime (s)
65,100,43.37329697608948
65,120,42.62705898284912
65,140,42.31986713409424
65,160,42.12792658805847
65,180,42.10434818267822
65,200,41.90155506134033
65,220,42.2867112159729
65,240,41.87691307067871
65,260,42.51691222190857
70,100,39.48727560043335
70,120,38.61864352226257
70,140,37.70707726478577
70,160,36.90158653259277
70,180,37.980342626571655
70,200,39.25582432746887
70,220,37.73344802856445
70,240,37.103341579437256
70,260,36.31910228729248
75,100,32.960137605667114
75,120,33.08814764022827
75,140,33.23099207878113
75,160,32.80936574935913
75,180,32.6086585521698
75,200,32.59890079498291
75,220,32.788898944854736
75,240,33.787612438201904
75,260,33.4666063785553
80,100,33.546525955200195
80,120,32.93060231208801
80,140,32.07425928115845
80,160,31.05191683769226
80,180,31.394902229309082
80,200,31.60083031654358
80,220,31.138283491134644
80,240,33.53601622581482
80,260,32.10584592819214
85,100,33.896159172058105
85,120,32.02988338470459
85,140,33.103965282440186
85,160,32.40205430984497
85,180,32.98404407501221
85,200,31.416080236434937
85,220,31.724247217178345
85,240,32.548494815826416
85,260,32.03099775314331
90,100,33.520580768585205
90,120,31.967838048934937
90,140,32.31771373748779
90,160,31.71973752975464
90,180,33.07273244857788
90,200,32.28253388404846
90,220,31.541538953781128
90,240,31.85108232498169
90,260,32.32931065559387
95,100,30.591431379318237
95,120,31.260872840881348
95,140,28.310412406921387
95,160,29.471370458602905
95,180,29.71962070465088
95,200,28.75967836380005
95,220,29.077293157577515
95,240,29.098777532577515
95,260,28.91116690635681
100,100,28.70762801170349
100,120,28.470786094665527
100,140,27.72799515724182
100,160,27.851691246032715
100,180,28.737718105316162
100,200,27.140578746795654
100,220,27.431267738342285
100,240,27.494843006134033
100,260,27.040379524230957
105,100,27.295655488967896
105,120,26.25183939933777
105,140,26.03729009628296
105,160,25.911521673202515
105,180,26.187612771987915
105,200,25.397827863693237
105,220,26.18704891204834
105,240,26.020668983459473
105,260,26.081209421157837
110,100,25.809142351150513
110,120,25.362515449523926
110,140,25.308048486709595
110,160,25.029781579971313
110,180,25.18037176132202
110,200,24.876182317733765
110,220,24.92711091041565
110,240,25.115329027175903
110,260,26.337281227111816
115,100,25.38157320022583
115,120,25.117929935455322
115,140,24.899112462997437
115,160,24.820159435272217
115,180,24.672213792800903
115,200,24.670568704605103
115,220,24.66705298423767
115,240,24.659462213516235
115,260,24.697999715805054
120,100,25.351887941360474
120,120,25.01710796356201
120,140,24.85471248626709
120,160,24.79567861557007
120,180,24.56259036064148
120,200,24.642219305038452
120,220,24.65704584121704
120,240,24.62476634979248
120,260,24.6484317779541
125,100,25.284912586212158
125,120,25.0258526802063
125,140,24.875158309936523
125,160,24.747326850891113
125,180,24.67170476913452
125,200,24.67134189605713
125,220,24.68032169342041
125,240,24.667803049087524
125,260,24.676403284072876
