CPU Cap (W),GPU Cap (W),CPU_E (J),GPU_E (J),Runtime (s)
90,100,305.07,204.61,3.94
85,260,301.93,212.78,4.11
85,240,317.13,221.41,4.39
85,220,363.5,257.5,4.97
85,200,302.56,211.62,4.11
85,180,309.18,211.68,4.19
85,160,326.57,220.36,4.44
85,140,326.31,219.08,4.43
85,120,309.69,221.38,4.19
85,100,315.43,215.52,4.22
80,260,302.44,217.98,4.36
80,240,314.7,237.39,4.52
80,220,328.11,239.62,4.69
80,200,333.68,244.81,4.75
80,180,315.98,230.9,4.51
80,160,328.84,234.71,4.64
80,140,320.06,235.94,4.57
80,120,313.66,227.58,4.52
80,100,344.73,259.73,4.97
75,260,348.63,270.76,5.3
75,240,353.04,281.29,5.42
75,220,341.79,267.67,5.21
75,200,316.29,247.1,4.82
75,180,347.75,272.93,5.29
75,160,352.89,274.34,5.4
75,140,357.9,283.67,5.47
75,120,353.92,274.14,5.4
75,100,343.37,268.81,5.24
70,260,326.66,270.08,5.34
70,240,355.37,298.76,5.84
70,220,344.06,286.25,5.6
70,200,362.29,300.7,5.91
70,180,363.27,311.59,5.97
70,160,311.41,260.45,5.06
70,140,349.63,291.98,5.7
70,120,367.04,309.25,5.98
70,100,331.7,271.21,5.38
65,260,382.7,344.48,6.56
65,240,378.51,342.83,6.54
65,220,380.01,334.77,6.49
65,200,379.16,335.69,6.52
65,180,378.77,334.21,6.52
65,160,378.43,340.35,6.49
65,140,378.48,343.13,6.63
65,120,380.38,337.19,6.56
65,100,380.06,332.61,6.51
