CPU Cap (W),GPU Cap (W),Runtime (s)
65,100,53.864126205444336
65,120,50.506619691848755
65,140,49.20199942588806
65,160,48.68510437011719
65,180,48.525344133377075
65,200,48.460350036621094
65,220,48.47071838378906
65,240,48.49142336845398
65,260,48.47623872756958
70,100,55.130516052246094
70,120,50.70052194595337
70,140,49.207512855529785
70,160,48.675644397735596
70,180,48.466963052749634
70,200,48.40156888961792
70,220,48.441579818725586
70,240,48.435039043426514
70,260,48.455923557281494
75,100,54.97130608558655
75,120,50.6723256111145
75,140,49.1871771812439
75,160,48.643715620040894
75,180,48.44542980194092
75,200,48.40074110031128
75,220,48.404470443725586
75,240,48.42435121536255
75,260,48.44095540046692
80,100,55.00565552711487
80,120,50.6149423122406
80,140,49.17065072059631
80,160,48.64948534965515
80,180,48.42033004760742
80,200,48.39915490150452
80,220,48.3916494846344
80,240,48.38915681838989
80,260,48.39498782157898
85,100,54.94213366508484
85,120,50.62036347389221
85,140,49.17838716506958
85,160,48.62807321548462
85,180,48.44712805747986
85,200,48.37725329399109
85,220,48.38177490234375
85,240,48.37236547470093
85,260,48.37042808532715
90,100,55.01372289657593
90,120,50.625736236572266
90,140,49.15947103500366
90,160,48.62429094314575
90,180,48.426048278808594
90,200,48.36433935165405
90,220,48.37345576286316
90,240,48.376243352890015
90,260,48.376245737075806
95,100,55.11061978340149
95,120,50.64390325546265
95,140,49.18830490112305
95,160,48.61790060997009
95,180,48.431172132492065
95,200,48.365002393722534
95,220,48.354780197143555
95,240,48.3711473941803
95,260,48.352039098739624
100,100,55.03234910964966
100,120,50.660080671310425
100,140,49.16174268722534
100,160,48.63744521141052
100,180,48.43197703361511
100,200,48.34748959541321
100,220,48.36839580535889
100,240,48.37376379966736
100,260,48.35212302207947
105,100,55.02903127670288
105,120,50.633992433547974
105,140,49.1510009765625
105,160,48.61396837234497
105,180,48.418205976486206
105,200,48.37708640098572
105,220,48.37260174751282
105,240,48.36228275299072
105,260,48.35604524612427
110,100,55.24831986427307
110,120,50.664267778396606
110,140,49.19244170188904
110,160,48.634624004364014
110,180,48.41789102554321
110,200,48.37093210220337
110,220,48.347222328186035
110,240,48.35895776748657
110,260,48.37421703338623
115,100,55.16366195678711
115,120,50.670612812042236
115,140,49.19820833206177
115,160,48.63059210777283
115,180,48.416189670562744
115,200,48.36365795135498
115,220,48.36192178726196
115,240,48.370840072631836
115,260,48.36227059364319
120,100,55.238170862197876
120,120,50.67192554473877
120,140,49.18620491027832
120,160,48.62314033508301
120,180,48.41449785232544
120,200,48.36880040168762
120,220,48.3797242641449
120,240,48.35956788063049
120,260,48.35001039505005
125,100,55.19288873672485
125,120,50.673654317855835
125,140,49.182514905929565
125,160,48.61349034309387
125,180,48.43003845214844
125,200,48.36152195930481
125,220,48.353434324264526
125,240,48.35527515411377
125,260,48.368356704711914
