CPU Cap (W),GPU Cap (W),Runtime (s)
65,100,37.189674615859985
65,120,33.45872974395752
65,140,32.17573809623718
65,160,32.310213565826416
65,180,30.845343828201294
65,200,30.989459991455078
65,220,30.444305419921875
65,240,29.879862785339355
65,260,29.830242156982422
70,100,36.27544569969177
70,120,31.349674701690674
70,140,31.064828634262085
70,160,28.407286882400513
70,180,30.24785828590393
70,200,30.512040853500366
70,220,28.38892960548401
70,240,28.544494152069092
70,260,28.666284322738647
75,100,33.83630967140198
75,120,32.152503490448
75,140,30.40758228302002
75,160,26.49248194694519
75,180,27.199962615966797
75,200,28.046391487121582
75,220,26.429872751235962
75,240,28.08183765411377
75,260,25.214533805847168
80,100,31.627910375595093
80,120,28.419817686080933
80,140,26.157471895217896
80,160,25.438453912734985
80,180,25.12385082244873
80,200,24.843160152435303
