CPU Cap (W),GPU Cap (W),CPU_E (J),GPU_E (J),Runtime (s)
105,260,1277.06,3439.29,14.44
105,240,1277.99,3302.61,14.48
105,220,1281.96,3086.5,14.58
105,200,1292.84,2794.49,14.53
105,180,1297.78,2529.65,14.56
105,160,1316.84,2287.95,14.84
105,140,1359.56,2074.62,15.29
105,120,1441.91,1901.03,16.35
105,100,2025.02,2230.49,22.72
100,260,1228.84,3509.61,14.49
100,240,1224.43,3319.27,14.45
100,220,1240.36,3064.8,14.54
100,200,1251.28,2797.9,14.6
100,180,1253.96,2544.86,14.74
100,160,1253.85,2280.68,14.78
100,140,1309.46,2080.86,15.38
100,120,1412.74,1924.58,16.57
100,100,1898.31,2178.03,22.2
95,260,1189.67,3504.69,14.6
95,240,1180.91,3323.38,14.51
95,220,1179.85,3079.57,14.65
95,200,1183.3,2809.0,14.68
95,180,1187.85,2555.45,14.71
95,160,1234.86,2305.39,14.94
95,140,1233.18,2052.49,15.24
95,120,1337.03,1910.32,16.43
95,100,1861.8,2244.1,22.94
90,260,1118.55,3500.99,14.58
90,240,1132.51,3326.94,14.52
90,220,1132.18,3088.52,14.61
90,200,1121.46,2789.12,14.53
90,180,1132.66,2534.89,14.71
90,160,1154.31,2307.23,14.95
90,140,1177.92,2055.12,15.23
90,120,1269.05,1913.13,16.5
90,100,1753.99,2208.43,22.67
85,260,1051.53,3512.79,14.5
85,240,1071.53,3314.65,14.51
85,220,1054.27,3060.45,14.51
85,200,1063.74,2768.72,14.52
85,180,1087.79,2548.82,14.77
85,160,1096.08,2266.34,14.81
85,140,1112.65,2052.29,15.2
85,120,1200.78,1896.87,16.46
85,100,1668.31,2220.93,22.79
80,260,997.16,3512.48,14.46
80,240,984.42,3301.39,14.38
80,220,1010.37,3069.59,14.56
80,200,1012.37,2810.12,14.59
80,180,1025.57,2552.93,14.77
80,160,1023.79,2285.25,14.87
80,140,1056.4,2073.45,15.31
80,120,1141.6,1906.84,16.46
80,100,1552.34,2210.77,22.67
75,260,949.39,3521.07,14.6
75,240,944.09,3297.77,14.49
75,220,947.9,3081.78,14.61
75,200,932.41,2801.01,14.71
75,180,955.66,2539.2,14.64
75,160,978.89,2299.27,15.02
75,140,1001.94,2048.92,15.35
75,120,1045.1,1888.72,16.39
75,100,1433.98,2192.29,22.56
70,260,892.21,3539.25,14.73
70,240,899.82,3323.26,14.72
70,220,891.32,3041.42,14.59
70,200,884.66,2799.4,14.71
70,180,907.4,2565.69,14.93
70,160,903.28,2293.53,14.94
70,140,932.72,2074.66,15.51
70,120,991.1,1901.09,16.52
70,100,1365.7,2197.22,22.63
65,260,848.13,3500.5,14.6
65,240,855.63,3309.88,14.68
65,220,868.24,3055.85,14.71
65,200,866.41,2809.89,14.79
