CPU Cap (W),GPU Cap (W),CPU_E (J),GPU_E (J),Runtime (s)
105,260,3506.13,3460.25,39.41
105,240,3479.74,3315.73,38.8
105,220,3504.89,3298.36,39.11
105,200,3514.7,3349.64,39.24
105,180,3529.46,3360.12,39.4
105,160,3529.66,3328.29,39.41
105,140,3519.46,3318.97,39.33
105,120,3566.72,3272.53,39.82
105,100,3574.45,3287.49,40.17
100,260,3434.28,3443.39,40.0
100,240,3434.82,3431.63,40.05
100,220,3447.06,3458.03,40.17
100,200,3391.63,3403.7,39.75
100,180,3465.48,3421.79,40.4
100,160,3472.39,3399.88,40.37
100,140,3400.27,3336.63,39.74
100,120,3457.74,3321.93,40.31
100,100,3456.15,3319.44,40.23
95,260,3437.13,3637.73,42.0
95,240,3446.21,3582.5,42.11
95,220,3426.98,3605.02,41.89
95,200,3458.02,3519.43,42.22
95,180,3440.62,3537.75,41.97
95,160,3475.58,3573.36,42.34
95,140,3446.86,3443.39,42.04
95,120,3389.42,3447.81,41.33
95,100,3155.7,3128.67,37.86
90,260,-258674.12,3762.35,44.19
90,240,3448.6,3729.59,43.85
90,220,3417.82,3700.61,43.59
90,200,3470.45,3732.89,44.18
90,180,3486.11,3751.53,44.45
90,160,3442.54,3700.55,43.93
90,140,3425.62,3647.92,43.64
90,120,3427.33,3604.46,43.76
90,100,3440.7,3587.44,43.95
85,260,3409.49,3807.08,45.29
85,240,3384.13,3791.63,44.87
85,220,3386.04,3797.48,45.0
85,200,3404.34,3811.32,45.19
85,180,3427.01,3808.08,45.42
85,160,3411.2,3787.49,45.3
85,140,3354.45,3676.66,44.47
85,120,3129.67,3415.56,41.37
85,100,3406.55,3698.05,45.18
80,260,3489.53,4108.54,48.59
80,240,3500.46,4106.47,48.87
80,220,3493.34,4083.4,48.65
80,200,3084.48,3641.8,42.98
80,180,3498.6,4081.1,48.84
80,160,3542.33,4118.74,49.47
80,140,3516.44,4049.95,49.04
80,120,3501.02,3989.48,48.86
80,100,3490.94,3971.29,48.74
75,260,3574.46,4432.11,52.95
75,240,3584.22,4453.64,53.06
75,220,3600.27,4447.44,53.31
75,200,3611.24,4374.79,53.45
75,180,3599.77,4453.16,53.31
75,160,3608.29,4441.73,53.46
75,140,3729.74,4563.29,55.26
75,120,3599.65,4370.17,53.28
75,100,3034.73,3599.4,44.52
70,260,-258254.22,5125.36,61.94
70,240,3859.55,5068.07,61.42
70,220,3885.61,5128.9,61.97
70,200,3872.42,5088.69,61.65
70,180,3834.3,5045.68,61.02
70,160,3839.42,5008.92,61.09
70,140,3825.64,4959.99,60.86
70,120,3925.16,5108.86,62.63
70,100,3854.99,4967.01,61.42
65,260,4395.34,5991.6,74.13
65,240,4398.43,6048.57,74.16
65,220,4390.57,6071.68,74.0
65,200,4398.1,6032.28,74.15
65,180,4415.85,6041.37,74.43
65,160,4388.95,5971.59,74.05
65,140,4390.46,5975.26,74.08
65,120,4361.17,5825.36,73.52
65,100,3522.49,4691.46,58.32
105,260,3472.17,3358.8,38.8
105,240,3432.32,3327.44,38.36
105,220,3445.58,3340.45,38.63
105,200,3439.6,3259.83,38.44
105,180,3436.03,3290.44,38.41
105,160,3439.02,3237.16,38.44
105,140,3456.35,3309.36,38.94
105,120,3440.62,3232.71,38.45
105,100,3423.15,3149.89,38.29
100,260,3384.55,3390.6,39.51
100,240,3427.52,3427.25,40.15
100,220,3406.77,3371.28,39.82
100,200,3393.39,3391.97,39.63
100,180,3424.37,3396.94,39.97
100,160,3416.54,3341.14,39.87
100,140,3363.85,3317.74,39.42
100,120,3419.74,3259.78,39.96
100,100,3408.42,3260.16,39.77
95,260,3398.78,3566.99,41.59
95,240,-258745.7,3566.04,41.5
95,220,3369.58,3520.09,41.15
95,200,3368.12,3503.27,41.19
95,180,3379.79,3496.61,41.29
95,160,3399.43,3567.27,41.53
95,140,3394.6,3491.08,41.46
95,120,3414.96,3405.12,41.61
95,100,3411.04,3480.99,42.08
90,260,3454.26,3708.24,44.09
90,240,3379.55,3676.33,42.65
90,220,3447.94,3722.86,43.93
90,200,3435.38,3721.19,43.76
90,180,3450.22,3691.66,44.0
90,160,3363.98,3564.37,42.89
90,140,3424.09,3638.6,43.66
90,120,3391.6,3645.08,43.23
90,100,3426.68,3587.31,43.75
85,260,3372.97,3811.08,44.83
85,240,3388.75,3826.48,45.0
85,220,3124.99,3496.35,41.39
85,200,3334.05,3756.47,44.31
85,180,3329.27,3721.73,44.22
85,160,3364.06,3733.65,44.64
85,140,3374.93,3749.03,44.85
85,120,3427.36,3799.81,45.87
85,100,3364.73,3663.29,44.62
80,260,3440.33,4140.94,48.04
80,240,3456.3,4087.38,48.33
80,220,3136.17,3725.45,43.51
80,200,3479.54,4086.86,48.59
80,180,3475.31,4063.85,48.43
80,160,3482.7,4056.34,48.61
80,140,3494.37,4086.44,48.94
80,120,3031.77,3510.27,42.06
80,100,3480.24,3984.28,48.55
75,260,3599.4,4443.99,53.59
75,240,3590.2,4471.22,53.07
75,220,3571.84,4418.77,52.95
75,200,3664.21,4616.92,55.16
75,180,3565.26,4406.44,52.89
75,160,3581.33,4364.07,53.13
75,140,3611.85,4443.41,53.73
75,120,3587.06,4406.14,53.29
75,100,3591.85,4348.53,53.28
70,260,3529.69,4602.8,55.69
70,240,3839.41,5098.73,61.06
70,220,3900.53,5175.96,62.22
70,200,3899.5,5138.15,62.25
70,180,3942.19,5136.57,62.96
70,160,3825.24,5005.67,60.87
70,140,3912.5,5102.15,62.39
70,120,3828.86,4984.37,61.0
70,100,-258286.27,4969.3,61.54
65,260,3426.03,4714.25,56.67
65,240,4383.63,6064.69,73.95
65,220,4384.43,5998.85,73.92
65,200,4369.64,6018.22,73.58
65,180,4376.46,6060.94,73.83
65,160,4385.07,5988.87,74.0
65,140,3448.97,4695.27,57.04
65,120,4374.37,5915.38,73.73
65,100,4356.13,5828.05,73.44
105,260,3526.28,3434.56,39.47
105,240,-258705.81,3291.08,38.54
105,220,3450.44,3300.93,38.68
105,200,3455.04,3323.31,38.72
105,180,3466.79,3343.5,38.86
105,160,3479.29,3305.0,38.98
105,140,3471.54,3258.09,38.92
105,120,3123.15,2879.63,34.49
105,100,3475.74,3204.32,38.93
100,260,3403.07,3405.76,39.79
100,240,3440.71,3462.73,40.25
100,220,3441.97,3486.98,40.21
100,200,3412.83,3440.26,39.88
100,180,3373.7,3354.1,39.43
100,160,3401.94,3341.38,39.77
100,140,3395.68,3305.8,39.61
100,120,3436.08,3352.99,40.17
100,100,3437.2,3297.57,40.15
95,260,3408.35,3545.63,41.63
95,240,3400.83,3528.62,41.67
95,220,3401.98,3490.59,41.62
95,200,3391.26,3503.03,41.5
95,180,3418.73,3547.51,41.8
95,160,3399.6,3499.91,41.6
95,140,3422.91,3482.31,41.8
95,120,3132.08,3146.85,37.59
95,100,3408.05,3383.54,41.62
90,260,3461.22,3751.87,44.25
90,240,3437.77,3749.27,43.9
90,220,3450.09,3729.71,44.05
90,200,3454.07,3752.76,44.13
90,180,3390.73,3656.18,43.31
90,160,3388.15,3603.29,43.18
90,140,3427.4,3643.9,43.72
90,120,3425.54,3628.64,43.67
90,100,3460.99,3665.17,44.61
85,260,3386.58,3805.91,45.06
85,240,3433.08,3846.87,45.63
85,220,3358.56,3781.96,44.66
85,200,3147.91,3566.31,41.71
85,180,3380.61,3800.37,45.41
85,160,3452.03,3900.04,46.39
85,140,3365.18,3720.92,44.68
85,120,3193.06,3482.32,42.21
85,100,3406.0,3689.89,45.27
80,260,3462.11,4087.32,48.46
80,240,3485.41,4097.29,48.79
80,220,3498.95,4131.22,49.05
80,200,3494.78,4122.76,48.87
80,180,3510.09,4106.61,49.13
80,160,3480.91,4051.7,48.55
80,140,3538.41,4102.36,49.66
80,120,3494.97,3978.95,48.78
80,100,3524.17,4020.11,49.31
75,260,3573.04,4453.89,53.01
75,240,3587.64,4480.8,53.19
75,220,3714.41,4650.98,56.09
75,200,3028.13,3740.13,44.4
75,180,3573.01,4409.93,52.95
75,160,3591.48,4399.18,53.12
75,140,3591.15,4347.55,53.16
75,120,3574.45,4302.79,52.9
75,100,3587.61,4321.66,53.14
70,260,3884.92,5128.34,62.0
70,240,3849.67,5113.24,61.34
70,220,3932.78,5209.15,62.83
70,200,3898.05,5108.36,62.2
70,180,3819.98,5001.12,60.87
70,160,3911.77,5085.08,62.5
70,140,3900.3,5065.61,62.31
70,120,3895.81,5052.97,62.1
70,100,3875.15,4993.46,61.74
65,260,4340.97,5925.23,73.2
65,240,4352.89,6002.84,73.41
65,220,3518.67,4844.5,58.33
65,200,4333.05,5965.68,73.05
65,180,3419.94,4660.26,56.59
65,160,4348.17,5937.6,73.31
65,140,4343.82,5896.59,73.29
65,120,4312.11,5867.8,72.74
65,100,4326.46,5827.56,72.95
