CPU Cap (W),GPU Cap (W),Runtime (s)
65,100,43.19864583015442
65,120,38.75545001029968
65,140,36.68071532249451
65,160,35.53851246833801
65,180,34.695398569107056
65,200,34.390655279159546
65,220,34.45313787460327
65,240,34.32017683982849
65,260,34.68542671203613
70,100,44.34436273574829
70,120,39.21857833862305
70,140,36.84707045555115
70,160,35.4943323135376
70,180,34.705840826034546
70,200,34.26958394050598
70,220,34.43432140350342
70,240,34.5651421546936
70,260,34.5531051158905
75,100,44.16632270812988
75,120,39.22738242149353
75,140,36.55070376396179
75,160,35.31810760498047
75,180,34.64410924911499
75,200,34.31375217437744
75,220,34.135658502578735
75,240,34.27383828163147
75,260,34.303818225860596
80,100,44.05057764053345
80,120,38.839165925979614
80,140,36.67269682884216
80,160,35.15679335594177
80,180,34.5796422958374
80,200,34.1082763671875
80,220,34.24362826347351
80,240,34.319390058517456
80,260,34.401413440704346
85,100,43.97732424736023
85,120,39.06457567214966
85,140,36.70069098472595
85,160,35.24057126045227
85,180,34.48329496383667
85,200,34.15048003196716
85,220,34.20916032791138
85,240,34.30208492279053
85,260,34.100491523742676
90,100,44.067938566207886
90,120,38.7810480594635
90,140,36.6929874420166
90,160,35.40542268753052
90,180,34.38185524940491
90,200,34.04933834075928
90,220,34.22035813331604
90,240,34.393975257873535
90,260,34.20070457458496
95,100,43.88356685638428
95,120,38.889835357666016
95,140,36.6085147857666
95,160,35.135621547698975
95,180,34.55054831504822
95,200,34.0283420085907
95,220,34.214261293411255
95,240,34.134506702423096
95,260,34.199236154556274
100,100,43.88277864456177
100,120,39.03185725212097
100,140,36.59951901435852
100,160,35.0701687335968
100,180,34.20483946800232
100,200,34.12239933013916
100,220,34.177040100097656
100,240,34.29031205177307
100,260,34.3286612033844
105,100,44.03457951545715
105,120,38.87288999557495
105,140,36.574846267700195
105,160,35.20366144180298
105,180,34.37495827674866
105,200,33.9573872089386
105,220,34.17699861526489
105,240,34.292720079422
105,260,34.20536279678345
110,100,44.086565017700195
110,120,38.962605714797974
110,140,36.6862096786499
