Time (s),GPU 0 Power (W),GPU 1 Power (W),GPU 2 Power (W),GPU 3 Power (W)
0.10018324851989746,60.38,53.29,53.32,54.21
0.3072695732116699,60.24,53.38,53.0,54.09
0.519324541091919,60.27,53.29,53.21,54.11
0.692084550857544,60.27,53.29,53.0,54.21
0.8571674823760986,60.26,53.39,53.21,54.11
1.0243768692016602,60.23,53.36,52.97,54.19
1.2359650135040283,60.13,53.36,53.17,54.19
1.424924373626709,60.27,53.3,53.0,54.21
1.5984408855438232,60.17,53.39,53.0,54.21
1.776536226272583,60.1,53.46,53.17,54.17
1.9488749504089355,60.16,53.4,52.99,54.2
2.118765115737915,60.08,53.39,53.2,54.11
2.2865097522735596,60.06,53.4,52.99,54.1
2.462693691253662,60.08,53.19,53.0,54.11
2.6335232257843018,60.17,53.29,53.21,54.11
2.811791181564331,59.98,53.19,53.21,54.01
2.9916799068450928,59.98,53.19,52.81,54.11
3.164766311645508,59.98,53.29,53.32,54.01
3.3754336833953857,59.99,53.39,52.9,54.11
3.571305751800537,59.89,53.39,53.21,54.11
3.753873586654663,59.99,53.29,53.0,54.11
3.929020881652832,59.99,53.29,53.31,54.11
4.108745574951172,59.88,53.29,52.9,54.21
4.296241044998169,59.89,53.39,53.11,54.21
4.5155112743377686,59.89,53.39,53.0,54.11
4.690013408660889,59.89,53.39,53.21,54.11
4.87459659576416,59.8,53.39,53.0,54.11
5.074757814407349,59.8,53.19,53.21,54.11
5.253793478012085,59.89,53.29,53.11,54.11
5.434770107269287,59.8,53.39,53.21,54.11
5.624996185302734,59.8,53.39,53.21,54.11
5.803054332733154,59.7,53.19,52.9,54.11
5.983243227005005,59.8,53.1,53.21,54.21
6.181970119476318,59.8,53.29,53.0,54.01
6.382917881011963,59.64,53.17,52.97,54.17
6.5847320556640625,59.68,53.26,53.28,54.05
6.766459941864014,59.75,53.27,52.97,54.09
6.947106838226318,59.69,53.35,53.06,54.15
7.1453471183776855,59.54,53.27,52.97,54.08
7.3295676708221436,59.75,53.36,52.87,54.19
7.508493185043335,59.54,53.38,53.17,53.99
7.693256139755249,59.51,53.26,52.87,54.08
7.868553638458252,59.67,53.29,53.2,54.01
8.049401760101318,59.56,53.19,52.98,54.11
8.220289945602417,59.58,53.29,52.88,54.11
8.39100956916809,59.48,53.19,52.97,54.09
8.57385516166687,59.54,53.27,53.17,54.09
8.758392810821533,59.54,53.27,52.87,54.19
8.936108350753784,59.65,53.28,53.28,54.09
9.140726566314697,59.54,53.27,52.97,54.09
9.332639932632446,59.45,53.36,53.17,54.09
9.529535293579102,59.51,53.17,52.97,54.17
9.70254898071289,59.36,53.38,53.17,54.09
9.877671480178833,59.43,53.27,52.99,54.19
10.060687780380249,59.34,53.47,53.06,54.19
10.247668027877808,59.43,53.36,52.87,54.19
10.441264867782593,59.38,53.29,53.1,54.11
10.6126127243042,59.37,53.19,53.0,54.11
10.78654956817627,59.58,53.29,53.21,54.21
10.954122543334961,59.37,53.19,53.21,54.11
11.128798961639404,59.38,53.29,52.99,54.11
11.295616626739502,59.27,53.29,53.21,54.11
11.491145610809326,59.3,53.19,52.9,54.11
11.688092947006226,59.2,53.29,53.21,54.11
11.863454341888428,59.3,53.19,53.0,54.21
12.045663118362427,59.1,53.19,53.11,54.11
12.217058181762695,59.3,53.19,53.0,54.01
12.394859075546265,59.3,53.19,53.11,54.11
12.597805500030518,59.3,53.19,53.0,54.11
12.789846181869507,59.3,53.19,53.11,54.21
12.968343496322632,59.3,53.39,53.21,54.11
13.146933555603027,59.3,53.19,52.9,54.11
13.318851232528687,59.2,53.39,53.1,54.11
13.511329889297485,59.1,53.29,53.0,54.11
13.691114902496338,59.2,53.21,53.21,54.11
13.86449933052063,59.2,53.29,53.32,54.21
14.063035488128662,59.2,53.19,52.81,54.01
14.243331909179688,59.1,53.29,52.9,54.11
14.435788869857788,59.2,53.29,52.9,54.01
14.611876487731934,59.1,53.3,53.0,54.11
14.786025285720825,59.23,53.27,52.97,53.98
14.99066424369812,59.05,53.17,52.87,54.09
15.169108867645264,59.05,53.27,53.19,54.19
15.354787349700928,59.03,53.26,52.97,54.08
15.535603046417236,59.08,53.38,52.99,54.11
15.71350622177124,59.17,53.29,52.9,54.2
15.887863874435425,59.09,53.39,52.87,54.09
16.055994987487793,58.94,53.29,52.97,54.08
16.237568140029907,59.05,53.27,53.17,54.09
16.418324947357178,58.96,53.27,52.97,54.09
16.613073110580444,59.04,53.17,53.14,54.07
16.825978994369507,58.86,53.28,52.97,54.08
17.000556707382202,59.05,53.28,53.28,54.19
17.18437671661377,58.96,53.27,53.17,54.09
17.374335050582886,58.96,53.27,52.87,54.26
17.57934331893921,58.96,53.46,53.08,54.28
17.77371644973755,58.9,53.27,53.06,54.09
17.953777551651,58.76,53.17,52.87,54.09
18.139761447906494,58.76,53.27,53.17,54.09
18.32136297225952,58.74,53.27,52.86,54.16
18.513890981674194,58.96,53.28,53.17,54.09
18.687353372573853,58.69,53.27,52.99,54.0
18.87147068977356,58.76,53.27,53.17,54.09
19.056703329086304,58.66,53.28,52.97,54.09
19.233570337295532,58.71,53.37,53.17,54.08
19.423390865325928,58.85,53.28,52.97,54.17
19.608993530273438,58.66,53.17,52.87,54.09
19.79266595840454,58.76,53.18,53.17,54.09
19.979246377944946,58.76,53.38,52.87,53.99
20.161779642105103,58.72,53.27,53.17,54.08
20.33922839164734,58.69,53.29,52.9,54.11
20.5254008769989,58.76,53.28,53.08,54.18
20.707504987716675,58.66,53.27,52.97,54.09
20.89305591583252,58.55,53.27,53.17,54.09
21.078795671463013,58.74,53.16,53.08,54.08
21.257728576660156,58.55,53.27,53.17,54.08
21.44096875190735,58.65,53.19,52.97,54.19
21.629660606384277,58.76,53.27,53.08,54.09
21.8173348903656,58.74,53.26,53.17,53.97
22.008767127990723,58.64,53.29,52.87,53.98
22.17901086807251,58.55,53.27,53.17,53.99
22.364678382873535,58.55,53.17,52.87,53.99
22.55994749069214,58.55,53.27,53.27,53.99
22.7465660572052,58.54,53.27,52.87,53.99
22.92942452430725,58.54,53.28,53.09,53.99
23.120551109313965,58.46,53.27,52.97,53.99
23.313905000686646,58.46,53.27,53.06,54.19
23.50017547607422,58.54,53.26,52.97,53.98
23.68532705307007,58.36,53.27,53.17,53.98
23.856178522109985,58.46,53.27,52.98,53.98
24.039644241333008,58.46,53.27,52.97,54.09
24.228278636932373,58.46,53.27,53.06,53.99
24.412010669708252,58.43,53.26,52.97,54.08
24.606748580932617,58.36,53.27,53.17,53.99
24.792815446853638,58.26,53.27,52.97,53.99
24.969448804855347,58.38,53.29,53.2,54.01
25.136433601379395,58.38,53.19,53.2,54.19
25.30380415916443,58.41,53.4,52.9,54.11
25.510812759399414,58.41,53.29,53.0,54.01
25.694029092788696,58.31,53.19,53.11,54.01
25.861143827438354,58.31,53.29,53.0,54.01
26.039960145950317,58.31,53.19,53.11,54.01
26.243061780929565,58.41,53.29,53.21,54.11
26.4233181476593,58.31,53.19,52.81,54.01
26.6026394367218,58.31,53.19,53.32,54.11
26.784542083740234,58.31,53.29,52.9,54.01
26.964178323745728,58.31,53.19,53.11,54.11
27.140194416046143,58.31,53.29,52.9,54.01
27.33836269378662,58.41,53.19,53.21,54.01
27.520622968673706,58.31,53.19,52.81,53.92
27.704450368881226,58.21,53.19,53.0,54.01
27.883179664611816,58.31,53.19,53.21,54.01
28.06214427947998,58.31,53.19,52.9,54.11
28.24262499809265,58.31,53.19,52.9,54.11
28.43411421775818,58.3,53.29,53.2,54.0
28.626779317855835,58.3,53.19,52.89,54.01
28.813750982284546,58.19,53.29,53.0,54.0
29.005604028701782,58.2,53.29,53.2,54.01
29.191648960113525,58.09,53.29,53.0,54.11
29.410934925079346,58.1,53.29,52.9,54.01
29.590110301971436,58.21,53.29,53.11,54.01
29.771684646606445,58.3,53.29,53.11,54.11
29.953261613845825,58.12,53.29,52.9,54.01
30.136110305786133,58.21,53.19,53.21,54.31
30.314712285995483,58.21,53.19,53.0,54.11
30.527776956558228,58.2,53.29,52.89,54.31
30.72482442855835,58.1,53.29,52.9,54.11
30.919838190078735,58.09,53.29,53.11,54.01
31.110632181167603,58.12,53.29,53.0,54.01
31.28592610359192,58.1,53.19,53.21,54.01
31.484532833099365,58.1,53.29,53.0,54.11
31.662402153015137,58.01,53.19,53.21,54.01
31.837204694747925,58.06,53.27,53.06,54.28
32.039637327194214,57.96,53.27,53.17,54.08
32.22065591812134,58.04,53.16,52.95,53.98
32.40547275543213,58.07,53.28,53.17,53.98
32.587345600128174,58.06,53.17,53.28,54.09
32.77621126174927,58.06,53.28,52.87,53.99
32.954078674316406,58.03,53.26,53.14,53.98
33.15056777000427,58.03,53.26,52.97,54.08
33.32419037818909,57.94,53.27,53.28,53.99
33.512667417526245,57.96,53.17,52.97,53.99
33.686081647872925,57.93,53.26,52.97,54.08
33.8665235042572,58.15,53.35,53.06,54.15
34.04502511024475,57.94,53.27,53.06,53.99
34.221855878829956,57.96,53.27,52.97,53.99
34.409565687179565,57.96,53.18,52.87,53.98
