CPU Cap (W),GPU Cap (W),CPU_E (J),GPU_E (J),Runtime (s)
105,260,310.65,178.85,3.56
105,240,308.35,168.01,3.44
105,220,313.45,171.43,3.51
105,200,303.27,170.94,3.44
105,180,311.92,174.82,3.54
105,160,336.14,187.27,3.78
105,140,305.07,172.66,3.51
105,120,309.12,181.29,3.51
105,100,303.65,173.18,3.46
100,260,308.68,180.28,3.7
100,240,298.5,179.48,3.55
100,220,306.97,181.96,3.63
100,200,315.18,194.92,3.74
100,180,305.92,190.57,3.66
100,160,291.98,181.94,3.51
100,140,300.58,180.04,3.55
100,120,292.59,173.26,3.5
100,100,298.11,180.03,3.52
95,260,300.86,192.19,3.79
95,240,293.15,180.76,3.64
95,220,315.43,195.79,3.87
95,200,308.23,190.59,3.85
95,180,313.77,196.57,3.87
95,160,315.14,208.46,3.99
95,140,298.71,187.96,3.69
95,120,301.03,189.73,3.77
95,100,312.97,197.21,3.83
90,260,315.87,213.57,4.15
90,240,317.55,206.53,4.1
90,220,326.89,225.33,4.32
90,200,310.74,199.51,4.02
90,180,310.0,207.22,4.05
90,160,318.36,219.8,4.19
90,140,302.57,207.8,3.98
90,120,309.38,208.96,4.06
90,100,354.87,241.45,4.69
85,260,325.9,226.94,4.52
85,240,346.61,243.01,4.77
85,220,316.88,223.37,4.33
85,200,340.73,241.06,4.7
85,180,326.33,234.12,4.52
85,160,303.54,210.5,4.2
85,140,319.82,225.63,4.42
85,120,334.16,231.89,4.58
85,100,320.13,224.56,4.4
80,260,332.72,248.2,4.93
80,240,319.78,240.56,4.68
80,220,320.98,233.95,4.7
80,200,333.98,249.79,4.9
80,180,326.93,240.11,4.78
80,160,321.4,234.76,4.72
80,140,300.61,225.3,4.43
80,120,328.28,241.19,4.79
80,100,329.44,235.88,4.65
75,260,325.84,267.17,5.15
75,240,331.24,267.31,5.24
75,220,337.72,280.03,5.36
75,200,338.14,268.19,5.26
75,180,326.24,261.06,5.14
75,160,331.61,266.68,5.21
75,140,322.17,252.22,5.0
75,120,331.96,270.35,5.2
75,100,357.71,286.69,5.59
70,260,336.15,286.48,5.6
70,240,342.35,287.21,5.68
70,220,331.65,276.46,5.54
70,200,348.62,301.86,5.83
70,180,338.73,279.79,5.6
70,160,354.9,303.75,5.96
70,140,332.38,275.4,5.54
70,120,331.19,275.36,5.54
70,100,331.83,281.72,5.57
65,260,397.99,349.66,6.94
65,240,391.17,346.69,6.88
65,220,396.81,353.83,6.94
65,200,397.08,361.72,7.01
65,180,396.88,355.05,6.93
65,160,378.2,336.6,6.57
65,140,396.21,354.61,6.95
65,120,383.8,345.67,6.72
65,100,390.84,352.74,6.91
