CPU Cap (W),GPU Cap (W),CPU_E (J),GPU_E (J),Runtime (s)
105,260,2185.69,4093.75,24.65
105,240,1994.86,4037.67,22.43
105,220,2008.85,3877.27,22.6
105,200,2021.12,3708.95,22.71
105,180,2064.26,3494.23,23.16
105,160,2130.53,3264.04,23.87
105,140,2193.77,3017.78,24.63
105,120,2382.08,2848.21,26.75
105,100,2547.9,2640.3,28.67
100,260,1889.91,3886.04,22.15
100,240,1949.37,4002.34,22.9
100,220,1939.1,3894.75,22.75
100,200,1949.86,3688.01,22.7
100,180,1979.3,3510.38,23.34
100,160,2063.98,3298.06,24.11
100,140,2130.93,3041.92,25.03
100,120,2257.34,2819.38,26.36
100,100,2466.21,2644.28,28.78
95,260,1869.91,3948.89,22.75
95,240,1880.79,3968.18,22.86
95,220,1878.42,3926.64,22.94
95,200,1864.76,3708.48,22.68
95,180,1916.65,3487.14,23.29
95,160,1967.23,3294.0,24.32
95,140,2064.58,3036.93,25.15
95,120,2174.56,2829.45,26.41
95,100,2371.56,2639.07,28.85
90,260,1847.48,4041.22,24.12
90,240,1799.69,4019.1,23.46
90,220,1809.98,3913.34,23.63
90,200,-260317.14,3785.31,23.84
90,180,1878.01,3564.57,24.49
90,160,1943.48,3337.44,25.38
90,140,1984.86,3084.13,25.84
90,120,2125.23,2892.59,27.62
90,100,2340.29,2703.69,29.98
85,260,1722.84,3972.78,23.57
85,240,1703.7,3993.45,23.36
85,220,1711.13,3922.51,23.45
85,200,1736.29,3766.67,23.79
85,180,1770.62,3573.65,24.34
85,160,1840.25,3339.63,25.21
85,140,1893.5,3091.67,25.95
85,120,2006.83,2890.9,27.53
85,100,2196.74,2716.68,30.18
80,260,1689.98,4052.09,24.84
80,240,1661.74,4050.34,24.34
80,220,1650.04,3974.93,24.15
80,200,1663.49,3781.34,24.32
80,180,1686.21,3567.85,24.74
80,160,1788.11,3392.59,26.29
80,140,1811.43,3122.12,26.5
80,120,1914.19,2903.41,28.04
80,100,2087.37,2738.74,30.68
75,260,1559.47,4007.71,24.57
75,240,1580.86,4071.87,24.73
75,220,1574.31,3960.39,24.75
75,200,1606.04,3822.05,25.01
75,180,1634.38,3633.05,25.53
75,160,1694.29,3408.09,26.49
75,140,1743.76,3171.09,27.29
75,120,1807.6,2915.95,28.41
75,100,1992.61,2774.99,31.32
70,260,1588.59,4148.2,26.53
70,240,1566.45,4146.03,26.13
70,220,1605.08,4105.43,26.69
70,200,1579.72,3877.41,26.31
70,180,1601.88,3691.42,26.76
70,160,1649.81,3472.0,27.64
70,140,1709.51,3251.18,28.66
70,120,1805.97,3012.83,29.85
70,100,1927.65,2829.99,32.33
65,260,1574.25,4175.61,27.29
65,240,1567.91,4205.47,27.24
65,220,1580.44,4132.08,27.41
65,200,1596.25,3959.22,27.74
65,180,1605.94,3752.04,27.93
65,160,1634.97,3505.89,28.47
65,140,1713.06,3302.56,29.79
65,120,1779.88,3059.86,30.97
65,100,1934.17,2880.3,33.53
