System,System,System,System,System,System,System,System,System,System
Time,EXEC,CFREQ,READ,WRITE,INST,PhysIPC%,Proc Energy (Joules),DRAM Energy (Joules),UncFREQ (Ghz)
19:48:31.380,0.0,1.14,0.0,0.0,2.85,12.2,2.67,0.15,0.22
19:48:31.480,0.0,1.0,0.0,0.0,6.52,23.39,2.63,0.17,0.25
19:48:31.581,0.0,1.0,0.0,0.0,6.27,23.03,2.67,0.19,0.3
19:48:31.681,0.0,1.0,0.0,0.0,6.28,22.78,2.32,0.15,0.16
19:48:31.781,0.0,1.06,0.01,0.01,31.6,37.73,3.14,0.37,0.41
19:48:31.881,0.09,1.42,0.03,0.07,1078.11,22.42,7.92,1.19,1.49
19:48:31.996,0.11,1.34,0.06,0.1,1337.15,10.79,11.08,1.31,2.2
19:48:32.082,0.35,0.87,0.8,0.48,4411.19,53.18,11.22,1.63,2.12
19:48:32.182,0.5,1.01,0.96,0.62,6188.45,64.56,10.92,1.65,1.87
19:48:32.283,0.54,1.09,0.99,0.58,6781.89,64.8,10.87,1.7,1.65
19:48:32.382,0.54,1.02,0.27,0.15,6668.9,68.99,10.72,1.44,1.89
19:48:32.483,0.45,0.94,0.94,0.53,5687.5,63.2,11.13,1.64,1.99
19:48:32.583,0.46,0.96,0.96,0.56,5803.88,63.3,10.54,1.65,1.78
19:48:32.684,0.55,1.11,1.0,0.57,6864.54,64.74,10.93,1.68,1.68
19:48:32.784,0.53,1.08,1.0,0.57,6649.75,64.78,10.72,1.66,1.67
19:48:32.884,0.52,1.03,0.62,0.39,6495.71,66.13,11.11,1.57,1.9
19:48:32.984,0.49,0.93,0.62,0.31,6114.52,69.0,10.98,1.53,2.0
19:48:33.084,0.51,0.99,0.97,0.55,6336.43,67.57,10.57,1.65,1.76
19:48:33.185,0.49,1.0,0.98,0.57,6192.3,64.43,11.25,1.66,1.88
19:48:33.285,0.5,0.99,0.98,0.57,6222.19,65.66,11.07,1.67,1.9
19:48:33.385,0.53,1.1,0.99,0.58,6531.11,62.63,10.66,1.66,1.64
19:48:33.486,0.54,1.01,0.27,0.15,6717.92,69.47,10.79,1.44,1.9
19:48:33.586,0.49,0.97,0.96,0.55,6110.9,66.15,10.54,1.64,1.74
19:48:33.685,0.5,1.01,0.97,0.56,6131.18,64.28,10.51,1.65,1.71
19:48:33.786,0.52,1.05,0.99,0.58,6478.42,64.49,11.09,1.67,1.77
19:48:33.886,0.38,1.16,0.34,0.29,4794.82,43.37,10.82,1.5,1.9
19:48:33.985,0.35,0.87,0.9,0.61,4406.26,52.8,11.24,1.64,2.11
19:48:34.086,0.51,1.02,0.98,0.63,6292.37,64.84,11.28,1.69,1.92
19:48:34.186,0.47,1.01,0.9,0.59,5925.39,61.62,11.25,1.65,1.96
19:48:34.286,0.49,0.97,0.3,0.18,6104.39,65.66,10.89,1.45,1.99
19:48:34.387,0.44,0.9,0.92,0.62,5436.33,63.45,11.25,1.64,2.06
19:48:34.488,0.49,1.0,0.97,0.64,6122.17,63.89,10.97,1.69,1.87
19:48:34.588,0.45,1.28,0.76,0.5,5674.9,46.58,10.61,1.59,1.57
19:48:34.687,0.54,1.03,0.46,0.27,6746.69,69.42,10.12,1.5,1.65
19:48:34.787,0.44,0.89,0.93,0.62,5563.67,64.88,11.38,1.66,2.05
19:48:34.888,0.43,1.02,0.96,0.64,5351.42,55.09,10.69,1.68,1.83
19:48:34.988,0.55,1.13,1.0,0.66,6931.34,63.85,10.92,1.7,1.63
19:48:35.088,0.51,1.0,0.6,0.41,6310.33,66.72,11.27,1.57,2.0
19:48:35.188,0.49,0.93,0.62,0.37,6126.66,68.82,10.98,1.56,1.98
19:48:35.289,0.44,0.93,0.93,0.62,5543.22,62.63,11.31,1.65,2.01
19:48:35.388,0.48,0.99,0.96,0.64,5999.45,63.76,10.77,1.66,1.86
19:48:35.489,0.54,1.09,0.98,0.64,6653.0,64.69,10.72,1.68,1.67
19:48:35.588,0.55,1.07,0.69,0.45,6824.55,67.17,10.68,1.58,1.73
19:48:35.689,0.54,1.03,0.58,0.36,6792.32,68.91,10.43,1.57,1.66
19:48:35.789,0.48,0.96,0.95,0.63,6033.66,65.75,10.55,1.65,1.77
19:48:35.888,0.49,0.98,0.96,0.64,6127.55,65.66,10.56,1.66,1.74
19:48:35.989,0.53,1.07,0.99,0.65,6644.64,65.36,10.91,1.7,1.74
19:48:36.088,0.54,1.09,0.99,0.64,6698.38,64.51,10.81,1.68,1.67
19:48:36.189,0.51,1.0,0.58,0.4,6352.8,66.33,11.31,1.55,2.01
19:48:36.289,0.46,0.88,0.62,0.37,5730.01,67.77,11.14,1.56,2.06
19:48:36.389,0.47,0.94,0.94,0.63,5828.44,65.0,10.62,1.65,1.83
19:48:36.489,0.52,1.06,0.98,0.64,6424.37,63.66,11.14,1.68,1.82
19:48:36.590,0.47,1.0,0.95,0.62,5853.11,61.42,11.35,1.66,1.99
19:48:36.690,0.52,0.98,0.27,0.15,6532.63,69.54,10.79,1.45,1.92
19:48:36.790,0.45,0.91,0.93,0.62,5651.37,65.23,11.12,1.65,2.0
19:48:36.890,0.49,0.96,0.96,0.64,6024.19,66.02,10.65,1.67,1.81
19:48:36.991,0.53,1.08,0.98,0.64,6644.41,64.07,10.85,1.69,1.69
19:48:37.091,0.52,1.07,0.99,0.63,6523.93,63.51,10.75,1.69,1.67
19:48:37.191,0.55,1.07,0.6,0.41,6874.78,67.44,10.56,1.57,1.64
19:48:37.292,0.52,1.0,0.65,0.38,6475.07,67.57,10.4,1.57,1.71
