Time (s),IPC
0.0,0.97
0.2,2.1
0.4,3.14
0.6000000000000001,3.13
0.8,3.15
1.0,3.15
1.2000000000000002,3.15
1.4000000000000001,3.09
1.6,3.1
1.8,2.69
2.0,2.92
2.2,3.11
2.4000000000000004,2.85
2.6,2.96
2.8000000000000003,3.08
3.0,1.85
3.2,0.93
3.4000000000000004,0.86
3.6,1.63
3.8000000000000003,2.13
4.0,2.21
4.2,2.22
4.4,2.14
4.6000000000000005,2.22
4.800000000000001,2.07
5.0,2.11
5.2,2.23
5.4,2.27
5.6000000000000005,2.23
5.800000000000001,2.13
6.0,2.23
6.2,2.24
6.4,2.14
6.6000000000000005,2.2
6.800000000000001,2.26
7.0,2.21
7.2,2.12
7.4,2.23
7.6000000000000005,2.09
7.800000000000001,2.23
8.0,2.13
8.200000000000001,2.23
8.4,2.23
8.6,2.16
8.8,2.19
9.0,2.25
9.200000000000001,2.23
9.4,2.23
9.600000000000001,2.21
9.8,2.23
10.0,2.22
10.200000000000001,2.23
10.4,2.54
10.600000000000001,2.57
10.8,2.79
11.0,2.8
11.200000000000001,2.81
11.4,2.76
11.600000000000001,2.79
11.8,2.79
12.0,2.81
12.200000000000001,2.57
12.4,2.82
12.600000000000001,2.71
12.8,0.77
13.0,0.77
13.200000000000001,2.45
