Time (s),IPC
0.0,0.84
0.2,1.59
0.4,2.06
0.6000000000000001,2.05
0.8,2.05
1.0,2.05
1.2000000000000002,2.06
1.4000000000000001,2.05
1.6,2.05
1.8,2.05
2.0,2.06
2.2,2.05
2.4000000000000004,2.06
2.6,2.71
2.8000000000000003,2.27
3.0,2.15
3.2,2.06
3.4000000000000004,2.05
3.6,2.06
3.8000000000000003,2.06
4.0,2.06
4.2,2.06
4.4,2.05
4.6000000000000005,2.06
4.800000000000001,2.05
5.0,2.06
5.2,2.05
5.4,2.83
5.6000000000000005,2.27
5.800000000000001,2.05
6.0,2.06
6.2,2.06
6.4,2.06
6.6000000000000005,2.06
6.800000000000001,2.06
7.0,2.05
7.2,2.05
7.4,2.05
7.6000000000000005,2.05
7.800000000000001,2.05
8.0,2.2
8.200000000000001,2.32
8.4,2.27
8.6,2.05
8.8,2.05
9.0,2.05
9.200000000000001,2.06
9.4,2.05
9.600000000000001,2.05
9.8,2.05
10.0,2.05
10.200000000000001,2.05
10.4,2.06
10.600000000000001,2.06
10.8,2.83
11.0,2.27
11.200000000000001,2.12
11.4,2.05
11.600000000000001,2.05
11.8,2.06
12.0,2.05
12.200000000000001,2.05
12.4,2.05
12.600000000000001,2.05
12.8,2.05
13.0,2.05
13.200000000000001,2.05
13.4,2.06
13.600000000000001,2.77
13.8,2.27
14.0,1.71
