Time (s),IPC
0.0,0.89
0.2,1.49
0.4,1.49
0.6000000000000001,1.49
0.8,1.5
1.0,1.52
1.2000000000000002,1.49
1.4000000000000001,1.49
1.6,1.49
1.8,1.49
2.0,1.49
2.2,1.49
2.4000000000000004,1.49
2.6,1.49
2.8000000000000003,1.49
3.0,1.49
3.2,1.49
3.4000000000000004,1.49
3.6,1.49
3.8000000000000003,1.52
4.0,1.49
4.2,1.49
4.4,1.49
4.6000000000000005,1.49
4.800000000000001,1.49
5.0,1.49
5.2,1.49
5.4,1.49
5.6000000000000005,1.49
5.800000000000001,1.49
6.0,1.49
6.2,1.49
6.4,1.49
6.6000000000000005,1.49
6.800000000000001,1.56
7.0,1.49
7.2,1.49
7.4,1.49
7.6000000000000005,1.49
7.800000000000001,1.49
8.0,1.5
8.200000000000001,1.49
8.4,1.49
8.6,1.49
8.8,1.49
9.0,1.49
9.200000000000001,1.5
9.4,1.49
9.600000000000001,1.52
9.8,1.49
10.0,1.49
10.200000000000001,1.49
10.4,1.5
10.600000000000001,1.49
10.8,1.49
11.0,1.49
11.200000000000001,1.49
11.4,1.49
11.600000000000001,1.5
11.8,1.49
12.0,1.49
12.200000000000001,1.49
12.4,1.52
12.600000000000001,1.49
12.8,1.49
13.0,1.5
13.200000000000001,1.49
13.4,1.49
13.600000000000001,1.49
13.8,1.49
14.0,1.49
14.200000000000001,1.5
14.4,1.49
14.600000000000001,1.49
14.8,1.49
15.0,1.49
15.200000000000001,1.53
15.4,1.5
15.600000000000001,1.49
15.8,1.49
16.0,1.49
16.2,1.52
16.400000000000002,1.49
16.6,1.5
16.8,1.49
17.0,1.49
17.2,1.49
17.400000000000002,1.49
17.6,1.49
17.8,1.5
18.0,1.5
18.2,1.52
18.400000000000002,1.49
18.6,1.49
18.8,1.49
19.0,1.5
19.200000000000003,1.49
19.400000000000002,1.49
19.6,1.49
19.8,1.49
20.0,1.49
20.200000000000003,1.5
20.400000000000002,1.49
20.6,1.49
20.8,1.49
21.0,1.52
21.200000000000003,1.49
21.400000000000002,1.49
21.6,1.5
21.8,1.49
22.0,1.49
22.200000000000003,1.49
22.400000000000002,1.49
22.6,1.49
22.8,1.5
23.0,1.49
23.200000000000003,1.49
23.400000000000002,1.49
23.6,1.49
23.8,1.52
24.0,1.5
24.200000000000003,1.49
24.400000000000002,1.49
24.6,1.49
24.8,1.49
25.0,1.49
25.200000000000003,1.5
25.400000000000002,1.49
25.6,1.52
25.8,1.49
26.0,1.49
26.200000000000003,1.49
26.400000000000002,1.5
26.6,1.52
26.8,1.49
27.0,1.49
27.200000000000003,1.49
27.400000000000002,1.49
27.6,1.5
27.8,1.49
28.0,1.49
28.200000000000003,1.49
28.400000000000002,1.49
28.6,1.49
28.8,1.5
29.0,1.49
29.200000000000003,1.49
29.400000000000002,1.52
29.6,1.49
29.8,1.49
30.0,1.5
30.200000000000003,1.49
30.400000000000002,1.49
30.6,1.49
30.8,1.49
31.0,1.49
31.200000000000003,1.49
31.400000000000002,1.5
31.6,1.49
31.8,1.49
32.0,1.49
32.2,1.52
32.4,1.49
32.6,1.5
32.800000000000004,1.02
33.0,0.67
33.2,0.67
33.4,0.67
33.6,0.71
33.800000000000004,0.69
34.0,0.67
34.2,0.67
34.4,1.33
34.6,2.21
34.800000000000004,2.21
35.0,2.23
35.2,2.19
35.4,2.2
35.6,2.21
35.800000000000004,2.21
36.0,3.53
