Time (s),DRAM Power (W),IPC
0.0000,0.00,1.34
0.2269,19.71,1.22
0.4574,19.35,1.12
0.6655,17.66,1.38
0.8881,18.62,1.13
1.1149,19.10,1.23
1.3438,19.16,1.03
1.5717,19.02,0.90
1.8006,19.25,0.84
2.0314,19.22,1.43
2.2591,19.02,0.89
2.4873,19.09,1.13
2.7158,19.05,1.11
2.9430,19.04,1.22
3.1699,18.91,0.89
3.3993,19.17,1.14
3.6307,19.32,1.30
3.8601,19.19,0.77
4.0869,18.87,0.99
4.3174,19.21,1.46
4.5442,18.95,0.91
4.7731,19.20,0.99
5.0023,19.10,1.31
5.2266,18.66,1.33
5.4568,19.07,0.99
5.6885,19.41,0.94
5.9193,19.30,1.27
6.1497,19.14,1.06
6.3803,19.16,0.88
6.6064,18.97,1.12
6.8332,18.90,1.20
7.0619,19.04,1.06
7.2958,19.45,0.98
7.5192,18.62,1.19
7.7464,19.07,1.05
7.9740,19.04,0.92
8.2010,18.86,1.03
8.4306,19.27,1.17
8.6596,19.20,0.99
8.8887,19.13,0.90
9.1166,19.08,1.14
9.3471,19.26,1.24
9.5766,19.31,0.83
9.8058,19.23,0.99
10.0356,19.29,1.20
10.2637,19.07,0.90
10.4925,19.15,0.81
10.7247,19.60,1.17
10.9572,19.40,1.16
11.1871,19.18,1.08
11.4168,19.30,0.96
11.6449,19.20,0.66
11.8705,19.03,1.08
12.0994,19.31,1.08
12.3260,18.94,1.26
12.5529,19.11,1.19
12.7836,19.45,1.16
13.0123,19.23,1.13
13.2408,19.22,1.36
13.4678,19.06,0.87
13.6915,18.81,0.85
13.9206,19.31,0.46
14.1485,19.19,0.92
14.3781,19.28,1.00
14.6095,19.43,0.93
14.8387,19.28,0.56
15.0641,18.84,1.14
15.2875,18.76,0.75
15.5107,18.74,1.09
15.7411,19.44,1.32
15.9705,19.26,1.02
16.1969,18.93,0.81
16.4223,18.94,1.29
16.6516,19.18,1.30
16.8788,19.00,1.26
17.1050,18.99,0.90
17.3357,19.40,1.09
17.5683,19.44,0.82
17.7956,18.98,0.81
18.0262,19.13,1.02
18.2534,18.94,0.38
18.4942,20.20,0.82
18.7206,19.12,1.13
18.9518,19.31,1.24
19.1800,19.03,0.99
19.4095,19.21,0.60
19.6359,18.89,0.65
19.8650,19.16,0.90
20.0910,18.98,0.94
20.3205,19.19,1.26
20.5484,19.12,1.12
20.7763,19.13,0.93
21.0075,19.34,0.95
21.2388,19.34,1.30
21.4686,19.31,0.83
21.6976,19.90,0.87
21.9240,20.15,0.92
22.1532,20.41,0.74
22.3790,20.08,1.24
22.6095,20.60,1.02
22.8382,20.46,1.13
23.0638,20.99,1.06
23.2870,19.45,1.03
23.4373,13.11,1.03
23.5876,13.11,0.76
23.8195,20.56,1.11
24.0493,20.36,1.39
24.2760,19.85,0.96
24.5049,19.94,0.88
24.7371,20.40,0.76
24.9689,20.42,1.05
25.1992,20.15,0.89
25.4293,20.04,1.15
25.6584,20.16,1.18
25.8868,20.03,0.90
26.1173,20.34,0.88
26.3478,20.18,1.16
26.5765,19.45,0.86
