CPU Cap (W),GPU Cap (W),Runtime (s)
240,100,46.52
240,120,37.99
240,140,34.64
240,160,33.13
240,180,31.75
240,200,30.73
240,220,30.2
240,240,29.83
240,260,29.41
240,100,47.02
240,120,37.94
240,140,34.56
240,160,33.09
240,180,31.61
240,200,30.71
240,220,30.16
240,240,29.74
240,260,29.54
240,100,46.56
240,120,38.23
240,140,34.48
240,160,33.17
240,180,31.67
240,200,30.66
240,220,30.2
240,240,29.7
240,260,29.46
240,100,47.15
240,120,38.03
240,140,34.54
240,160,33.09
240,180,31.63
240,200,30.61
240,220,30.4
240,240,29.77
240,260,29.55
240,100,46.39
240,120,38.0
240,140,34.52
240,160,33.19
240,180,31.58
240,200,30.72
240,220,30.17
240,240,29.82
240,260,29.46
