CPU Cap (W),GPU Cap (W),Runtime (s)
240,100,10.41
240,120,9.87
240,140,9.7
240,160,9.6
240,180,9.52
240,200,9.48
240,220,9.46
240,240,9.43
240,260,9.42
240,100,10.46
240,120,9.9
240,140,9.72
240,160,9.62
240,180,9.5
240,200,9.47
240,220,9.45
240,240,9.43
240,260,9.43
240,100,10.36
240,120,9.89
240,140,9.63
240,160,9.59
240,180,9.53
240,200,9.45
240,220,9.45
240,240,9.42
240,260,9.3
240,100,10.46
240,120,9.91
240,140,9.67
240,160,9.61
240,180,9.53
240,200,9.46
240,220,9.44
240,240,9.43
240,260,9.43
240,100,10.42
240,120,9.92
240,140,9.65
240,160,9.56
240,180,9.51
240,200,9.49
240,220,9.38
240,240,9.43
240,260,9.42
