CPU Cap (W),GPU Cap (W),Runtime (s)
60,260,25.23
80,260,16.11
100,260,10.83
120,260,9.84
140,260,9.43
160,260,9.41
180,260,9.43
200,260,9.37
220,260,9.44
240,260,9.4
60,260,27.87
80,260,16.02
100,260,10.9
120,260,10.28
140,260,9.43
160,260,9.43
180,260,9.44
200,260,9.44
220,260,9.44
240,260,9.43
60,260,27.96
80,260,15.35
100,260,11.56
120,260,10.02
140,260,9.38
160,260,9.41
180,260,9.44
200,260,9.38
220,260,9.39
240,260,9.38
60,260,27.34
80,260,16.06
100,260,11.58
120,260,9.83
140,260,9.41
160,260,9.4
180,260,9.45
200,260,9.42
220,260,9.44
240,260,9.38
60,260,27.25
80,260,15.73
100,260,10.79
120,260,10.66
140,260,9.45
160,260,9.42
180,260,9.42
200,260,9.42
220,260,9.46
240,260,9.42
